x	y	z	ts
-9,150154	-1,950150	0,818345	2021-05-15T14:21:31:965
-9,092726	-1,820938	0,734596	2021-05-15T14:21:31:981
-9,061620	-1,780260	0,866202	2021-05-15T14:21:32:4
-9,064013	-1,902294	0,971486	2021-05-15T14:21:32:21
-8,853443	-1,959722	1,007378	2021-05-15T14:21:32:56
-8,752945	-1,974079	1,282553	2021-05-15T14:21:32:71
-8,898908	-1,986043	1,373480	2021-05-15T14:21:32:85
-9,104690	-2,091327	1,179662	2021-05-15T14:21:32:101
-9,583255	-1,995614	0,921237	2021-05-15T14:21:32:126
-10,490135	-2,115255	0,827917	2021-05-15T14:21:32:142
-11,176874	-2,115255	0,782453	2021-05-15T14:21:32:164
-11,140982	-2,191825	0,909273	2021-05-15T14:21:32:182
-10,875379	-2,187040	1,033699	2021-05-15T14:21:32:205
-10,159925	-2,261217	1,356731	2021-05-15T14:21:32:221
-9,166903	-2,304288	1,720440	2021-05-15T14:21:32:244
-8,324631	-2,364109	1,794617	2021-05-15T14:21:32:262
-7,824530	-2,462214	1,904687	2021-05-15T14:21:32:285
-7,850852	-2,388037	1,842474	2021-05-15T14:21:32:301
-8,415558	-2,409572	1,730011	2021-05-15T14:21:32:324
-9,157332	-2,163112	1,466800	2021-05-15T14:21:32:341
-9,832108	-2,024328	1,354338	2021-05-15T14:21:32:365
-10,112068	-1,840081	1,375873	2021-05-15T14:21:32:382
-10,104890	-1,775474	1,359123	2021-05-15T14:21:32:404
-10,265208	-2,067399	1,464408	2021-05-15T14:21:32:421
-10,449455	-2,254039	1,533799	2021-05-15T14:21:32:446
-10,308280	-2,215754	1,502693	2021-05-15T14:21:32:461
-10,145569	-2,337788	1,562513	2021-05-15T14:21:32:485
-10,057034	-2,395216	1,634298	2021-05-15T14:21:32:502
-10,011569	-2,402394	1,646262	2021-05-15T14:21:32:525
-9,597611	-2,287539	1,753939	2021-05-15T14:21:32:541
-8,989835	-2,115255	1,902294	2021-05-15T14:21:32:565
-8,427521	-2,014757	1,950150	2021-05-15T14:21:32:582
-8,226524	-1,926222	1,859223	2021-05-15T14:21:32:605
-8,429914	-1,871187	1,663012	2021-05-15T14:21:32:622
-8,810372	-1,902294	1,684547	2021-05-15T14:21:32:645
-9,186047	-2,017149	1,710868	2021-05-15T14:21:32:662
-9,513863	-1,892723	1,761117	2021-05-15T14:21:32:686
-9,485149	-2,050649	1,856830	2021-05-15T14:21:32:702
-9,401401	-2,151148	1,978864	2021-05-15T14:21:32:724
-9,348758	-2,287539	2,007578	2021-05-15T14:21:32:742
-9,518648	-2,361716	2,091327	2021-05-15T14:21:32:765
-9,544970	-2,404787	2,105684	2021-05-15T14:21:32:782
-9,561719	-2,342573	2,060220	2021-05-15T14:21:32:808
-9,578469	-2,321038	2,024328	2021-05-15T14:21:32:822
-9,509077	-2,294717	2,074577	2021-05-15T14:21:32:845
-9,085547	-2,246860	2,045863	2021-05-15T14:21:32:862
-8,870193	-2,124826	2,067399	2021-05-15T14:21:32:885
-8,748159	-2,191825	1,849652	2021-05-15T14:21:32:902
-9,432507	-2,323431	1,730011	2021-05-15T14:21:32:926
-10,937593	-2,555535	2,033899	2021-05-15T14:21:32:942
-11,837293	-2,541178	2,208575	2021-05-15T14:21:32:965
-10,896914	-2,333002	1,964507	2021-05-15T14:21:32:982
-9,710074	-2,330609	1,679761	2021-05-15T14:21:33:6
