x	y	z	ts
-0,315853	-0,399601	9,963714	2021-05-15T14:11:32:355
-0,220140	-0,435494	9,939785	2021-05-15T14:11:32:356
-0,184247	-0,519243	9,999605	2021-05-15T14:11:32:357
-0,165105	-0,466600	10,047462	2021-05-15T14:11:32:361
-0,208176	-0,413958	9,923036	2021-05-15T14:11:32:362
-0,260818	-0,437887	10,035499	2021-05-15T14:11:32:363
-0,131605	-0,430708	10,006784	2021-05-15T14:11:32:364
-0,136391	-0,447458	10,006784	2021-05-15T14:11:32:367
-0,198604	-0,454636	10,035499	2021-05-15T14:11:32:368
-0,155533	-0,447458	9,987641	2021-05-15T14:11:32:369
-0,177069	-0,437887	9,958927	2021-05-15T14:11:32:370
-0,172283	-0,485743	9,992428	2021-05-15T14:11:32:381
-0,232104	-0,442672	9,997212	2021-05-15T14:11:32:382
-0,279960	-0,428315	9,992428	2021-05-15T14:11:32:681
-0,196211	-0,423530	9,982857	2021-05-15T14:11:32:682
-0,196211	-0,423530	9,982857	2021-05-15T14:11:32:684
-0,196211	-0,423530	9,982857	2021-05-15T14:11:32:686
-0,196211	-0,423530	9,982857	2021-05-15T14:11:32:688
-0,196211	-0,495314	9,963714	2021-05-15T14:11:32:689
-0,155533	-0,385244	9,985250	2021-05-15T14:11:32:691
-0,172283	-0,454636	10,009177	2021-05-15T14:11:32:713
-0,284746	-0,397209	9,951750	2021-05-15T14:11:32:715
-0,215354	-0,416351	10,030712	2021-05-15T14:11:32:717
-0,145962	-0,478565	10,009177	2021-05-15T14:11:32:719
-0,186640	-0,504886	9,970891	2021-05-15T14:11:32:720
-0,184247	-0,492921	10,025927	2021-05-15T14:11:32:722
-0,160319	-0,466600	9,987641	2021-05-15T14:11:32:724
-0,165105	-0,524028	10,016356	2021-05-15T14:11:32:724
-0,172283	-0,416351	10,025927	2021-05-15T14:11:32:753
-0,167498	-0,473779	9,975677	2021-05-15T14:11:32:757
-0,232104	-0,440279	10,052249	2021-05-15T14:11:32:758
-0,143569	-0,445065	9,992428	2021-05-15T14:11:32:762
-0,160319	-0,485743	9,978070	2021-05-15T14:11:32:764
-0,157926	-0,466600	10,095319	2021-05-15T14:11:32:767
-0,217747	-0,445065	10,004392	2021-05-15T14:11:32:770
-0,172283	-0,399601	10,047462	2021-05-15T14:11:32:772
-0,150748	-0,519243	10,023535	2021-05-15T14:11:32:805
-0,189033	-0,449851	10,016356	2021-05-15T14:11:32:807
-0,208176	-0,428315	10,033106	2021-05-15T14:11:32:808
-0,220140	-0,490529	9,997212	2021-05-15T14:11:32:823
-0,208176	-0,466600	9,954143	2021-05-15T14:11:32:824
-0,224925	-0,547956	9,985250	2021-05-15T14:11:32:827
-0,215354	-0,476172	9,994821	2021-05-15T14:11:32:829
-0,160319	-0,445065	10,028319	2021-05-15T14:11:32:835
-0,157926	-0,459422	10,068997	2021-05-15T14:11:32:855
-0,078963	-0,437887	9,982857	2021-05-15T14:11:32:877
-0,263210	-0,457029	9,980463	2021-05-15T14:11:32:895
-0,153141	-0,382852	9,982857	2021-05-15T14:11:32:921
-0,093320	-0,468993	9,951750	2021-05-15T14:11:32:935
-0,153141	-0,488136	9,920642	2021-05-15T14:11:32:956
-0,260818	-0,464208	10,009177	2021-05-15T14:11:32:975
-0,256032	-0,390030	9,982857	2021-05-15T14:11:32:995
-0,133998	-0,430708	9,903893	2021-05-15T14:11:33:15
-0,162712	-0,433101	10,078569	2021-05-15T14:11:33:35
