x	y	z	ts
-0,160946	-0,454882	9,794772	2021-05-15T14:11:32:360
-0,161652	-0,440372	9,795424	2021-05-15T14:11:32:362
-0,169610	-0,451682	9,794774	2021-05-15T14:11:32:363
-0,166491	-0,449156	9,794944	2021-05-15T14:11:32:364
-0,163844	-0,447653	9,795057	2021-05-15T14:11:32:367
-0,164157	-0,446206	9,795118	2021-05-15T14:11:32:368
-0,162572	-0,444844	9,795206	2021-05-15T14:11:32:370
-0,161883	-0,442907	9,795305	2021-05-15T14:11:32:380
-0,161066	-0,443267	9,795302	2021-05-15T14:11:32:381
-0,163032	-0,442004	9,795327	2021-05-15T14:11:32:383
-0,180251	-0,434847	9,795346	2021-05-15T14:11:32:681
-0,180186	-0,434608	9,795358	2021-05-15T14:11:32:682
-0,180080	-0,434216	9,795377	2021-05-15T14:11:32:685
-0,180020	-0,433996	9,795388	2021-05-15T14:11:32:686
-0,179981	-0,433852	9,795395	2021-05-15T14:11:32:688
-0,179738	-0,434722	9,795361	2021-05-15T14:11:32:689
-0,177336	-0,431100	9,795565	2021-05-15T14:11:32:708
-0,175844	-0,430847	9,795603	2021-05-15T14:11:32:714
-0,179841	-0,428480	9,795634	2021-05-15T14:11:32:716
-0,180208	-0,426599	9,795710	2021-05-15T14:11:32:717
-0,177275	-0,427366	9,795730	2021-05-15T14:11:32:719
-0,176393	-0,429374	9,795657	2021-05-15T14:11:32:720
-0,175470	-0,430718	9,795615	2021-05-15T14:11:32:722
-0,172011	-0,430928	9,795668	2021-05-15T14:11:32:724
-0,171690	-0,431433	9,795650	2021-05-15T14:11:32:725
-0,170409	-0,429223	9,795770	2021-05-15T14:11:32:755
-0,169057	-0,429889	9,795764	2021-05-15T14:11:32:757
-0,171835	-0,428539	9,795775	2021-05-15T14:11:32:760
-0,171161	-0,428306	9,795797	2021-05-15T14:11:32:762
-0,169478	-0,429439	9,795776	2021-05-15T14:11:32:764
-0,167568	-0,429493	9,795807	2021-05-15T14:11:32:769
-0,169450	-0,428851	9,795803	2021-05-15T14:11:32:770
-0,169107	-0,428013	9,795846	2021-05-15T14:11:32:772
-0,167138	-0,430084	9,795789	2021-05-15T14:11:32:805
-0,166873	-0,429547	9,795816	2021-05-15T14:11:32:807
-0,167561	-0,428276	9,795860	2021-05-15T14:11:32:808
-0,168720	-0,429871	9,795771	2021-05-15T14:11:32:824
-0,169355	-0,430494	9,795732	2021-05-15T14:11:32:825
-0,170724	-0,434599	9,795527	2021-05-15T14:11:32:828
-0,171513	-0,435219	9,795486	2021-05-15T14:11:32:829
-0,169621	-0,434046	9,795571	2021-05-15T14:11:32:835
-0,167755	-0,433470	9,795629	2021-05-15T14:11:32:856
-0,161779	-0,431845	9,795801	2021-05-15T14:11:32:878
-0,165097	-0,432381	9,795722	2021-05-15T14:11:32:896
-0,163315	-0,428817	9,795909	2021-05-15T14:11:32:923
-0,158674	-0,428722	9,795989	2021-05-15T14:11:32:936
-0,157252	-0,429953	9,795959	2021-05-15T14:11:32:957
-0,160736	-0,430730	9,795868	2021-05-15T14:11:32:975
-0,164141	-0,427834	9,795938	2021-05-15T14:11:32:996
-0,161501	-0,426545	9,796038	2021-05-15T14:11:33:16
-0,160180	-0,425135	9,796121	2021-05-15T14:11:33:35
-0,160917	-0,427959	9,795986	2021-05-15T14:11:33:55
-0,163866	-0,431738	9,795772	2021-05-15T14:11:33:76
-0,161777	-0,430568	9,795857	2021-05-15T14:11:33:96
-0,162809	-0,431323	9,795807	2021-05-15T14:11:33:115
-0,161080	-0,429714	9,795906	2021-05-15T14:11:33:136
-0,164005	-0,429426	9,795871	2021-05-15T14:11:33:157
-0,165431	-0,432627	9,795706	2021-05-15T14:11:33:180
-0,163916	-0,430878	9,795808	2021-05-15T14:11:33:198
-0,166217	-0,433354	9,795660	2021-05-15T14:11:33:219
-0,166922	-0,434058	9,795617	2021-05-15T14:11:33:238
-0,168175	-0,431299	9,795717	2021-05-15T14:11:33:259
-0,164729	-0,427854	9,795927	2021-05-15T14:11:33:278
-0,163870	-0,427914	9,795939	2021-05-15T14:11:33:298
-0,166160	-0,429701	9,795822	2021-05-15T14:11:33:317
-0,169511	-0,431803	9,795672	2021-05-15T14:11:33:340
-0,168412	-0,431374	9,795711	2021-05-15T14:11:33:358
-0,167374	-0,434636	9,795584	2021-05-15T14:11:33:379
-0,165648	-0,435149	9,795590	2021-05-15T14:11:33:400
-0,167346	-0,438114	9,795429	2021-05-15T14:11:33:420
-0,165908	-0,440204	9,795361	2021-05-15T14:11:33:437
-0,164901	-0,439910	9,795390	2021-05-15T14:11:33:459
-0,164194	-0,437101	9,795527	2021-05-15T14:11:33:478
-0,168190	-0,434205	9,795588	2021-05-15T14:11:33:500
-0,169810	-0,435910	9,795485	2021-05-15T14:11:33:518
-0,172263	-0,438603	9,795322	2021-05-15T14:11:33:541
-0,172297	-0,438626	9,795321	2021-05-15T14:11:33:558
-0,172800	-0,438118	9,795335	2021-05-15T14:11:33:579
-0,174153	-0,437513	9,795338	2021-05-15T14:11:33:599
-0,175715	-0,439718	9,795211	2021-05-15T14:11:33:620
-0,172975	-0,440081	9,795243	2021-05-15T14:11:33:638
-0,172156	-0,440394	9,795243	2021-05-15T14:11:33:660
-0,173133	-0,439211	9,795280	2021-05-15T14:11:33:678
-0,174197	-0,441708	9,795149	2021-05-15T14:11:33:699
-0,174767	-0,441394	9,795153	2021-05-15T14:11:33:718
-0,174601	-0,440587	9,795192	2021-05-15T14:11:33:740
-0,175907	-0,440346	9,795179	2021-05-15T14:11:33:757
-0,173509	-0,440331	9,795222	2021-05-15T14:11:33:779
-0,171597	-0,440605	9,795244	2021-05-15T14:11:33:798
-0,173073	-0,440459	9,795224	2021-05-15T14:11:33:820
-0,174330	-0,438578	9,795287	2021-05-15T14:11:33:838
-0,173148	-0,435664	9,795438	2021-05-15T14:11:33:860
-0,173310	-0,434553	9,795485	2021-05-15T14:11:33:878
-0,173931	-0,435790	9,795419	2021-05-15T14:11:33:900
-0,174753	-0,436160	9,795387	2021-05-15T14:11:33:918
-0,173879	-0,438202	9,795312	2021-05-15T14:11:33:940
-0,169110	-0,438701	9,795373	2021-05-15T14:11:33:958
-0,169773	-0,438977	9,795349	2021-05-15T14:11:33:980
-0,172814	-0,440342	9,795235	2021-05-15T14:11:33:999
-0,177209	-0,436780	9,795316	2021-05-15T14:11:34:20
-0,172052	-0,433664	9,795546	2021-05-15T14:11:34:38
-0,161165	-0,430787	9,795858	2021-05-15T14:11:34:60
-0,163503	-0,442907	9,795279	2021-05-15T14:11:34:89
-0,168811	-0,444095	9,795135	2021-05-15T14:11:34:100
-0,162391	-0,442225	9,795328	2021-05-15T14:11:34:118
-0,164834	-0,435503	9,795588	2021-05-15T14:11:34:141
-0,162207	-0,438763	9,795486	2021-05-15T14:11:34:158
-0,157178	-0,437297	9,795634	2021-05-15T14:11:34:180
-0,152293	-0,433578	9,795877	2021-05-15T14:11:34:199
-0,152498	-0,428251	9,796108	2021-05-15T14:11:34:220
-0,157651	-0,426529	9,796102	2021-05-15T14:11:34:238
-0,162413	-0,428740	9,795927	2021-05-15T14:11:34:260
-0,161930	-0,429293	9,795911	2021-05-15T14:11:34:278
-0,160362	-0,428394	9,795976	2021-05-15T14:11:34:301
-0,159507	-0,428741	9,795975	2021-05-15T14:11:34:318
-0,170701	-0,429472	9,795754	2021-05-15T14:11:34:341
-0,167374	-0,432084	9,795696	2021-05-15T14:11:34:358
-0,167300	-0,428136	9,795872	2021-05-15T14:11:34:381
-0,167575	-0,425636	9,795976	2021-05-15T14:11:34:409
-0,173060	-0,430240	9,795679	2021-05-15T14:11:34:420
-0,172082	-0,429147	9,795744	2021-05-15T14:11:34:439
-0,172800	-0,426194	9,795860	2021-05-15T14:11:34:461
-0,169431	-0,425431	9,795953	2021-05-15T14:11:34:478
-0,172961	-0,431126	9,795642	2021-05-15T14:11:34:501
-0,161265	-0,431453	9,795827	2021-05-15T14:11:34:518
-0,159856	-0,426742	9,796057	2021-05-15T14:11:34:541
-0,161543	-0,428046	9,795972	2021-05-15T14:11:34:558
-0,159500	-0,430682	9,795890	2021-05-15T14:11:34:580
-0,164646	-0,432393	9,795730	2021-05-15T14:11:34:600
-0,171054	-0,430031	9,795724	2021-05-15T14:11:34:623
-0,171610	-0,429928	9,795718	2021-05-15T14:11:34:639
-0,169174	-0,426391	9,795916	2021-05-15T14:11:34:660
-0,170404	-0,434405	9,795542	2021-05-15T14:11:34:679
-0,169124	-0,434628	9,795554	2021-05-15T14:11:34:701
-0,172515	-0,432637	9,795583	2021-05-15T14:11:34:719
-0,171994	-0,431305	9,795651	2021-05-15T14:11:34:741
-0,172370	-0,434212	9,795516	2021-05-15T14:11:34:759
-0,174076	-0,435460	9,795430	2021-05-15T14:11:34:781
-0,176137	-0,433122	9,795497	2021-05-15T14:11:34:799
-0,174697	-0,430677	9,795630	2021-05-15T14:11:34:821
-0,171472	-0,429641	9,795733	2021-05-15T14:11:34:839
-0,174074	-0,433030	9,795538	2021-05-15T14:11:34:861
-0,175027	-0,430365	9,795639	2021-05-15T14:11:34:879
-0,175817	-0,428617	9,795701	2021-05-15T14:11:34:901
-0,174417	-0,428401	9,795735	2021-05-15T14:11:34:919
-0,174758	-0,430425	9,795641	2021-05-15T14:11:34:941
-0,174664	-0,432298	9,795560	2021-05-15T14:11:34:959
-0,175647	-0,433358	9,795496	2021-05-15T14:11:34:992
-0,177648	-0,432873	9,795481	2021-05-15T14:11:34:999
-0,177800	-0,433120	9,795467	2021-05-15T14:11:35:21
-0,178383	-0,434440	9,795398	2021-05-15T14:11:35:39
-0,177601	-0,434859	9,795394	2021-05-15T14:11:35:61
-0,179894	-0,434893	9,795350	2021-05-15T14:11:35:79
-0,178629	-0,435454	9,795349	2021-05-15T14:11:35:102
-0,178006	-0,437511	9,795268	2021-05-15T14:11:35:119
