x	y	z	ts
0,210000	0,070000	0,140000	2021-05-15T14:16:31:954
-0,070000	0,070000	0,140000	2021-05-15T14:16:31:969
-0,070000	0,070000	0,280000	2021-05-15T14:16:31:992
-0,070000	0,070000	0,560000	2021-05-15T14:16:32:9
-0,070000	-0,140000	0,560000	2021-05-15T14:16:32:32
0,280000	-0,070000	0,350000	2021-05-15T14:16:32:49
0,490000	-0,070000	0,140000	2021-05-15T14:16:32:71
0,770000	-0,070000	0,350000	2021-05-15T14:16:32:89
1,050000	0,280000	0,490000	2021-05-15T14:16:32:112
0,420000	-0,140000	0,630000	2021-05-15T14:16:32:129
0,280000	-0,140000	0,350000	2021-05-15T14:16:32:152
0,560000	-0,070000	0,140000	2021-05-15T14:16:32:169
0,420000	-0,210000	0,140000	2021-05-15T14:16:32:192
0,140000	-0,350000	0,140000	2021-05-15T14:16:32:209
-0,350000	-0,560000	0,280000	2021-05-15T14:16:32:232
-0,560000	-0,630000	0,350000	2021-05-15T14:16:32:249
-0,910000	-0,560000	0,280000	2021-05-15T14:16:32:272
-0,840000	-0,630000	0,280000	2021-05-15T14:16:32:289
-1,120000	-0,910000	-0,140000	2021-05-15T14:16:32:312
-1,400000	-0,840000	-0,350000	2021-05-15T14:16:32:329
-1,400000	-0,980000	-0,560000	2021-05-15T14:16:32:352
-1,400000	-0,630000	-0,700000	2021-05-15T14:16:32:369
-1,050000	-0,070000	-0,560000	2021-05-15T14:16:32:404
-0,490000	0,140000	0,280000	2021-05-15T14:16:32:409
-0,700000	0,350000	0,840000	2021-05-15T14:16:32:432
-1,400000	0,350000	1,190000	2021-05-15T14:16:32:449
-1,540000	-0,140000	0,840000	2021-05-15T14:16:32:472
-0,770000	-0,140000	0,350000	2021-05-15T14:16:32:489
-0,280000	-0,140000	0,350000	2021-05-15T14:16:32:512
-0,350000	-0,140000	0,140000	2021-05-15T14:16:32:529
-0,350000	-0,140000	0,490000	2021-05-15T14:16:32:552
-0,140000	-0,280000	0,560000	2021-05-15T14:16:32:569
-0,910000	-0,560000	0,280000	2021-05-15T14:16:32:592
-0,840000	-0,490000	-0,420000	2021-05-15T14:16:32:609
0,210000	-0,350000	-0,630000	2021-05-15T14:16:32:633
1,120000	-0,070000	-0,560000	2021-05-15T14:16:32:649
1,610000	-0,070000	-0,070000	2021-05-15T14:16:32:672
1,260000	-0,070000	0,560000	2021-05-15T14:16:32:690
0,210000	-0,070000	0,980000	2021-05-15T14:16:32:713
0,490000	0,210000	1,120000	2021-05-15T14:16:32:729
1,260000	0,490000	0,840000	2021-05-15T14:16:32:752
1,960000	0,840000	0,420000	2021-05-15T14:16:32:769
1,890000	0,700000	0,420000	2021-05-15T14:16:32:793
1,540000	0,420000	-0,140000	2021-05-15T14:16:32:810
0,630000	0,420000	-0,070000	2021-05-15T14:16:32:832
0,140000	-0,210000	0,140000	2021-05-15T14:16:32:849
-0,070000	-0,210000	0,280000	2021-05-15T14:16:32:873
-0,490000	-0,280000	0,350000	2021-05-15T14:16:32:891
-0,630000	-0,210000	0,280000	2021-05-15T14:16:32:912
-0,490000	-0,070000	0,210000	2021-05-15T14:16:32:929
0,420000	0,140000	0,350000	2021-05-15T14:16:32:953
0,630000	0,070000	0,350000	2021-05-15T14:16:32:969
0,490000	0,280000	0,350000	2021-05-15T14:16:32:992
0,630000	0,280000	0,630000	2021-05-15T14:16:33:10
0,490000	-0,350000	0,700000	2021-05-15T14:16:33:33
0,980000	-0,350000	0,490000	2021-05-15T14:16:33:50
0,070000	-0,770000	0,420000	2021-05-15T14:16:33:72
-0,630000	-1,120000	0,280000	2021-05-15T14:16:33:90
-0,350000	-1,260000	0,420000	2021-05-15T14:16:33:113
-0,560000	-1,260000	0,420000	2021-05-15T14:16:33:130
-0,980000	-1,050000	0,350000	2021-05-15T14:16:33:152
-1,050000	-0,630000	0,490000	2021-05-15T14:16:33:170
-0,210000	-0,420000	0,910000	2021-05-15T14:16:33:194
0,280000	-0,350000	0,840000	2021-05-15T14:16:33:210
0,420000	-0,070000	0,840000	2021-05-15T14:16:33:232
0,490000	-0,420000	0,490000	2021-05-15T14:16:33:250
0,280000	-0,490000	-0,210000	2021-05-15T14:16:33:273
0,490000	-0,630000	-0,630000	2021-05-15T14:16:33:290
0,630000	-0,560000	-0,490000	2021-05-15T14:16:33:312
0,490000	-0,490000	-0,140000	2021-05-15T14:16:33:330
0,490000	-0,560000	0,280000	2021-05-15T14:16:33:353
0,560000	-0,770000	0,280000	2021-05-15T14:16:33:370
1,120000	-0,910000	0,280000	2021-05-15T14:16:33:392
1,190000	-0,770000	-0,560000	2021-05-15T14:16:33:410
1,050000	-0,490000	-0,700000	2021-05-15T14:16:33:433
1,470000	-0,420000	-0,070000	2021-05-15T14:16:33:450
1,050000	-0,490000	0,420000	2021-05-15T14:16:33:472
0,630000	-0,490000	0,280000	2021-05-15T14:16:33:490
0,700000	-0,840000	0,140000	2021-05-15T14:16:33:513
0,980000	-0,980000	-0,140000	2021-05-15T14:16:33:530
1,050000	-0,980000	-0,140000	2021-05-15T14:16:33:552
0,980000	-0,630000	0,420000	2021-05-15T14:16:33:570
0,840000	-0,280000	1,120000	2021-05-15T14:16:33:687
0,490000	0,140000	1,540000	2021-05-15T14:16:33:691
-0,070000	-0,210000	1,680000	2021-05-15T14:16:33:693
-0,210000	-0,490000	1,120000	2021-05-15T14:16:33:698
-0,210000	-0,700000	0,490000	2021-05-15T14:16:33:700
-0,210000	-0,840000	0,490000	2021-05-15T14:16:33:710
-0,210000	-0,630000	-0,140000	2021-05-15T14:16:33:713
-0,490000	-0,490000	0,070000	2021-05-15T14:16:33:732
-0,700000	-0,490000	0,350000	2021-05-15T14:16:33:754
-1,190000	-0,770000	0,560000	2021-05-15T14:16:33:770
-1,540000	-0,980000	0,350000	2021-05-15T14:16:33:793
-1,050000	-0,910000	0,070000	2021-05-15T14:16:33:810
-0,210000	-0,840000	-0,210000	2021-05-15T14:16:33:834
-0,350000	-0,840000	-0,350000	2021-05-15T14:16:33:851
-0,420000	-0,700000	-0,280000	2021-05-15T14:16:33:873
-0,140000	-0,490000	0,140000	2021-05-15T14:16:33:891
-0,770000	-0,770000	0,560000	2021-05-15T14:16:33:914
-0,910000	-0,280000	0,210000	2021-05-15T14:16:33:930
-0,490000	-0,630000	0,140000	2021-05-15T14:16:33:953
-0,560000	-0,980000	-0,140000	2021-05-15T14:16:33:970
-0,770000	-1,120000	-0,210000	2021-05-15T14:16:33:995
-1,050000	-1,260000	-0,140000	2021-05-15T14:16:34:10
-1,330000	-1,260000	-0,140000	2021-05-15T14:16:34:33
-1,190000	-1,050000	-0,140000	2021-05-15T14:16:34:50
-1,190000	-1,120000	0,140000	2021-05-15T14:16:34:74
-1,050000	-1,120000	0,140000	2021-05-15T14:16:34:91
-0,770000	-1,050000	-0,280000	2021-05-15T14:16:34:113
-0,350000	-1,050000	-0,420000	2021-05-15T14:16:34:130
-0,350000	-0,840000	-0,280000	2021-05-15T14:16:34:154
0,070000	-0,910000	0,070000	2021-05-15T14:16:34:170
-0,350000	-0,980000	0,210000	2021-05-15T14:16:34:193
-1,540000	-0,980000	0,490000	2021-05-15T14:16:34:210
-2,240000	-1,330000	0,630000	2021-05-15T14:16:34:234
-1,890000	-1,260000	0,630000	2021-05-15T14:16:34:251
-0,560000	-1,120000	0,420000	2021-05-15T14:16:34:273
-0,420000	-1,050000	0,210000	2021-05-15T14:16:34:291
0,070000	-0,560000	0,420000	2021-05-15T14:16:34:313
0,560000	-0,560000	1,120000	2021-05-15T14:16:34:331
-0,280000	-0,420000	1,190000	2021-05-15T14:16:34:353
-0,280000	-0,070000	0,980000	2021-05-15T14:16:34:371
0,280000	-0,420000	0,770000	2021-05-15T14:16:34:395
0,140000	-0,350000	0,350000	2021-05-15T14:16:34:413
0,140000	-0,490000	0,210000	2021-05-15T14:16:34:433
-0,700000	-0,630000	0,280000	2021-05-15T14:16:34:451
-1,540000	-0,770000	0,420000	2021-05-15T14:16:34:474
-1,610000	-0,840000	0,420000	2021-05-15T14:16:34:492
-1,470000	-0,840000	0,420000	2021-05-15T14:16:34:514
-0,770000	-0,770000	0,210000	2021-05-15T14:16:34:531
-0,770000	-0,420000	0,210000	2021-05-15T14:16:34:555
0,210000	-0,210000	-0,140000	2021-05-15T14:16:34:572
0,210000	-0,140000	-0,140000	2021-05-15T14:16:34:594
-0,280000	-0,280000	0,070000	2021-05-15T14:16:34:611
-0,280000	-0,280000	0,140000	2021-05-15T14:16:34:635
-0,420000	-0,280000	0,210000	2021-05-15T14:16:34:651
-1,330000	-0,770000	-0,070000	2021-05-15T14:16:34:674
-1,400000	-0,840000	-0,560000	2021-05-15T14:16:34:692
-1,960000	-0,910000	-0,980000	2021-05-15T14:16:34:715
-1,960000	-1,050000	-0,560000	2021-05-15T14:16:34:731
-0,280000	-0,420000	0,700000	2021-05-15T14:16:34:754
0,490000	0,420000	1,820000	2021-05-15T14:16:34:771
-0,140000	0,420000	2,030000	2021-05-15T14:16:34:795
-0,770000	0,420000	1,610000	2021-05-15T14:16:34:811
-1,260000	-0,420000	1,050000	2021-05-15T14:16:34:833
-1,610000	-1,120000	-0,280000	2021-05-15T14:16:34:851
-0,630000	-1,330000	-1,680000	2021-05-15T14:16:34:875
-0,630000	-1,260000	-2,450000	2021-05-15T14:16:34:893
-0,560000	-0,770000	-2,590000	2021-05-15T14:16:34:914
-1,890000	-0,490000	-2,310000	2021-05-15T14:16:34:931
-2,100000	-0,490000	-1,890000	2021-05-15T14:16:34:955
-1,470000	-0,070000	-1,540000	2021-05-15T14:16:34:972
-0,700000	0,420000	-1,610000	2021-05-15T14:16:34:995
0,490000	0,910000	-1,400000	2021-05-15T14:16:35:12
-0,140000	1,050000	-0,910000	2021-05-15T14:16:35:36
-1,470000	0,840000	-0,210000	2021-05-15T14:16:35:52
-2,100000	0,420000	0,490000	2021-05-15T14:16:35:74
-2,240000	-0,070000	0,840000	2021-05-15T14:16:35:92
-1,750000	-0,350000	0,840000	2021-05-15T14:16:35:114
-0,700000	-0,420000	0,770000	2021-05-15T14:16:35:132
-0,420000	-0,280000	0,490000	2021-05-15T14:16:35:154
-0,210000	-0,140000	0,070000	2021-05-15T14:16:35:172
0,420000	-0,140000	0,070000	2021-05-15T14:16:35:196
0,280000	-0,280000	0,420000	2021-05-15T14:16:35:212
-0,560000	-0,490000	0,420000	2021-05-15T14:16:35:234
-0,770000	-0,350000	0,420000	2021-05-15T14:16:35:252
-0,770000	-0,420000	-0,210000	2021-05-15T14:16:35:276
-0,420000	-0,420000	-0,280000	2021-05-15T14:16:35:292
-0,280000	-0,560000	-0,140000	2021-05-15T14:16:35:314
-0,490000	-0,560000	0,070000	2021-05-15T14:16:35:332
