v1	v2	v3	v4	ts
993,192749	168,339264	27,519999	993,191650	2021-05-15T14:21:32:185
993,191956	168,347198	27,519999	993,184326	2021-05-15T14:21:33:186
993,194275	168,326065	27,529999	993,215332	2021-05-15T14:21:34:187
993,196228	168,310211	27,529999	993,213867	2021-05-15T14:21:35:188
993,196411	168,310211	27,529999	993,197754	2021-05-15T14:21:36:189
993,196716	168,307556	27,539999	993,199219	2021-05-15T14:21:37:191
993,197815	168,296997	27,539999	993,208008	2021-05-15T14:21:38:191
993,198792	168,289062	27,549999	993,207520	2021-05-15T14:21:39:192
993,198486	168,291702	27,549999	993,195312	2021-05-15T14:21:40:194
993,198730	168,289062	27,549999	993,201172	2021-05-15T14:21:41:194
993,197449	168,299637	27,559999	993,185547	2021-05-15T14:21:42:195
993,198669	168,289062	27,559999	993,209717	2021-05-15T14:21:43:197
993,200378	168,275848	27,559999	993,215576	2021-05-15T14:21:44:197
993,201721	168,265289	27,559999	993,213867	2021-05-15T14:21:45:198
993,201660	168,265289	27,570000	993,200928	2021-05-15T14:21:46:199
993,200989	168,270569	27,570000	993,194824	2021-05-15T14:21:47:211
993,201294	168,267929	27,570000	993,204102	2021-05-15T14:21:48:201
993,201172	168,267929	27,570000	993,199707	2021-05-15T14:21:49:202
993,200867	168,270569	27,580000	993,198242	2021-05-15T14:21:50:203
993,200378	168,275848	27,580000	993,196045	2021-05-15T14:21:51:204
993,199463	168,283783	27,580000	993,191162	2021-05-15T14:21:52:205
993,202454	168,257355	27,580000	993,229248	2021-05-15T14:21:53:206
993,201904	168,262650	27,580000	993,196777	2021-05-15T14:21:54:206
993,198730	168,289062	27,590000	993,169678	2021-05-15T14:21:55:208
993,200867	168,270569	27,590000	993,220215	2021-05-15T14:21:56:209
993,202332	168,260010	27,599998	993,215820	2021-05-15T14:21:57:210
993,200806	168,273209	27,599998	993,186768	2021-05-15T14:21:58:210
993,199036	168,286423	27,599998	993,183105	2021-05-15T14:21:59:212
993,202698	168,257355	27,609999	993,235840	2021-05-15T14:22:00:213
993,203430	168,249435	27,599998	993,209961	2021-05-15T14:22:01:214
993,205688	168,230942	27,599998	993,226318	2021-05-15T14:22:02:214
993,203308	168,252075	27,599998	993,182129	2021-05-15T14:22:03:216
993,204285	168,241501	27,609999	993,213379	2021-05-15T14:22:04:217
993,202332	168,260010	27,619999	993,184814	2021-05-15T14:22:05:217
993,199768	168,281143	27,619999	993,176514	2021-05-15T14:22:06:218
993,203064	168,252075	27,619999	993,232666	2021-05-15T14:22:07:220
993,205566	168,230942	27,619999	993,228027	2021-05-15T14:22:08:220
993,210083	168,193939	27,629999	993,250488	2021-05-15T14:22:09:222
993,212524	168,172806	27,629999	993,234619	2021-05-15T14:22:10:222
993,211670	168,180740	27,629999	993,204102	2021-05-15T14:22:11:224
993,212402	168,172806	27,639999	993,218994	2021-05-15T14:22:12:224
993,207886	168,212448	27,639999	993,167725	2021-05-15T14:22:13:226
993,202393	168,260010	27,639999	993,153076	2021-05-15T14:22:14:226
993,202209	168,260010	27,639999	993,200684	2021-05-15T14:22:15:227
993,201843	168,262650	27,650000	993,198486	2021-05-15T14:22:16:228
993,201355	168,267929	27,650000	993,196533	2021-05-15T14:22:17:229
993,198608	168,291702	27,639999	993,173584	2021-05-15T14:22:18:230
993,199890	168,278503	27,650000	993,211426	2021-05-15T14:22:19:231
993,198059	168,294357	27,639999	993,181641	2021-05-15T14:22:20:232
993,199890	168,278503	27,650000	993,216553	2021-05-15T14:22:21:233
993,200317	168,275848	27,650000	993,204102	2021-05-15T14:22:22:234
993,199158	168,286423	27,650000	993,188721	2021-05-15T14:22:23:237
993,199890	168,278503	27,660000	993,206787	2021-05-15T14:22:24:236
993,201721	168,265289	27,660000	993,218018	2021-05-15T14:22:25:237
993,201233	168,267929	27,660000	993,196533	2021-05-15T14:22:26:238
993,200378	168,275848	27,660000	993,192383	2021-05-15T14:22:27:239
993,200989	168,270569	27,660000	993,206787	2021-05-15T14:22:28:240
993,203125	168,252075	27,660000	993,222656	2021-05-15T14:22:29:241
993,200928	168,270569	27,660000	993,181152	2021-05-15T14:22:30:242
993,200073	168,278503	27,660000	993,192627	2021-05-15T14:22:31:243
993,197327	168,302277	27,670000	993,172607	2021-05-15T14:22:32:244
993,195068	168,320770	27,670000	993,175049	2021-05-15T14:22:33:245
993,195435	168,318130	27,670000	993,198486	2021-05-15T14:22:34:246
993,193481	168,333984	27,670000	993,175781	2021-05-15T14:22:35:246
993,193298	168,336624	27,670000	993,191650	2021-05-15T14:22:36:248
993,190674	168,357773	27,670000	993,166748	2021-05-15T14:22:37:249
993,189575	168,368332	27,680000	993,179932	2021-05-15T14:22:38:250
993,187317	168,386826	27,680000	993,166992	2021-05-15T14:22:39:250
993,185425	168,402679	27,689999	993,167969	2021-05-15T14:22:40:252
993,181458	168,434387	27,680000	993,145752	2021-05-15T14:22:41:253
993,176880	168,474030	27,689999	993,135498	2021-05-15T14:22:42:254
993,175598	168,484589	27,689999	993,163574	2021-05-15T14:22:43:254
993,171021	168,524231	27,689999	993,129639	2021-05-15T14:22:44:256
993,167969	168,550659	27,689999	993,140625	2021-05-15T14:22:45:256
993,163818	168,585007	27,689999	993,126465	2021-05-15T14:22:46:258
993,165588	168,569153	27,689999	993,181641	2021-05-15T14:22:47:258
993,162964	168,592926	27,699999	993,139160	2021-05-15T14:22:48:260
993,166016	168,566513	27,689999	993,193604	2021-05-15T14:22:49:261
993,167969	168,550659	27,699999	993,185547	2021-05-15T14:22:50:261
993,165833	168,569153	27,689999	993,146729	2021-05-15T14:22:51:262
993,166260	168,563858	27,699999	993,169922	2021-05-15T14:22:52:264
993,168335	168,548004	27,699999	993,186768	2021-05-15T14:22:53:264
993,167542	168,553299	27,709999	993,160400	2021-05-15T14:22:54:265
993,168762	168,542725	27,709999	993,179443	2021-05-15T14:22:55:266
993,170715	168,526871	27,709999	993,188477	2021-05-15T14:22:56:267
993,174438	168,495163	27,709999	993,208008	2021-05-15T14:22:57:268
993,170593	168,526871	27,709999	993,135742	2021-05-15T14:22:58:269
993,172546	168,511017	27,719999	993,190186	2021-05-15T14:22:59:270
993,168030	168,550659	27,719999	993,126953	2021-05-15T14:23:00:271
993,169189	168,540085	27,719999	993,179932	2021-05-15T14:23:01:272
993,166748	168,561218	27,709999	993,145020	2021-05-15T14:23:02:273
993,168579	168,545364	27,719999	993,185059	2021-05-15T14:23:03:274
993,168823	168,542725	27,719999	993,171143	2021-05-15T14:23:04:276
993,168274	168,548004	27,719999	993,163330	2021-05-15T14:23:05:276
993,170227	168,529510	27,730000	993,187500	2021-05-15T14:23:06:277
993,169800	168,534805	27,730000	993,165771	2021-05-15T14:23:07:278
993,168945	168,542725	27,730000	993,161621	2021-05-15T14:23:08:286
993,166931	168,558578	27,730000	993,148438	2021-05-15T14:23:09:281
993,168396	168,545364	27,730000	993,181641	2021-05-15T14:23:10:283
993,169128	168,540085	27,730000	993,175293	2021-05-15T14:23:11:281
993,170715	168,526871	27,730000	993,185303	2021-05-15T14:23:12:283
993,165955	168,566513	27,730000	993,122803	2021-05-15T14:23:13:286
993,165894	168,566513	27,740000	993,165283	2021-05-15T14:23:14:285
993,166382	168,563858	27,730000	993,170410	2021-05-15T14:23:15:286
993,166504	168,561218	27,740000	993,167725	2021-05-15T14:23:16:287
993,164917	168,574432	27,750000	993,150146	2021-05-15T14:23:17:288
993,163879	168,585007	27,750000	993,154785	2021-05-15T14:23:18:288
993,156860	168,643127	27,750000	993,093506	2021-05-15T14:23:19:290
993,156799	168,645767	27,750000	993,156738	2021-05-15T14:23:20:290
