light_intensity	ts
2927704,000000	2021-05-15T14:26:31:982
2898826,000000	2021-05-15T14:26:32:18
2870678,000000	2021-05-15T14:26:32:59
2868341,000000	2021-05-15T14:26:32:100
2863732,000000	2021-05-15T14:26:32:139
2848870,000000	2021-05-15T14:26:32:180
2858758,000000	2021-05-15T14:26:32:219
2882906,000000	2021-05-15T14:26:32:260
2883265,000000	2021-05-15T14:26:32:300
2877251,000000	2021-05-15T14:26:32:339
2853260,000000	2021-05-15T14:26:32:380
2829956,000000	2021-05-15T14:26:32:420
2818535,000000	2021-05-15T14:26:32:459
2805393,000000	2021-05-15T14:26:32:500
2805508,000000	2021-05-15T14:26:32:540
2793359,000000	2021-05-15T14:26:32:580
2841048,000000	2021-05-15T14:26:32:620
2844577,000000	2021-05-15T14:26:32:660
2836527,000000	2021-05-15T14:26:32:699
2822302,000000	2021-05-15T14:26:32:740
2804527,000000	2021-05-15T14:26:32:780
2783662,000000	2021-05-15T14:26:32:820
2758134,000000	2021-05-15T14:26:32:860
2740503,000000	2021-05-15T14:26:32:900
2746651,000000	2021-05-15T14:26:32:940
2755955,000000	2021-05-15T14:26:32:981
2769795,000000	2021-05-15T14:26:33:20
2811583,000000	2021-05-15T14:26:33:60
2821793,000000	2021-05-15T14:26:33:101
2812769,000000	2021-05-15T14:26:33:140
2799832,000000	2021-05-15T14:26:33:180
2766472,000000	2021-05-15T14:26:33:221
2741758,000000	2021-05-15T14:26:33:260
2731996,000000	2021-05-15T14:26:33:301
2725345,000000	2021-05-15T14:26:33:339
2729320,000000	2021-05-15T14:26:33:381
2763186,000000	2021-05-15T14:26:33:420
2805803,000000	2021-05-15T14:26:33:461
2796838,000000	2021-05-15T14:26:33:501
2764777,000000	2021-05-15T14:26:33:541
2734661,000000	2021-05-15T14:26:33:580
2710226,000000	2021-05-15T14:26:33:621
2690496,000000	2021-05-15T14:26:33:660
2676859,000000	2021-05-15T14:26:33:701
2676064,000000	2021-05-15T14:26:33:740
2685168,000000	2021-05-15T14:26:33:781
2707646,000000	2021-05-15T14:26:33:820
2743433,000000	2021-05-15T14:26:33:860
2754926,000000	2021-05-15T14:26:33:901
2741301,000000	2021-05-15T14:26:33:941
2724237,000000	2021-05-15T14:26:33:981
2699838,000000	2021-05-15T14:26:34:21
2676645,000000	2021-05-15T14:26:34:60
2664396,000000	2021-05-15T14:26:34:102
2658224,000000	2021-05-15T14:26:34:141
2659659,000000	2021-05-15T14:26:34:181
2727173,000000	2021-05-15T14:26:34:221
2758492,000000	2021-05-15T14:26:34:261
2744994,000000	2021-05-15T14:26:34:301
2708429,000000	2021-05-15T14:26:34:341
2680363,000000	2021-05-15T14:26:34:380
2660162,000000	2021-05-15T14:26:34:421
2636077,000000	2021-05-15T14:26:34:461
2629563,000000	2021-05-15T14:26:34:501
2624576,000000	2021-05-15T14:26:34:541
2653658,000000	2021-05-15T14:26:34:686
2653658,000000	2021-05-15T14:26:34:700
2678432,000000	2021-05-15T14:26:34:710
2690647,000000	2021-05-15T14:26:34:721
2658828,000000	2021-05-15T14:26:34:741
2634624,000000	2021-05-15T14:26:34:782
2617797,000000	2021-05-15T14:26:34:823
2608663,000000	2021-05-15T14:26:34:862
2604105,000000	2021-05-15T14:26:34:903
2612413,000000	2021-05-15T14:26:34:942
2659339,000000	2021-05-15T14:26:34:982
2680387,000000	2021-05-15T14:26:35:22
2672643,000000	2021-05-15T14:26:35:62
2650965,000000	2021-05-15T14:26:35:102
2629174,000000	2021-05-15T14:26:35:143
2611117,000000	2021-05-15T14:26:35:182
2593251,000000	2021-05-15T14:26:35:235
2579527,000000	2021-05-15T14:26:35:262
2585428,000000	2021-05-15T14:26:35:303
2601190,000000	2021-05-15T14:26:35:341
2610672,000000	2021-05-15T14:26:35:382
2637588,000000	2021-05-15T14:26:35:422
2638016,000000	2021-05-15T14:26:35:463
2628041,000000	2021-05-15T14:26:35:502
2614771,000000	2021-05-15T14:26:35:543
2597647,000000	2021-05-15T14:26:35:582
2582340,000000	2021-05-15T14:26:35:624
2572467,000000	2021-05-15T14:26:35:662
2573820,000000	2021-05-15T14:26:35:701
2579556,000000	2021-05-15T14:26:35:742
2629692,000000	2021-05-15T14:26:35:782
2656096,000000	2021-05-15T14:26:35:822
2652193,000000	2021-05-15T14:26:35:863
2632997,000000	2021-05-15T14:26:35:902
2616637,000000	2021-05-15T14:26:35:942
2607450,000000	2021-05-15T14:26:35:983
2587344,000000	2021-05-15T14:26:36:23
2576104,000000	2021-05-15T14:26:36:73
2589606,000000	2021-05-15T14:26:36:102
2599839,000000	2021-05-15T14:26:36:142
2624490,000000	2021-05-15T14:26:36:184
2666961,000000	2021-05-15T14:26:36:222
2674012,000000	2021-05-15T14:26:36:263
2661918,000000	2021-05-15T14:26:36:303
2650972,000000	2021-05-15T14:26:36:342
2635940,000000	2021-05-15T14:26:36:383
2625353,000000	2021-05-15T14:26:36:423
2619446,000000	2021-05-15T14:26:36:463
2620344,000000	2021-05-15T14:26:36:502
2638882,000000	2021-05-15T14:26:36:543
2690377,000000	2021-05-15T14:26:36:584
2724194,000000	2021-05-15T14:26:36:622
2722924,000000	2021-05-15T14:26:36:664
2708039,000000	2021-05-15T14:26:36:703
2693210,000000	2021-05-15T14:26:36:744
2675870,000000	2021-05-15T14:26:36:783
2658856,000000	2021-05-15T14:26:36:824
2657054,000000	2021-05-15T14:26:36:863
2643679,000000	2021-05-15T14:26:36:904
2665184,000000	2021-05-15T14:26:36:943
2711780,000000	2021-05-15T14:26:36:984
2781510,000000	2021-05-15T14:26:37:24
2825885,000000	2021-05-15T14:26:37:64
2825750,000000	2021-05-15T14:26:37:103
2809107,000000	2021-05-15T14:26:37:144
2793857,000000	2021-05-15T14:26:37:184
2783267,000000	2021-05-15T14:26:37:225
2768779,000000	2021-05-15T14:26:37:264
