light_level	ts
32,000000	2021-05-15T14:26:32:477
28,000000	2021-05-15T14:26:33:478
44,000000	2021-05-15T14:26:34:480
44,000000	2021-05-15T14:26:35:480
28,000000	2021-05-15T14:26:36:482
32,000000	2021-05-15T14:26:37:482
48,000000	2021-05-15T14:26:38:483
44,000000	2021-05-15T14:26:39:484
28,000000	2021-05-15T14:26:40:485
32,000000	2021-05-15T14:26:41:486
48,000000	2021-05-15T14:26:42:487
40,000000	2021-05-15T14:26:43:488
32,000000	2021-05-15T14:26:44:489
40,000000	2021-05-15T14:26:45:490
48,000000	2021-05-15T14:26:46:492
36,000000	2021-05-15T14:26:47:492
28,000000	2021-05-15T14:26:48:493
40,000000	2021-05-15T14:26:49:494
52,000000	2021-05-15T14:26:50:495
44,000000	2021-05-15T14:26:51:497
32,000000	2021-05-15T14:26:52:497
36,000000	2021-05-15T14:26:53:498
52,000000	2021-05-15T14:26:54:499
36,000000	2021-05-15T14:26:55:499
32,000000	2021-05-15T14:26:56:501
44,000000	2021-05-15T14:26:57:502
48,000000	2021-05-15T14:26:58:503
36,000000	2021-05-15T14:26:59:504
32,000000	2021-05-15T14:27:00:505
40,000000	2021-05-15T14:27:01:505
48,000000	2021-05-15T14:27:02:507
36,000000	2021-05-15T14:27:03:508
32,000000	2021-05-15T14:27:04:509
48,000000	2021-05-15T14:27:05:509
44,000000	2021-05-15T14:27:06:512
36,000000	2021-05-15T14:27:07:512
40,000000	2021-05-15T14:27:08:514
52,000000	2021-05-15T14:27:09:513
52,000000	2021-05-15T14:27:10:514
36,000000	2021-05-15T14:27:11:516
40,000000	2021-05-15T14:27:12:518
48,000000	2021-05-15T14:27:13:518
40,000000	2021-05-15T14:27:14:518
36,000000	2021-05-15T14:27:15:520
40,000000	2021-05-15T14:27:16:521
52,000000	2021-05-15T14:27:17:521
40,000000	2021-05-15T14:27:18:522
44,000000	2021-05-15T14:27:19:524
48,000000	2021-05-15T14:27:20:525
44,000000	2021-05-15T14:27:21:525
36,000000	2021-05-15T14:27:22:526
36,000000	2021-05-15T14:27:23:527
52,000000	2021-05-15T14:27:24:528
40,000000	2021-05-15T14:27:25:528
32,000000	2021-05-15T14:27:26:530
44,000000	2021-05-15T14:27:27:531
52,000000	2021-05-15T14:27:28:532
48,000000	2021-05-15T14:27:29:533
36,000000	2021-05-15T14:27:30:534
44,000000	2021-05-15T14:27:31:536
48,000000	2021-05-15T14:27:32:536
32,000000	2021-05-15T14:27:33:537
32,000000	2021-05-15T14:27:34:539
44,000000	2021-05-15T14:27:35:539
48,000000	2021-05-15T14:27:36:540
28,000000	2021-05-15T14:27:37:541
24,000000	2021-05-15T14:27:38:542
48,000000	2021-05-15T14:27:39:543
40,000000	2021-05-15T14:27:40:544
32,000000	2021-05-15T14:27:41:545
40,000000	2021-05-15T14:27:42:545
52,000000	2021-05-15T14:27:43:547
36,000000	2021-05-15T14:27:44:548
36,000000	2021-05-15T14:27:45:549
52,000000	2021-05-15T14:27:46:550
