light_intensity	ts
2097152,000000	2021-05-15T14:11:32:684
2097152,000000	2021-05-15T14:11:32:687
2097152,000000	2021-05-15T14:11:32:690
2156701,000000	2021-05-15T14:11:32:715
2156690,000000	2021-05-15T14:11:32:718
2156625,000000	2021-05-15T14:11:32:721
2156724,000000	2021-05-15T14:11:32:723
2156668,000000	2021-05-15T14:11:32:757
2156763,000000	2021-05-15T14:11:32:761
2156711,000000	2021-05-15T14:11:32:766
2156632,000000	2021-05-15T14:11:32:771
2156733,000000	2021-05-15T14:11:32:806
2131648,000000	2021-05-15T14:11:32:823
2131688,000000	2021-05-15T14:11:32:827
2131699,000000	2021-05-15T14:11:32:830
2131694,000000	2021-05-15T14:11:32:857
2131710,000000	2021-05-15T14:11:32:896
2099488,000000	2021-05-15T14:11:32:936
2099399,000000	2021-05-15T14:11:32:976
2099495,000000	2021-05-15T14:11:33:16
2099415,000000	2021-05-15T14:11:33:56
2099494,000000	2021-05-15T14:11:33:96
2103645,000000	2021-05-15T14:11:33:137
2103824,000000	2021-05-15T14:11:33:178
2103864,000000	2021-05-15T14:11:33:218
2103758,000000	2021-05-15T14:11:33:263
2103736,000000	2021-05-15T14:11:33:299
2103733,000000	2021-05-15T14:11:33:341
2103864,000000	2021-05-15T14:11:33:380
2103680,000000	2021-05-15T14:11:33:423
2103671,000000	2021-05-15T14:11:33:460
2103736,000000	2021-05-15T14:11:33:501
2103910,000000	2021-05-15T14:11:33:540
2103773,000000	2021-05-15T14:11:33:581
2103729,000000	2021-05-15T14:11:33:621
2103884,000000	2021-05-15T14:11:33:661
2103759,000000	2021-05-15T14:11:33:701
2103751,000000	2021-05-15T14:11:33:741
2103681,000000	2021-05-15T14:11:33:781
2103691,000000	2021-05-15T14:11:33:821
2103861,000000	2021-05-15T14:11:33:861
2103660,000000	2021-05-15T14:11:33:902
2103807,000000	2021-05-15T14:11:33:941
2103874,000000	2021-05-15T14:11:33:982
2103939,000000	2021-05-15T14:11:34:21
2103728,000000	2021-05-15T14:11:34:62
2103741,000000	2021-05-15T14:11:34:101
2103841,000000	2021-05-15T14:11:34:142
2103797,000000	2021-05-15T14:11:34:181
2103746,000000	2021-05-15T14:11:34:222
2103682,000000	2021-05-15T14:11:34:261
2103926,000000	2021-05-15T14:11:34:302
2103696,000000	2021-05-15T14:11:34:342
2103746,000000	2021-05-15T14:11:34:382
2103736,000000	2021-05-15T14:11:34:421
2103798,000000	2021-05-15T14:11:34:462
2103874,000000	2021-05-15T14:11:34:502
2103716,000000	2021-05-15T14:11:34:543
2103906,000000	2021-05-15T14:11:34:581
2103807,000000	2021-05-15T14:11:34:622
2103727,000000	2021-05-15T14:11:34:662
2103747,000000	2021-05-15T14:11:34:703
2103881,000000	2021-05-15T14:11:34:742
2103766,000000	2021-05-15T14:11:34:782
2103719,000000	2021-05-15T14:11:34:822
2103761,000000	2021-05-15T14:11:34:863
2103713,000000	2021-05-15T14:11:34:902
2103751,000000	2021-05-15T14:11:34:943
2103697,000000	2021-05-15T14:11:34:994
2103741,000000	2021-05-15T14:11:35:23
2103714,000000	2021-05-15T14:11:35:62
2103742,000000	2021-05-15T14:11:35:104
2103753,000000	2021-05-15T14:11:35:142
2103923,000000	2021-05-15T14:11:35:183
2103670,000000	2021-05-15T14:11:35:222
2103722,000000	2021-05-15T14:11:35:263
2103868,000000	2021-05-15T14:11:35:303
2103901,000000	2021-05-15T14:11:35:343
2103707,000000	2021-05-15T14:11:35:383
2103726,000000	2021-05-15T14:11:35:424
2103738,000000	2021-05-15T14:11:35:465
2103803,000000	2021-05-15T14:11:35:505
2103843,000000	2021-05-15T14:11:35:542
2103688,000000	2021-05-15T14:11:35:583
2103865,000000	2021-05-15T14:11:35:622
2103718,000000	2021-05-15T14:11:35:663
2103751,000000	2021-05-15T14:11:35:702
2103734,000000	2021-05-15T14:11:35:742
2103747,000000	2021-05-15T14:11:35:781
2103827,000000	2021-05-15T14:11:35:822
2103758,000000	2021-05-15T14:11:35:861
