x	y	z	ts
0,490529	-4,835894	8,695518	2021-05-18T22:32:37:263
0,392423	-4,838287	8,638089	2021-05-18T22:32:37:281
0,521635	-4,828716	8,650054	2021-05-18T22:32:37:294
0,500100	-4,912465	8,640482	2021-05-18T22:32:37:310
0,512064	-4,934000	8,592626	2021-05-18T22:32:37:333
0,516850	-4,922036	8,638089	2021-05-18T22:32:37:350
0,502493	-4,821537	8,650054	2021-05-18T22:32:37:374
0,423530	-4,867002	8,712267	2021-05-18T22:32:37:391
0,461815	-4,831109	8,717053	2021-05-18T22:32:37:413
0,437887	-4,960321	8,673983	2021-05-18T22:32:37:431
0,552742	-4,833502	8,685946	2021-05-18T22:32:37:454
0,466600	-4,857430	8,642875	2021-05-18T22:32:37:472
0,512064	-4,852644	8,669197	2021-05-18T22:32:37:493
0,495314	-4,900501	8,681160	2021-05-18T22:32:37:511
0,476172	-4,912465	8,673983	2021-05-18T22:32:37:535
0,476172	-4,878965	8,664411	2021-05-18T22:32:37:551
0,464208	-4,840680	8,671589	2021-05-18T22:32:37:573
0,471386	-4,898108	8,630912	2021-05-18T22:32:37:591
0,428315	-4,929214	8,645268	2021-05-18T22:32:37:617
0,504886	-4,823930	8,712267	2021-05-18T22:32:37:631
0,483350	-4,876573	8,678767	2021-05-18T22:32:37:653
0,514457	-4,898108	8,633304	2021-05-18T22:32:37:671
0,468993	-4,886144	8,700303	2021-05-18T22:32:37:694
0,488136	-4,874180	8,633304	2021-05-18T22:32:37:711
0,514457	-4,917251	8,602197	2021-05-18T22:32:37:733
0,495314	-4,996214	8,690732	2021-05-18T22:32:37:751
0,492921	-4,938786	8,609376	2021-05-18T22:32:37:775
0,526421	-4,890929	8,654840	2021-05-18T22:32:37:791
0,452243	-4,819145	8,685946	2021-05-18T22:32:37:813
0,490529	-4,876573	8,673983	2021-05-18T22:32:37:831
0,492921	-4,878965	8,645268	2021-05-18T22:32:37:854
0,521635	-4,972286	8,602197	2021-05-18T22:32:37:871
0,528814	-4,955536	8,592626	2021-05-18T22:32:37:896
0,500100	-4,855037	8,609376	2021-05-18T22:32:37:911
0,437887	-4,943572	8,690732	2021-05-18T22:32:37:935
0,459422	-4,922036	8,652447	2021-05-18T22:32:37:951
0,468993	-4,938786	8,666803	2021-05-18T22:32:37:973
0,504886	-4,929214	8,638089	2021-05-18T22:32:37:991
0,457029	-4,962714	8,623734	2021-05-18T22:32:38:14
0,552742	-4,941179	8,683553	2021-05-18T22:32:38:31
0,497707	-4,926822	8,642875	2021-05-18T22:32:38:55
0,502493	-4,986642	8,666803	2021-05-18T22:32:38:71
0,483350	-4,874180	8,666803	2021-05-18T22:32:38:95
0,435494	-4,852644	8,654840	2021-05-18T22:32:38:111
0,497707	-4,890929	8,616554	2021-05-18T22:32:38:135
0,492921	-4,900501	8,673983	2021-05-18T22:32:38:151
0,521635	-4,862216	8,681160	2021-05-18T22:32:38:176
0,512064	-4,893322	8,614161	2021-05-18T22:32:38:191
0,502493	-4,902894	8,635696	2021-05-18T22:32:38:214
0,500100	-4,867002	8,606983	2021-05-18T22:32:38:231
0,535992	-4,864608	8,647661	2021-05-18T22:32:38:255
0,464208	-4,795217	8,719445	2021-05-18T22:32:38:271
0,540778	-4,907679	8,633304	2021-05-18T22:32:38:294
0,473779	-4,922036	8,676375	2021-05-18T22:32:38:311
0,473779	-4,878965	8,657232	2021-05-18T22:32:38:335
0,495314	-4,900501	8,717053	2021-05-18T22:32:38:351
0,457029	-4,835894	8,650054	2021-05-18T22:32:38:374
0,449851	-4,914857	8,633304	2021-05-18T22:32:38:392
0,514457	-4,833502	8,657232	2021-05-18T22:32:38:415
0,552742	-4,953143	8,630912	2021-05-18T22:32:38:432
0,495314	-4,900501	8,628519	2021-05-18T22:32:38:454
0,531207	-4,857430	8,685946	2021-05-18T22:32:38:472
0,521635	-4,871787	8,669197	2021-05-18T22:32:38:495
0,435494	-4,867002	8,662018	2021-05-18T22:32:38:511
0,500100	-4,914857	8,685946	2021-05-18T22:32:38:534
0,425922	-4,979464	8,638089	2021-05-18T22:32:38:551
0,445065	-4,907679	8,652447	2021-05-18T22:32:38:576
0,516850	-4,938786	8,666803	2021-05-18T22:32:38:592
0,569492	-4,972286	8,606983	2021-05-18T22:32:38:614
0,521635	-4,898108	8,635696	2021-05-18T22:32:38:632
0,497707	-4,924429	8,647661	2021-05-18T22:32:38:655
0,509671	-4,850252	8,700303	2021-05-18T22:32:38:672
0,543171	-4,804788	8,669197	2021-05-18T22:32:38:694
0,440279	-4,893322	8,664411	2021-05-18T22:32:38:711
0,492921	-4,967500	8,652447	2021-05-18T22:32:38:735
0,543171	-4,926822	8,611769	2021-05-18T22:32:38:752
0,583849	-4,905287	8,652447	2021-05-18T22:32:38:775
0,552742	-4,898108	8,623734	2021-05-18T22:32:38:792
0,500100	-4,910072	8,664411	2021-05-18T22:32:38:816
0,514457	-4,857430	8,616554	2021-05-18T22:32:38:832
0,459422	-4,893322	8,652447	2021-05-18T22:32:38:855
0,531207	-4,888536	8,606983	2021-05-18T22:32:38:872
0,562313	-4,924429	8,642875	2021-05-18T22:32:38:896
0,535992	-4,867002	8,638089	2021-05-18T22:32:38:912
0,485743	-4,871787	8,657232	2021-05-18T22:32:38:935
0,488136	-4,833502	8,662018	2021-05-18T22:32:38:952
0,449851	-4,955536	8,630912	2021-05-18T22:32:38:976
0,602991	-4,919643	8,633304	2021-05-18T22:32:38:993
0,579063	-4,922036	8,604590	2021-05-18T22:32:39:14
0,552742	-4,941179	8,623734	2021-05-18T22:32:39:32
0,495314	-4,855037	8,707481	2021-05-18T22:32:39:56
0,521635	-4,886144	8,659625	2021-05-18T22:32:39:72
0,480957	-4,917251	8,642875	2021-05-18T22:32:39:95
0,528814	-4,900501	8,650054	2021-05-18T22:32:39:112
0,538385	-4,914857	8,638089	2021-05-18T22:32:39:136
0,552742	-4,900501	8,645268	2021-05-18T22:32:39:152
0,524028	-4,821537	8,650054	2021-05-18T22:32:39:175
0,459422	-4,864608	8,635696	2021-05-18T22:32:39:192
0,492921	-4,893322	8,705089	2021-05-18T22:32:39:216
0,598206	-4,924429	8,654840	2021-05-18T22:32:39:232
0,468993	-4,984250	8,609376	2021-05-18T22:32:39:255
0,507278	-4,938786	8,616554	2021-05-18T22:32:39:272
0,471386	-4,890929	8,606983	2021-05-18T22:32:39:297
0,545564	-4,950750	8,618947	2021-05-18T22:32:39:312
0,452243	-4,943572	8,676375	2021-05-18T22:32:39:335
0,521635	-4,907679	8,640482	2021-05-18T22:32:39:352
0,516850	-4,845466	8,626125	2021-05-18T22:32:39:376
0,535992	-4,883751	8,628519	2021-05-18T22:32:39:393
0,533599	-4,955536	8,628519	2021-05-18T22:32:39:414
0,504886	-4,986642	8,657232	2021-05-18T22:32:39:433
0,531207	-4,888536	8,676375	2021-05-18T22:32:39:456
0,478565	-4,900501	8,702696	2021-05-18T22:32:39:473
0,509671	-4,914857	8,659625	2021-05-18T22:32:39:495
0,454636	-4,912465	8,614161	2021-05-18T22:32:39:513
0,437887	-4,929214	8,659625	2021-05-18T22:32:39:536
0,452243	-4,902894	8,640482	2021-05-18T22:32:39:552
0,473779	-4,945964	8,621340	2021-05-18T22:32:39:575
0,526421	-4,828716	8,678767	2021-05-18T22:32:39:593
0,538385	-4,886144	8,652447	2021-05-18T22:32:39:616
0,416351	-4,900501	8,597411	2021-05-18T22:32:39:633
0,492921	-4,950750	8,673983	2021-05-18T22:32:39:655
0,461815	-4,821537	8,662018	2021-05-18T22:32:39:673
0,480957	-4,919643	8,652447	2021-05-18T22:32:39:697
0,514457	-4,855037	8,626125	2021-05-18T22:32:39:713
0,480957	-4,900501	8,666803	2021-05-18T22:32:39:737
0,478565	-4,895715	8,647661	2021-05-18T22:32:39:753
0,504886	-4,917251	8,618947	2021-05-18T22:32:39:776
0,468993	-4,941179	8,640482	2021-05-18T22:32:39:793
0,480957	-4,902894	8,635696	2021-05-18T22:32:39:815
0,473779	-4,876573	8,623734	2021-05-18T22:32:39:833
0,490529	-4,890929	8,657232	2021-05-18T22:32:39:856
0,485743	-4,773681	8,650054	2021-05-18T22:32:39:874
0,433101	-4,869394	8,645268	2021-05-18T22:32:39:896
0,550349	-4,914857	8,657232	2021-05-18T22:32:39:913
0,519243	-4,989035	8,614161	2021-05-18T22:32:39:937
0,459422	-4,931608	8,616554	2021-05-18T22:32:39:954
0,538385	-4,986642	8,650054	2021-05-18T22:32:39:975
0,454636	-4,912465	8,621340	2021-05-18T22:32:39:993
0,519243	-4,996214	8,638089	2021-05-18T22:32:40:17
0,476172	-4,931608	8,676375	2021-05-18T22:32:40:33
0,421137	-4,737789	8,719445	2021-05-18T22:32:40:55
0,428315	-4,811966	8,626125	2021-05-18T22:32:40:73
0,483350	-5,015356	8,623734	2021-05-18T22:32:40:97
0,478565	-4,998606	8,606983	2021-05-18T22:32:40:113
0,521635	-4,871787	8,626125	2021-05-18T22:32:40:135
0,478565	-4,823930	8,673983	2021-05-18T22:32:40:153
0,471386	-4,989035	8,659625	2021-05-18T22:32:40:177
0,502493	-4,914857	8,669197	2021-05-18T22:32:40:193
0,435494	-4,905287	8,647661	2021-05-18T22:32:40:215
0,464208	-4,934000	8,652447	2021-05-18T22:32:40:233
0,516850	-4,931608	8,662018	2021-05-18T22:32:40:257
0,533599	-4,962714	8,599805	2021-05-18T22:32:40:273
0,445065	-4,914857	8,626125	2021-05-18T22:32:40:295
0,490529	-4,948357	8,664411	2021-05-18T22:32:40:313
0,550349	-4,867002	8,685946	2021-05-18T22:32:40:337
0,555135	-4,888536	8,659625	2021-05-18T22:32:40:353
0,545564	-4,957928	8,611769	2021-05-18T22:32:40:375
0,514457	-4,991428	8,638089	2021-05-18T22:32:40:394
0,504886	-4,907679	8,650054	2021-05-18T22:32:40:417
0,500100	-4,900501	8,645268	2021-05-18T22:32:40:433
0,476172	-4,898108	8,676375	2021-05-18T22:32:40:456
0,495314	-4,867002	8,721838	2021-05-18T22:32:40:474
0,528814	-4,922036	8,659625	2021-05-18T22:32:40:497
0,504886	-4,941179	8,628519	2021-05-18T22:32:40:513
0,454636	-4,967500	8,614161	2021-05-18T22:32:40:536
0,559920	-4,900501	8,623734	2021-05-18T22:32:40:553
0,502493	-4,867002	8,695518	2021-05-18T22:32:40:577
0,437887	-4,823930	8,671589	2021-05-18T22:32:40:594
0,476172	-4,864608	8,654840	2021-05-18T22:32:40:616
0,514457	-4,972286	8,604590	2021-05-18T22:32:40:634
0,483350	-4,972286	8,621340	2021-05-18T22:32:40:657
0,497707	-4,936393	8,590233	2021-05-18T22:32:40:674
0,488136	-4,855037	8,616554	2021-05-18T22:32:40:696
0,545564	-4,974678	8,662018	2021-05-18T22:32:40:714
0,538385	-4,934000	8,638089	2021-05-18T22:32:40:738
0,533599	-4,917251	8,616554	2021-05-18T22:32:40:754
0,502493	-4,924429	8,681160	2021-05-18T22:32:40:776
0,535992	-4,924429	8,669197	2021-05-18T22:32:40:794
0,576670	-5,000999	8,645268	2021-05-18T22:32:40:818
0,524028	-4,936393	8,590233	2021-05-18T22:32:40:834
0,540778	-4,902894	8,611769	2021-05-18T22:32:40:857
0,600598	-4,943572	8,642875	2021-05-18T22:32:40:874
0,579063	-4,893322	8,614161	2021-05-18T22:32:40:898
0,552742	-4,960321	8,654840	2021-05-18T22:32:40:914
0,516850	-4,833502	8,616554	2021-05-18T22:32:40:936
0,519243	-4,864608	8,650054	2021-05-18T22:32:40:954
0,567099	-4,938786	8,657232	2021-05-18T22:32:40:978
0,526421	-5,010571	8,559127	2021-05-18T22:32:40:994
0,301496	-4,816752	8,697910	2021-05-18T22:32:41:16
0,445065	-4,697111	8,726624	2021-05-18T22:32:41:34
0,507278	-4,828716	8,676375	2021-05-18T22:32:41:58
0,476172	-5,108676	8,573483	2021-05-18T22:32:41:74
0,504886	-4,962714	8,561519	2021-05-18T22:32:41:96
0,540778	-4,886144	8,671589	2021-05-18T22:32:41:114
0,524028	-4,864608	8,671589	2021-05-18T22:32:41:138
0,459422	-4,852644	8,669197	2021-05-18T22:32:41:155
0,430708	-4,919643	8,640482	2021-05-18T22:32:41:178
0,524028	-4,905287	8,602197	2021-05-18T22:32:41:194
0,564706	-4,905287	8,650054	2021-05-18T22:32:41:218
0,524028	-4,924429	8,573483	2021-05-18T22:32:41:234
0,471386	-4,886144	8,666803	2021-05-18T22:32:41:256
0,519243	-4,859823	8,671589	2021-05-18T22:32:41:274
0,457029	-4,831109	8,669197	2021-05-18T22:32:41:298
0,473779	-4,900501	8,633304	2021-05-18T22:32:41:314
0,516850	-4,864608	8,657232	2021-05-18T22:32:41:337
0,490529	-4,950750	8,621340	2021-05-18T22:32:41:354
0,521635	-4,898108	8,611769	2021-05-18T22:32:41:378
0,497707	-5,008178	8,611769	2021-05-18T22:32:41:395
0,507278	-4,941179	8,633304	2021-05-18T22:32:41:417
0,492921	-4,890929	8,623734	2021-05-18T22:32:41:435
0,483350	-4,914857	8,650054	2021-05-18T22:32:41:458
0,543171	-4,876573	8,628519	2021-05-18T22:32:41:476
0,507278	-4,895715	8,626125	2021-05-18T22:32:41:497
0,483350	-4,864608	8,678767	2021-05-18T22:32:41:514
0,507278	-4,974678	8,650054	2021-05-18T22:32:41:538
0,547956	-4,855037	8,652447	2021-05-18T22:32:41:554
0,502493	-4,917251	8,630912	2021-05-18T22:32:41:577
0,483350	-4,986642	8,621340	2021-05-18T22:32:41:594
0,466600	-4,922036	8,652447	2021-05-18T22:32:41:618
0,502493	-4,902894	8,683553	2021-05-18T22:32:41:635
0,519243	-4,922036	8,611769	2021-05-18T22:32:41:657
0,507278	-4,883751	8,693125	2021-05-18T22:32:41:675
0,464208	-4,869394	8,659625	2021-05-18T22:32:41:698
0,612563	-5,070391	8,690732	2021-05-18T22:32:41:714
0,433101	-4,838287	8,657232	2021-05-18T22:32:41:737
0,512064	-4,886144	8,657232	2021-05-18T22:32:41:755
0,524028	-4,900501	8,669197	2021-05-18T22:32:41:778
0,466600	-4,945964	8,681160	2021-05-18T22:32:41:795
0,509671	-4,902894	8,642875	2021-05-18T22:32:41:817
0,445065	-4,869394	8,614161	2021-05-18T22:32:41:835
0,567099	-4,948357	8,659625	2021-05-18T22:32:41:858
0,512064	-4,850252	8,645268	2021-05-18T22:32:41:875
0,531207	-4,823930	8,645268	2021-05-18T22:32:41:897
0,490529	-4,811966	8,650054	2021-05-18T22:32:41:915
0,468993	-4,831109	8,678767	2021-05-18T22:32:41:939
0,442672	-4,845466	8,623734	2021-05-18T22:32:41:955
0,538385	-4,895715	8,700303	2021-05-18T22:32:41:988
0,480957	-4,886144	8,678767	2021-05-18T22:32:41:995
0,507278	-4,831109	8,702696	2021-05-18T22:32:42:18
0,464208	-4,886144	8,693125	2021-05-18T22:32:42:35
0,466600	-4,831109	8,700303	2021-05-18T22:32:42:57
0,507278	-4,867002	8,628519	2021-05-18T22:32:42:75
0,492921	-4,943572	8,688338	2021-05-18T22:32:42:99
0,473779	-4,886144	8,647661	2021-05-18T22:32:42:115
0,502493	-4,883751	8,664411	2021-05-18T22:32:42:138
