x	y	z	ts
-1,416551	-5,864808	7,872386	2021-05-18T22:07:37:190
-1,430908	-5,936593	7,872386	2021-05-18T22:07:37:207
-1,435694	-5,893522	7,838887	2021-05-18T22:07:37:229
-1,428515	-5,862415	7,843673	2021-05-18T22:07:37:247
-1,414158	-5,699703	7,903493	2021-05-18T22:07:37:271
-1,397408	-5,797810	7,896315	2021-05-18T22:07:37:287
-1,428515	-5,855237	7,872386	2021-05-18T22:07:37:309
-1,390230	-5,850451	7,877172	2021-05-18T22:07:37:327
-1,469193	-5,816952	7,925028	2021-05-18T22:07:37:350
-1,385444	-5,848059	7,886744	2021-05-18T22:07:37:367
-1,409373	-5,860023	7,810174	2021-05-18T22:07:37:390
-1,366302	-5,781059	7,848458	2021-05-18T22:07:37:407
-1,356731	-5,778666	7,963314	2021-05-18T22:07:37:431
-1,476372	-5,845665	7,958528	2021-05-18T22:07:37:447
-1,380659	-5,943772	7,834101	2021-05-18T22:07:37:470
-1,395016	-6,003592	7,910671	2021-05-18T22:07:37:487
-1,347159	-5,943772	7,865208	2021-05-18T22:07:37:511
-1,308874	-5,867201	7,903493	2021-05-18T22:07:37:527
-1,328017	-5,737988	7,951349	2021-05-18T22:07:37:550
-1,234696	-5,754738	7,862815	2021-05-18T22:07:37:568
-1,318445	-5,860023	7,846066	2021-05-18T22:07:37:591
-1,239482	-5,903094	7,846066	2021-05-18T22:07:37:607
-1,380659	-5,927022	7,903493	2021-05-18T22:07:37:630
-1,332802	-5,855237	7,834101	2021-05-18T22:07:37:647
-1,268196	-5,852845	7,814958	2021-05-18T22:07:37:671
-1,354338	-5,814559	7,903493	2021-05-18T22:07:37:687
-1,414158	-5,953342	7,853244	2021-05-18T22:07:37:710
-1,354338	-5,843273	7,817351	2021-05-18T22:07:37:727
-1,421337	-5,802595	7,939385	2021-05-18T22:07:37:751
-1,356731	-5,881558	7,946564	2021-05-18T22:07:37:768
-1,320838	-5,711668	7,881958	2021-05-18T22:07:37:790
-1,292124	-5,718846	7,867601	2021-05-18T22:07:37:808
-1,323231	-5,883951	7,862815	2021-05-18T22:07:37:832
-1,292124	-5,855237	7,853244	2021-05-18T22:07:37:848
-1,234696	-5,895915	7,877172	2021-05-18T22:07:37:870
-1,241875	-5,852845	7,788638	2021-05-18T22:07:37:888
-1,296910	-5,807381	7,829315	2021-05-18T22:07:37:911
-1,122234	-5,855237	7,759924	2021-05-18T22:07:37:928
-1,160519	-6,034698	7,759924	2021-05-18T22:07:37:950
-1,251446	-6,063413	7,783852	2021-05-18T22:07:37:968
-1,155733	-6,039484	7,786245	2021-05-18T22:07:37:991
-1,194018	-6,077770	7,802995	2021-05-18T22:07:38:9
-1,256232	-6,013163	7,805387	2021-05-18T22:07:38:30
-1,268196	-5,910272	7,735995	2021-05-18T22:07:38:48
-1,232304	-5,994020	7,824530	2021-05-18T22:07:38:72
-1,390230	-5,974878	7,817351	2021-05-18T22:07:38:88
-1,306481	-5,974878	7,802995	2021-05-18T22:07:38:121
