x	y	z	ts
-0,280000	-0,420000	0,280000	2021-05-18T22:12:37:209
-0,280000	-0,560000	-0,140000	2021-05-18T22:12:37:220
0,140000	-0,700000	-0,140000	2021-05-18T22:12:37:244
-0,280000	-0,630000	0,210000	2021-05-18T22:12:37:261
-0,560000	-0,420000	0,280000	2021-05-18T22:12:37:283
-0,560000	-0,420000	0,210000	2021-05-18T22:12:37:301
0,210000	-0,210000	0,210000	2021-05-18T22:12:37:324
-0,070000	-0,350000	0,210000	2021-05-18T22:12:37:340
-0,140000	-0,350000	0,140000	2021-05-18T22:12:37:363
-0,140000	-0,350000	0,070000	2021-05-18T22:12:37:380
-0,070000	-0,280000	0,070000	2021-05-18T22:12:37:405
-0,140000	-0,350000	0,070000	2021-05-18T22:12:37:420
-0,070000	-0,420000	0,140000	2021-05-18T22:12:37:443
-0,420000	-0,490000	0,210000	2021-05-18T22:12:37:460
-0,350000	-0,350000	0,350000	2021-05-18T22:12:37:484
-0,350000	-0,280000	0,210000	2021-05-18T22:12:37:500
0,210000	-0,210000	-0,070000	2021-05-18T22:12:37:523
-0,070000	-0,420000	-0,070000	2021-05-18T22:12:37:540
-0,490000	-0,490000	0,140000	2021-05-18T22:12:37:565
-0,560000	-0,700000	0,350000	2021-05-18T22:12:37:580
-0,490000	-0,840000	0,140000	2021-05-18T22:12:37:603
0,070000	-0,630000	0,070000	2021-05-18T22:12:37:621
0,280000	-0,420000	0,070000	2021-05-18T22:12:37:644
0,280000	-0,350000	0,140000	2021-05-18T22:12:37:661
-0,350000	-0,350000	0,140000	2021-05-18T22:12:37:683
-0,630000	-0,420000	0,140000	2021-05-18T22:12:37:700
-0,210000	-0,560000	0,070000	2021-05-18T22:12:37:725
0,070000	-0,560000	0,140000	2021-05-18T22:12:37:741
0,070000	-0,560000	0,210000	2021-05-18T22:12:37:764
-0,350000	-0,490000	0,140000	2021-05-18T22:12:37:781
-0,350000	-0,280000	0,070000	2021-05-18T22:12:37:805
-0,210000	-0,280000	0,210000	2021-05-18T22:12:37:821
-0,140000	-0,350000	0,140000	2021-05-18T22:12:37:844
-0,280000	-0,490000	0,140000	2021-05-18T22:12:37:861
