x	y	z	ts
0,410994	-5,016289	8,416550	2021-05-18T22:17:37:219
0,407812	-5,014731	8,417633	2021-05-18T22:17:37:232
0,407080	-5,012237	8,419154	2021-05-18T22:17:37:256
0,407542	-5,010333	8,420265	2021-05-18T22:17:37:273
0,405273	-5,012370	8,419162	2021-05-18T22:17:37:296
0,403214	-5,011361	8,419861	2021-05-18T22:17:37:313
0,403826	-5,013248	8,418708	2021-05-18T22:17:37:335
0,403663	-5,015720	8,417244	2021-05-18T22:17:37:353
0,402595	-5,020158	8,414649	2021-05-18T22:17:37:376
0,402500	-5,015756	8,417278	2021-05-18T22:17:37:393
0,404112	-5,008724	8,421388	2021-05-18T22:17:37:415
0,404037	-5,006468	8,422732	2021-05-18T22:17:37:433
0,403521	-5,005040	8,423606	2021-05-18T22:17:37:456
0,401335	-5,005186	8,423623	2021-05-18T22:17:37:473
0,405042	-5,002235	8,425199	2021-05-18T22:17:37:496
0,403547	-5,002455	8,425139	2021-05-18T22:17:37:513
0,404031	-5,002079	8,425340	2021-05-18T22:17:37:536
0,403508	-4,997730	8,427945	2021-05-18T22:17:37:553
0,400774	-4,994512	8,429983	2021-05-18T22:17:37:576
0,400607	-4,991511	8,431768	2021-05-18T22:17:37:594
0,403328	-4,990117	8,432464	2021-05-18T22:17:37:617
0,402913	-4,993965	8,430205	2021-05-18T22:17:37:633
0,404354	-4,995281	8,429357	2021-05-18T22:17:37:656
0,404999	-4,995175	8,429388	2021-05-18T22:17:37:673
0,403302	-4,998078	8,427749	2021-05-18T22:17:37:699
0,403067	-5,002648	8,425048	2021-05-18T22:17:37:713
0,401731	-5,008451	8,421663	2021-05-18T22:17:37:736
0,401174	-5,008799	8,421483	2021-05-18T22:17:37:753
0,400996	-5,008146	8,421880	2021-05-18T22:17:37:776
0,400281	-5,009561	8,421072	2021-05-18T22:17:37:793
0,399106	-5,014737	8,418047	2021-05-18T22:17:37:816
0,401998	-5,018753	8,415515	2021-05-18T22:17:37:833
