light_intensity	ts
3511795,000000	2021-05-18T22:22:37:233
3507811,000000	2021-05-18T22:22:37:271
3500571,000000	2021-05-18T22:22:37:310
3491519,000000	2021-05-18T22:22:37:352
3481316,000000	2021-05-18T22:22:37:389
3471238,000000	2021-05-18T22:22:37:432
3462325,000000	2021-05-18T22:22:37:469
3460224,000000	2021-05-18T22:22:37:513
3452880,000000	2021-05-18T22:22:37:551
3443681,000000	2021-05-18T22:22:37:592
3439004,000000	2021-05-18T22:22:37:641
3433820,000000	2021-05-18T22:22:37:672
3427664,000000	2021-05-18T22:22:37:710
3422428,000000	2021-05-18T22:22:37:752
3418866,000000	2021-05-18T22:22:37:790
3413034,000000	2021-05-18T22:22:37:832
3407719,000000	2021-05-18T22:22:37:871
3404764,000000	2021-05-18T22:22:37:913
3401576,000000	2021-05-18T22:22:37:951
3392458,000000	2021-05-18T22:22:37:993
3384507,000000	2021-05-18T22:22:38:31
3369627,000000	2021-05-18T22:22:38:72
3357145,000000	2021-05-18T22:22:38:111
3346443,000000	2021-05-18T22:22:38:153
3337525,000000	2021-05-18T22:22:38:191
3331578,000000	2021-05-18T22:22:38:233
3322803,000000	2021-05-18T22:22:38:272
3312588,000000	2021-05-18T22:22:38:313
3304817,000000	2021-05-18T22:22:38:352
3297179,000000	2021-05-18T22:22:38:393
3288236,000000	2021-05-18T22:22:38:432
3278117,000000	2021-05-18T22:22:38:473
3272484,000000	2021-05-18T22:22:38:512
3265480,000000	2021-05-18T22:22:38:553
3258841,000000	2021-05-18T22:22:38:591
3253134,000000	2021-05-18T22:22:38:633
3242412,000000	2021-05-18T22:22:38:671
3223784,000000	2021-05-18T22:22:38:714
3205990,000000	2021-05-18T22:22:38:752
3186779,000000	2021-05-18T22:22:38:793
3174667,000000	2021-05-18T22:22:38:832
3162589,000000	2021-05-18T22:22:38:873
3152120,000000	2021-05-18T22:22:38:912
3139267,000000	2021-05-18T22:22:38:954
3121930,000000	2021-05-18T22:22:38:992
3111904,000000	2021-05-18T22:22:39:33
3100637,000000	2021-05-18T22:22:39:72
3091946,000000	2021-05-18T22:22:39:113
3084299,000000	2021-05-18T22:22:39:153
3076884,000000	2021-05-18T22:22:39:193
3071014,000000	2021-05-18T22:22:39:233
3065129,000000	2021-05-18T22:22:39:273
3059396,000000	2021-05-18T22:22:39:313
3047735,000000	2021-05-18T22:22:39:354
3029630,000000	2021-05-18T22:22:39:393
3005241,000000	2021-05-18T22:22:39:434
2982918,000000	2021-05-18T22:22:39:473
2966346,000000	2021-05-18T22:22:39:513
2953050,000000	2021-05-18T22:22:39:553
2939597,000000	2021-05-18T22:22:39:594
2927317,000000	2021-05-18T22:22:39:633
2915272,000000	2021-05-18T22:22:39:674
2906879,000000	2021-05-18T22:22:39:713
2897594,000000	2021-05-18T22:22:39:754
2889068,000000	2021-05-18T22:22:39:793
2883879,000000	2021-05-18T22:22:39:834
2879966,000000	2021-05-18T22:22:39:873
2875649,000000	2021-05-18T22:22:39:914
2871240,000000	2021-05-18T22:22:39:953
2871561,000000	2021-05-18T22:22:39:994
2869118,000000	2021-05-18T22:22:40:33
2865567,000000	2021-05-18T22:22:40:74
2857047,000000	2021-05-18T22:22:40:113
2839597,000000	2021-05-18T22:22:40:155
2822050,000000	2021-05-18T22:22:40:193
2810245,000000	2021-05-18T22:22:40:235
2797669,000000	2021-05-18T22:22:40:273
2789176,000000	2021-05-18T22:22:40:315
2786416,000000	2021-05-18T22:22:40:353
2781915,000000	2021-05-18T22:22:40:395
2779972,000000	2021-05-18T22:22:40:433
2776524,000000	2021-05-18T22:22:40:475
2770939,000000	2021-05-18T22:22:40:513
2769774,000000	2021-05-18T22:22:40:555
2767821,000000	2021-05-18T22:22:40:593
2770218,000000	2021-05-18T22:22:40:635
2770262,000000	2021-05-18T22:22:40:676
2768206,000000	2021-05-18T22:22:40:715
2771997,000000	2021-05-18T22:22:40:754
2774303,000000	2021-05-18T22:22:40:795
2779735,000000	2021-05-18T22:22:40:833
2778893,000000	2021-05-18T22:22:40:875
2768711,000000	2021-05-18T22:22:40:914
2758178,000000	2021-05-18T22:22:40:956
2749244,000000	2021-05-18T22:22:40:994
2745282,000000	2021-05-18T22:22:41:35
2742523,000000	2021-05-18T22:22:41:74
2746628,000000	2021-05-18T22:22:41:115
2751818,000000	2021-05-18T22:22:41:155
2751701,000000	2021-05-18T22:22:41:196
2759014,000000	2021-05-18T22:22:41:234
2765477,000000	2021-05-18T22:22:41:276
2768934,000000	2021-05-18T22:22:41:314
2774802,000000	2021-05-18T22:22:41:357
2781462,000000	2021-05-18T22:22:41:394
2789855,000000	2021-05-18T22:22:41:436
2802177,000000	2021-05-18T22:22:41:474
2809966,000000	2021-05-18T22:22:41:516
2818402,000000	2021-05-18T22:22:41:555
2830518,000000	2021-05-18T22:22:41:595
2836797,000000	2021-05-18T22:22:41:636
2836956,000000	2021-05-18T22:22:41:676
2835394,000000	2021-05-18T22:22:41:715
2835601,000000	2021-05-18T22:22:41:865
2837009,000000	2021-05-18T22:22:41:880
2841358,000000	2021-05-18T22:22:41:893
2850183,000000	2021-05-18T22:22:41:899
2855675,000000	2021-05-18T22:22:41:916
2865292,000000	2021-05-18T22:22:41:955
2870550,000000	2021-05-18T22:22:41:997
2880371,000000	2021-05-18T22:22:42:36
2890545,000000	2021-05-18T22:22:42:76
2897090,000000	2021-05-18T22:22:42:115
2906954,000000	2021-05-18T22:22:42:157
2915312,000000	2021-05-18T22:22:42:195
2925603,000000	2021-05-18T22:22:42:237
2936573,000000	2021-05-18T22:22:42:275
2947011,000000	2021-05-18T22:22:42:317
2956763,000000	2021-05-18T22:22:42:356
2967187,000000	2021-05-18T22:22:42:396
2971237,000000	2021-05-18T22:22:42:436
2972882,000000	2021-05-18T22:22:42:477
2977532,000000	2021-05-18T22:22:42:516
2981130,000000	2021-05-18T22:22:42:558
2987703,000000	2021-05-18T22:22:42:596
2995210,000000	2021-05-18T22:22:42:637
3003314,000000	2021-05-18T22:22:42:676
3009632,000000	2021-05-18T22:22:42:717
3020598,000000	2021-05-18T22:22:42:757
3028938,000000	2021-05-18T22:22:42:797
3038643,000000	2021-05-18T22:22:42:836
3048589,000000	2021-05-18T22:22:42:877
3055653,000000	2021-05-18T22:22:42:917
3065818,000000	2021-05-18T22:22:42:958
3074325,000000	2021-05-18T22:22:42:996
3083111,000000	2021-05-18T22:22:43:37
3091346,000000	2021-05-18T22:22:43:76
3100609,000000	2021-05-18T22:22:43:117
3106622,000000	2021-05-18T22:22:43:167
3109759,000000	2021-05-18T22:22:43:198
3111683,000000	2021-05-18T22:22:43:235
3112829,000000	2021-05-18T22:22:43:278
3116729,000000	2021-05-18T22:22:43:317
3123919,000000	2021-05-18T22:22:43:357
3130686,000000	2021-05-18T22:22:43:397
3138456,000000	2021-05-18T22:22:43:437
3145727,000000	2021-05-18T22:22:43:477
3149798,000000	2021-05-18T22:22:43:518
3156148,000000	2021-05-18T22:22:43:557
3159981,000000	2021-05-18T22:22:43:599
3165350,000000	2021-05-18T22:22:43:637
3171074,000000	2021-05-18T22:22:43:679
3178247,000000	2021-05-18T22:22:43:718
3185090,000000	2021-05-18T22:22:43:759
3191944,000000	2021-05-18T22:22:43:797
3198602,000000	2021-05-18T22:22:43:839
3206176,000000	2021-05-18T22:22:43:877
3213309,000000	2021-05-18T22:22:43:919
3215545,000000	2021-05-18T22:22:43:957
3220295,000000	2021-05-18T22:22:43:999
3221225,000000	2021-05-18T22:22:44:37
3225193,000000	2021-05-18T22:22:44:79
3231670,000000	2021-05-18T22:22:44:117
3235567,000000	2021-05-18T22:22:44:159
3241693,000000	2021-05-18T22:22:44:197
3249088,000000	2021-05-18T22:22:44:239
3253667,000000	2021-05-18T22:22:44:277
3257069,000000	2021-05-18T22:22:44:318
3261420,000000	2021-05-18T22:22:44:357
3267904,000000	2021-05-18T22:22:44:400
3270945,000000	2021-05-18T22:22:44:437
3274340,000000	2021-05-18T22:22:44:482
3279975,000000	2021-05-18T22:22:44:516
3284020,000000	2021-05-18T22:22:44:559
3287024,000000	2021-05-18T22:22:44:597
3292758,000000	2021-05-18T22:22:44:639
3302131,000000	2021-05-18T22:22:44:677
3307144,000000	2021-05-18T22:22:44:719
3309573,000000	2021-05-18T22:22:44:758
3311319,000000	2021-05-18T22:22:44:799
3312689,000000	2021-05-18T22:22:44:837
3313368,000000	2021-05-18T22:22:44:880
3315244,000000	2021-05-18T22:22:44:918
3318386,000000	2021-05-18T22:22:44:960
3323878,000000	2021-05-18T22:22:44:998
3328066,000000	2021-05-18T22:22:45:40
