light_level	ts
0,000000	2021-05-18T22:27:38:192
0,000000	2021-05-18T22:27:39:197
0,000000	2021-05-18T22:27:40:184
0,000000	2021-05-18T22:27:41:185
0,000000	2021-05-18T22:27:42:186
0,000000	2021-05-18T22:27:43:186
0,000000	2021-05-18T22:27:44:187
0,000000	2021-05-18T22:27:45:189
0,000000	2021-05-18T22:27:46:190
0,000000	2021-05-18T22:27:47:190
0,000000	2021-05-18T22:27:48:194
0,000000	2021-05-18T22:27:49:194
0,000000	2021-05-18T22:27:50:194
0,000000	2021-05-18T22:27:51:196
0,000000	2021-05-18T22:27:52:196
0,000000	2021-05-18T22:27:53:197
0,000000	2021-05-18T22:27:54:198
0,000000	2021-05-18T22:27:55:199
0,000000	2021-05-18T22:27:56:200
0,000000	2021-05-18T22:27:57:201
0,000000	2021-05-18T22:27:58:267
0,000000	2021-05-18T22:27:59:203
0,000000	2021-05-18T22:28:00:203
0,000000	2021-05-18T22:28:01:205
0,000000	2021-05-18T22:28:02:206
0,000000	2021-05-18T22:28:03:209
0,000000	2021-05-18T22:28:04:209
0,000000	2021-05-18T22:28:05:209
0,000000	2021-05-18T22:28:06:210
0,000000	2021-05-18T22:28:07:211
0,000000	2021-05-18T22:28:08:212
0,000000	2021-05-18T22:28:09:213
0,000000	2021-05-18T22:28:10:214
0,000000	2021-05-18T22:28:11:215
0,000000	2021-05-18T22:28:12:220
0,000000	2021-05-18T22:28:13:465
0,000000	2021-05-18T22:28:14:218
0,000000	2021-05-18T22:28:15:218
0,000000	2021-05-18T22:28:16:220
0,000000	2021-05-18T22:28:17:223
0,000000	2021-05-18T22:28:18:222
0,000000	2021-05-18T22:28:19:223
0,000000	2021-05-18T22:28:20:223
0,000000	2021-05-18T22:28:21:225
0,000000	2021-05-18T22:28:22:226
0,000000	2021-05-18T22:28:23:226
0,000000	2021-05-18T22:28:24:228
0,000000	2021-05-18T22:28:25:229
0,000000	2021-05-18T22:28:26:229
0,000000	2021-05-18T22:28:27:230
0,000000	2021-05-18T22:28:28:267
0,000000	2021-05-18T22:28:29:232
0,000000	2021-05-18T22:28:30:233
0,000000	2021-05-18T22:28:31:234
0,000000	2021-05-18T22:28:32:234
0,000000	2021-05-18T22:28:33:235
0,000000	2021-05-18T22:28:34:237
0,000000	2021-05-18T22:28:35:237
0,000000	2021-05-18T22:28:36:238
0,000000	2021-05-18T22:28:37:239
0,000000	2021-05-18T22:28:38:240
0,000000	2021-05-18T22:28:39:242
0,000000	2021-05-18T22:28:40:242
0,000000	2021-05-18T22:28:41:243
0,000000	2021-05-18T22:28:42:244
0,000000	2021-05-18T22:28:43:245
0,000000	2021-05-18T22:28:44:246
0,000000	2021-05-18T22:28:45:247
0,000000	2021-05-18T22:28:46:248
0,000000	2021-05-18T22:28:47:250
0,000000	2021-05-18T22:28:48:251
0,000000	2021-05-18T22:28:49:252
0,000000	2021-05-18T22:28:50:253
0,000000	2021-05-18T22:28:51:254
0,000000	2021-05-18T22:28:52:254
0,000000	2021-05-18T22:28:53:256
0,000000	2021-05-18T22:28:54:258
0,000000	2021-05-18T22:28:55:258
0,000000	2021-05-18T22:28:56:258
0,000000	2021-05-18T22:28:57:259
0,000000	2021-05-18T22:28:58:260
0,000000	2021-05-18T22:28:59:261
0,000000	2021-05-18T22:29:00:262
0,000000	2021-05-18T22:29:01:263
0,000000	2021-05-18T22:29:02:264
0,000000	2021-05-18T22:29:03:263
0,000000	2021-05-18T22:29:04:266
0,000000	2021-05-18T22:29:05:266
0,000000	2021-05-18T22:29:06:268
0,000000	2021-05-18T22:29:07:269
0,000000	2021-05-18T22:29:08:270
0,000000	2021-05-18T22:29:09:270
0,000000	2021-05-18T22:29:10:272
0,000000	2021-05-18T22:29:11:273
0,000000	2021-05-18T22:29:12:274
0,000000	2021-05-18T22:29:13:274
0,000000	2021-05-18T22:29:14:276
0,000000	2021-05-18T22:29:15:277
0,000000	2021-05-18T22:29:16:278
0,000000	2021-05-18T22:29:17:278
0,000000	2021-05-18T22:29:18:278
0,000000	2021-05-18T22:29:19:281
0,000000	2021-05-18T22:29:20:281
0,000000	2021-05-18T22:29:21:282
0,000000	2021-05-18T22:29:22:283
0,000000	2021-05-18T22:29:23:284
0,000000	2021-05-18T22:29:24:285
0,000000	2021-05-18T22:29:25:286
0,000000	2021-05-18T22:29:26:287
0,000000	2021-05-18T22:29:27:288
0,000000	2021-05-18T22:29:28:290
0,000000	2021-05-18T22:29:29:290
0,000000	2021-05-18T22:29:30:290
0,000000	2021-05-18T22:29:31:292
0,000000	2021-05-18T22:29:32:293
0,000000	2021-05-18T22:29:33:294
0,000000	2021-05-18T22:29:34:295
0,000000	2021-05-18T22:29:35:296
0,000000	2021-05-18T22:29:36:297
0,000000	2021-05-18T22:29:37:298
0,000000	2021-05-18T22:29:38:298
0,000000	2021-05-18T22:29:39:300
0,000000	2021-05-18T22:29:40:300
0,000000	2021-05-18T22:29:41:302
0,000000	2021-05-18T22:29:42:303
0,000000	2021-05-18T22:29:43:304
0,000000	2021-05-18T22:29:44:305
0,000000	2021-05-18T22:29:45:306
0,000000	2021-05-18T22:29:46:307
