v1	v2	v3	v4	ts
986,903931	221,689423	26,789999	986,905029	2021-05-18T22:32:37:474
986,906189	221,670929	26,789999	986,926514	2021-05-18T22:32:38:475
986,907227	221,660355	26,789999	986,916260	2021-05-18T22:32:39:477
986,904541	221,684143	26,789999	986,880127	2021-05-18T22:32:40:477
986,909485	221,641861	26,789999	986,953857	2021-05-18T22:32:41:478
986,909912	221,639221	26,789999	986,913818	2021-05-18T22:32:42:479
986,908020	221,655075	26,789999	986,891357	2021-05-18T22:32:43:480
986,908020	221,655075	26,789999	986,907471	2021-05-18T22:32:44:481
986,910156	221,636581	26,789999	986,929199	2021-05-18T22:32:45:491
986,911133	221,628647	26,789999	986,920166	2021-05-18T22:32:46:483
986,912598	221,615433	26,789999	986,926025	2021-05-18T22:32:47:484
986,911743	221,623367	26,799999	986,903809	2021-05-18T22:32:48:495
986,907654	221,657715	26,799999	986,871094	2021-05-18T22:32:49:484
986,909485	221,641861	26,789999	986,925781	2021-05-18T22:32:50:485
986,908203	221,652435	26,799999	986,896484	2021-05-18T22:32:51:486
986,907410	221,660355	26,799999	986,900146	2021-05-18T22:32:52:490
986,908142	221,652435	26,809999	986,914307	2021-05-18T22:32:53:491
986,908203	221,652435	26,820000	986,909180	2021-05-18T22:32:54:492
986,910583	221,631287	26,820000	986,932129	2021-05-18T22:32:55:492
986,906189	221,670929	26,830000	986,866943	2021-05-18T22:32:56:493
986,911072	221,628647	26,840000	986,954590	2021-05-18T22:32:57:494
986,908081	221,655075	26,840000	986,880859	2021-05-18T22:32:58:495
986,906067	221,670929	26,849998	986,888184	2021-05-18T22:32:59:496
986,906555	221,665649	26,849998	986,910889	2021-05-18T22:33:00:497
986,903748	221,692062	26,859999	986,878418	2021-05-18T22:33:01:498
986,905518	221,676208	26,859999	986,921387	2021-05-18T22:33:02:499
986,909119	221,644501	26,859999	986,941406	2021-05-18T22:33:03:500
986,905396	221,676208	26,869999	986,871582	2021-05-18T22:33:04:501
986,905090	221,678848	26,879999	986,902344	2021-05-18T22:33:05:511
986,906128	221,670929	26,879999	986,915771	2021-05-18T22:33:06:504
986,905884	221,673569	26,879999	986,903564	2021-05-18T22:33:07:506
986,906067	221,670929	26,889999	986,907715	2021-05-18T22:33:08:505
986,906006	221,670929	26,889999	986,905273	2021-05-18T22:33:09:506
986,909119	221,644501	26,889999	986,937012	2021-05-18T22:33:10:507
986,908936	221,647141	26,879999	986,906982	2021-05-18T22:33:11:507
986,906982	221,662994	26,879999	986,889160	2021-05-18T22:33:12:509
986,905518	221,676208	26,879999	986,892578	2021-05-18T22:33:13:509
986,907715	221,657715	26,879999	986,927002	2021-05-18T22:33:14:702
986,906311	221,668289	26,879999	986,893555	2021-05-18T22:33:15:512
986,909668	221,639221	26,879999	986,940186	2021-05-18T22:33:16:513
986,906677	221,665649	26,879999	986,879639	2021-05-18T22:33:17:514
986,908264	221,652435	26,889999	986,922363	2021-05-18T22:33:18:514
986,909485	221,641861	26,889999	986,920410	2021-05-18T22:33:19:516
986,907471	221,657715	26,889999	986,889404	2021-05-18T22:33:20:516
986,908264	221,652435	26,889999	986,915527	2021-05-18T22:33:21:518
986,910583	221,631287	26,889999	986,931396	2021-05-18T22:33:22:518
986,912109	221,620728	26,889999	986,926270	2021-05-18T22:33:23:519
986,913757	221,604874	26,889999	986,928467	2021-05-18T22:33:24:521
986,912292	221,618088	26,889999	986,899414	2021-05-18T22:33:25:522
986,911011	221,628647	26,879999	986,899170	2021-05-18T22:33:26:522
986,912170	221,618088	26,879999	986,922119	2021-05-18T22:33:27:523
986,910828	221,631287	26,879999	986,898682	2021-05-18T22:33:28:524
986,911133	221,628647	26,879999	986,913818	2021-05-18T22:33:29:763
986,913269	221,610153	26,879999	986,932617	2021-05-18T22:33:30:535
986,916382	221,583725	26,889999	986,944336	2021-05-18T22:33:31:528
986,919128	221,559952	26,889999	986,943604	2021-05-18T22:33:32:529
986,920715	221,546738	26,889999	986,935059	2021-05-18T22:33:33:539
986,918762	221,562592	26,900000	986,901123	2021-05-18T22:33:34:530
986,917480	221,573166	26,910000	986,906006	2021-05-18T22:33:35:531
986,916504	221,581085	26,900000	986,907471	2021-05-18T22:33:36:532
986,917725	221,570526	26,900000	986,928223	2021-05-18T22:33:37:533
986,918030	221,567871	26,900000	986,920410	2021-05-18T22:33:38:534
986,914185	221,602234	26,900000	986,879395	2021-05-18T22:33:39:534
986,912537	221,615433	26,900000	986,897705	2021-05-18T22:33:40:536
986,913879	221,604874	26,889999	986,926270	2021-05-18T22:33:41:538
986,915222	221,594299	26,889999	986,927246	2021-05-18T22:33:42:538
986,917725	221,570526	26,900000	986,940186	2021-05-18T22:33:43:540
986,915771	221,589020	26,889999	986,897949	2021-05-18T22:33:44:536
986,913757	221,604874	26,889999	986,895752	2021-05-18T22:33:45:541
986,914246	221,602234	26,900000	986,918945	2021-05-18T22:33:46:542
986,913452	221,607513	26,900000	986,906250	2021-05-18T22:33:47:544
986,916321	221,583725	26,900000	986,941650	2021-05-18T22:33:48:545
986,917969	221,570526	26,900000	986,932617	2021-05-18T22:33:49:546
986,916992	221,578445	26,900000	986,908203	2021-05-18T22:33:50:546
986,917114	221,575806	26,900000	986,917969	2021-05-18T22:33:51:547
986,917297	221,575806	26,900000	986,918701	2021-05-18T22:33:52:549
986,918213	221,567871	26,900000	986,926758	2021-05-18T22:33:53:550
986,920166	221,552017	26,900000	986,937744	2021-05-18T22:33:54:551
986,920898	221,544098	26,900000	986,927002	2021-05-18T22:33:55:550
986,921936	221,536163	26,900000	986,931641	2021-05-18T22:33:56:559
986,921997	221,536163	26,900000	986,922119	2021-05-18T22:33:57:552
