light_intensity	ts
2634900,000000	2021-05-18T22:07:37:196
2634854,000000	2021-05-18T22:07:37:232
2635672,000000	2021-05-18T22:07:37:273
2638030,000000	2021-05-18T22:07:37:311
2638916,000000	2021-05-18T22:07:37:353
2640007,000000	2021-05-18T22:07:37:392
2639098,000000	2021-05-18T22:07:37:433
2640793,000000	2021-05-18T22:07:37:472
2643150,000000	2021-05-18T22:07:37:513
2643822,000000	2021-05-18T22:07:37:552
2645686,000000	2021-05-18T22:07:37:593
2643887,000000	2021-05-18T22:07:37:632
2638838,000000	2021-05-18T22:07:37:673
2635133,000000	2021-05-18T22:07:37:712
2630548,000000	2021-05-18T22:07:37:753
2628015,000000	2021-05-18T22:07:37:792
2627016,000000	2021-05-18T22:07:37:834
2626410,000000	2021-05-18T22:07:37:872
2625504,000000	2021-05-18T22:07:37:913
2623424,000000	2021-05-18T22:07:37:952
2622415,000000	2021-05-18T22:07:37:993
2622562,000000	2021-05-18T22:07:38:32
2623162,000000	2021-05-18T22:07:38:74
2624520,000000	2021-05-18T22:07:38:123
2626245,000000	2021-05-18T22:07:38:153
2628353,000000	2021-05-18T22:07:38:191
2630406,000000	2021-05-18T22:07:38:233
2634791,000000	2021-05-18T22:07:38:273
2634791,000000	2021-05-18T22:07:38:314
2636537,000000	2021-05-18T22:07:38:352
2638813,000000	2021-05-18T22:07:38:393
2640295,000000	2021-05-18T22:07:38:432
2634911,000000	2021-05-18T22:07:38:474
2634911,000000	2021-05-18T22:07:38:512
2631435,000000	2021-05-18T22:07:38:553
2631031,000000	2021-05-18T22:07:38:592
2630476,000000	2021-05-18T22:07:38:634
2630081,000000	2021-05-18T22:07:38:673
2630326,000000	2021-05-18T22:07:38:715
2630628,000000	2021-05-18T22:07:38:857
2631111,000000	2021-05-18T22:07:38:866
2631764,000000	2021-05-18T22:07:38:885
2633555,000000	2021-05-18T22:07:38:893
2636455,000000	2021-05-18T22:07:38:912
2638266,000000	2021-05-18T22:07:38:955
2639799,000000	2021-05-18T22:07:38:993
2641505,000000	2021-05-18T22:07:39:35
2643752,000000	2021-05-18T22:07:39:73
2643498,000000	2021-05-18T22:07:39:115
2638741,000000	2021-05-18T22:07:39:154
2634354,000000	2021-05-18T22:07:39:195
2630622,000000	2021-05-18T22:07:39:233
2628323,000000	2021-05-18T22:07:39:275
2628669,000000	2021-05-18T22:07:39:314
2628901,000000	2021-05-18T22:07:39:356
2629114,000000	2021-05-18T22:07:39:394
2628923,000000	2021-05-18T22:07:39:435
2627919,000000	2021-05-18T22:07:39:473
2627953,000000	2021-05-18T22:07:39:515
2628674,000000	2021-05-18T22:07:39:558
2630206,000000	2021-05-18T22:07:39:597
2632461,000000	2021-05-18T22:07:39:634
2632259,000000	2021-05-18T22:07:39:676
2634040,000000	2021-05-18T22:07:39:714
2635577,000000	2021-05-18T22:07:39:755
2635485,000000	2021-05-18T22:07:39:794
2630630,000000	2021-05-18T22:07:39:836
2625124,000000	2021-05-18T22:07:39:873
2621110,000000	2021-05-18T22:07:39:915
2618237,000000	2021-05-18T22:07:39:954
2617715,000000	2021-05-18T22:07:39:996
2615644,000000	2021-05-18T22:07:40:34
2614477,000000	2021-05-18T22:07:40:76
2613338,000000	2021-05-18T22:07:40:114
2613288,000000	2021-05-18T22:07:40:156
2610689,000000	2021-05-18T22:07:40:194
2607899,000000	2021-05-18T22:07:40:236
2606577,000000	2021-05-18T22:07:40:273
2607055,000000	2021-05-18T22:07:40:316
2608786,000000	2021-05-18T22:07:40:354
2608738,000000	2021-05-18T22:07:40:396
2610416,000000	2021-05-18T22:07:40:433
2610815,000000	2021-05-18T22:07:40:476
2610548,000000	2021-05-18T22:07:40:514
2612613,000000	2021-05-18T22:07:40:556
2616156,000000	2021-05-18T22:07:40:595
2615964,000000	2021-05-18T22:07:40:636
2611822,000000	2021-05-18T22:07:40:675
2605642,000000	2021-05-18T22:07:40:717
2599717,000000	2021-05-18T22:07:40:755
2596270,000000	2021-05-18T22:07:40:797
2593454,000000	2021-05-18T22:07:40:835
2592267,000000	2021-05-18T22:07:40:878
2591090,000000	2021-05-18T22:07:40:915
2592279,000000	2021-05-18T22:07:40:956
2591672,000000	2021-05-18T22:07:40:996
2595960,000000	2021-05-18T22:07:41:37
2602641,000000	2021-05-18T22:07:41:76
2611769,000000	2021-05-18T22:07:41:117
2619193,000000	2021-05-18T22:07:41:156
2636525,000000	2021-05-18T22:07:41:197
2649984,000000	2021-05-18T22:07:41:236
2654186,000000	2021-05-18T22:07:41:277
2660503,000000	2021-05-18T22:07:41:316
2663038,000000	2021-05-18T22:07:41:358
2667168,000000	2021-05-18T22:07:41:395
2666860,000000	2021-05-18T22:07:41:437
2663292,000000	2021-05-18T22:07:41:476
2659619,000000	2021-05-18T22:07:41:517
2653289,000000	2021-05-18T22:07:41:556
2650311,000000	2021-05-18T22:07:41:597
2648729,000000	2021-05-18T22:07:41:635
2647706,000000	2021-05-18T22:07:41:678
2646740,000000	2021-05-18T22:07:41:716
2645473,000000	2021-05-18T22:07:41:761
2644099,000000	2021-05-18T22:07:41:796
2643593,000000	2021-05-18T22:07:41:846
2643781,000000	2021-05-18T22:07:41:879
2643846,000000	2021-05-18T22:07:41:917
2644528,000000	2021-05-18T22:07:41:956
2645994,000000	2021-05-18T22:07:41:997
2647749,000000	2021-05-18T22:07:42:36
2648939,000000	2021-05-18T22:07:42:78
2650071,000000	2021-05-18T22:07:42:116
2650838,000000	2021-05-18T22:07:42:157
2651113,000000	2021-05-18T22:07:42:196
2649915,000000	2021-05-18T22:07:42:238
2643997,000000	2021-05-18T22:07:42:277
2637475,000000	2021-05-18T22:07:42:317
2633884,000000	2021-05-18T22:07:42:357
2630892,000000	2021-05-18T22:07:42:397
2628843,000000	2021-05-18T22:07:42:437
2626502,000000	2021-05-18T22:07:42:479
2625745,000000	2021-05-18T22:07:42:517
2624493,000000	2021-05-18T22:07:42:558
2623411,000000	2021-05-18T22:07:42:597
2624214,000000	2021-05-18T22:07:42:638
2622248,000000	2021-05-18T22:07:42:677
2624774,000000	2021-05-18T22:07:42:718
2623980,000000	2021-05-18T22:07:42:757
2625064,000000	2021-05-18T22:07:42:799
