x	y	z	ts
-1,115055	-5,350351	8,315059	2021-05-12T16:01:59:281
-1,095913	-5,391029	8,291130	2021-05-12T16:01:59:298
-1,201197	-5,326423	8,238488	2021-05-12T16:01:59:320
-1,148555	-5,276174	8,255238	2021-05-12T16:01:59:339
-1,167697	-5,364708	8,317451	2021-05-12T16:01:59:362
-1,093520	-5,400600	8,322237	2021-05-12T16:01:59:378
-1,083949	-5,280960	8,262416	2021-05-12T16:01:59:402
-1,079163	-5,309673	8,370094	2021-05-12T16:01:59:417
-1,179662	-5,331209	8,262416	2021-05-12T16:01:59:442
-1,064806	-5,350351	8,372486	2021-05-12T16:01:59:458
-1,064806	-5,328816	8,305488	2021-05-12T16:01:59:480
-1,117448	-5,345565	8,271988	2021-05-12T16:01:59:498
-1,055235	-5,352744	8,279166	2021-05-12T16:01:59:521
-1,050449	-5,314459	8,319844	2021-05-12T16:01:59:538
-1,071985	-5,295317	8,295916	2021-05-12T16:01:59:561
-1,150948	-5,252246	8,288737	2021-05-12T16:01:59:578
-1,162912	-5,321638	8,346166	2021-05-12T16:01:59:602
-1,112662	-5,290531	8,291130	2021-05-12T16:01:59:618
-1,074377	-5,338387	8,319844	2021-05-12T16:01:59:640
-1,134198	-5,386244	8,324631	2021-05-12T16:01:59:658
-1,115055	-5,383851	8,271988	2021-05-12T16:01:59:682
-1,057628	-5,383851	8,260024	2021-05-12T16:01:59:698
-1,100698	-5,331209	8,327023	2021-05-12T16:01:59:721
-1,124627	-5,312066	8,288737	2021-05-12T16:01:59:739
-1,095913	-5,338387	8,238488	2021-05-12T16:01:59:762
-1,083949	-5,321638	8,269595	2021-05-12T16:01:59:778
-1,079163	-5,371887	8,240881	2021-05-12T16:01:59:801
-1,093520	-5,331209	8,312666	2021-05-12T16:01:59:818
-1,110270	-5,314459	8,300702	2021-05-12T16:01:59:842
-1,064806	-5,350351	8,264810	2021-05-12T16:01:59:858
-1,122234	-5,300103	8,303094	2021-05-12T16:01:59:881
-1,115055	-5,343173	8,312666	2021-05-12T16:01:59:899
-1,110270	-5,271388	8,293523	2021-05-12T16:01:59:922
-1,107877	-5,319244	8,238488	2021-05-12T16:01:59:938
-1,153341	-5,280960	8,312666	2021-05-12T16:01:59:961
-1,146162	-5,374279	8,252845	2021-05-12T16:01:59:978
-1,122234	-5,328816	8,250452	2021-05-12T16:02:00:2
-1,091127	-5,398208	8,221739	2021-05-12T16:02:00:18
-1,127020	-5,371887	8,286345	2021-05-12T16:02:00:41
-1,062413	-5,292924	8,283953	2021-05-12T16:02:00:59
-1,081556	-5,271388	8,279166	2021-05-12T16:02:00:84
-1,083949	-5,225924	8,274381	2021-05-12T16:02:00:99
-1,117448	-5,264209	8,331808	2021-05-12T16:02:00:121
-1,127020	-5,316852	8,305488	2021-05-12T16:02:00:138
-1,179662	-5,324030	8,264810	2021-05-12T16:02:00:162
-1,141376	-5,357530	8,291130	2021-05-12T16:02:00:178
-1,129412	-5,314459	8,281559	2021-05-12T16:02:00:201
-1,119841	-5,357530	8,267202	2021-05-12T16:02:00:219
-1,127020	-5,333601	8,293523	2021-05-12T16:02:00:242
-1,148555	-5,247460	8,245667	2021-05-12T16:02:00:259
-1,086342	-5,328816	8,312666	2021-05-12T16:02:00:281
-1,098306	-5,333601	8,310273	2021-05-12T16:02:00:299
-1,062413	-5,338387	8,286345	2021-05-12T16:02:00:322
-1,146162	-5,338387	8,324631	2021-05-12T16:02:00:339
-1,160519	-5,194818	8,401200	2021-05-12T16:02:00:361
-1,067199	-5,438886	8,274381	2021-05-12T16:02:00:378
-1,167697	-5,393422	8,303094	2021-05-12T16:02:00:402
-1,112662	-5,386244	8,271988	2021-05-12T16:02:00:419
-1,091127	-5,362316	8,336594	2021-05-12T16:02:00:441
-1,117448	-5,391029	8,257630	2021-05-12T16:02:00:459
-1,091127	-5,345565	8,288737	2021-05-12T16:02:00:482
-1,083949	-5,398208	8,283953	2021-05-12T16:02:00:499
-1,115055	-5,338387	8,243275	2021-05-12T16:02:00:521
-1,182054	-5,285746	8,267202	2021-05-12T16:02:00:539
-1,088734	-5,340781	8,319844	2021-05-12T16:02:00:562
-1,119841	-5,402994	8,310273	2021-05-12T16:02:00:579
-1,146162	-5,388636	8,260024	2021-05-12T16:02:00:601
-1,074377	-5,338387	8,312666	2021-05-12T16:02:00:619
-1,048056	-5,321638	8,322237	2021-05-12T16:02:00:642
-1,184447	-5,357530	8,231310	2021-05-12T16:02:00:659
-1,196411	-5,280960	8,250452	2021-05-12T16:02:00:681
-1,165305	-5,328816	8,262416	2021-05-12T16:02:00:699
-1,057628	-5,347959	8,264810	2021-05-12T16:02:00:722
-1,091127	-5,359922	8,281559	2021-05-12T16:02:00:740
-1,115055	-5,407779	8,245667	2021-05-12T16:02:00:761
-1,076770	-5,321638	8,269595	2021-05-12T16:02:00:779
-1,095913	-5,335995	8,317451	2021-05-12T16:02:00:802
-1,069592	-5,321638	8,264810	2021-05-12T16:02:00:819
-1,153341	-5,324030	8,269595	2021-05-12T16:02:00:841
-1,074377	-5,259424	8,300702	2021-05-12T16:02:00:859
-1,131805	-5,388636	8,257630	2021-05-12T16:02:00:882
-1,110270	-5,338387	8,255238	2021-05-12T16:02:00:899
-1,107877	-5,352744	8,228917	2021-05-12T16:02:00:921
-1,064806	-5,252246	8,271988	2021-05-12T16:02:00:939
-1,138984	-5,331209	8,250452	2021-05-12T16:02:00:963
-1,098306	-5,343173	8,322237	2021-05-12T16:02:00:979
-1,119841	-5,359922	8,262416	2021-05-12T16:02:01:2
-1,091127	-5,290531	8,252845	2021-05-12T16:02:01:19
-1,115055	-5,290531	8,262416	2021-05-12T16:02:01:42
-1,103091	-5,312066	8,271988	2021-05-12T16:02:01:59
-1,146162	-5,434100	8,264810	2021-05-12T16:02:01:81
-1,105484	-5,407779	8,250452	2021-05-12T16:02:01:100
-1,148555	-5,309673	8,283953	2021-05-12T16:02:01:123
-1,067199	-5,364708	8,281559	2021-05-12T16:02:01:139
-1,060020	-5,405386	8,219346	2021-05-12T16:02:01:162
-1,122234	-5,288138	8,300702	2021-05-12T16:02:01:179
-1,127020	-5,264209	8,305488	2021-05-12T16:02:01:203
-1,141376	-5,338387	8,264810	2021-05-12T16:02:01:219
-1,067199	-5,292924	8,260024	2021-05-12T16:02:01:242
-1,134198	-5,350351	8,269595	2021-05-12T16:02:01:259
-1,100698	-5,402994	8,193025	2021-05-12T16:02:01:283
-1,117448	-5,319244	8,209774	2021-05-12T16:02:01:300
-1,098306	-5,407779	8,252845	2021-05-12T16:02:01:321
-1,150948	-5,321638	8,295916	2021-05-12T16:02:01:339
-1,174876	-5,257031	8,286345	2021-05-12T16:02:01:363
-1,110270	-5,300103	8,305488	2021-05-12T16:02:01:379
-1,098306	-5,352744	8,334201	2021-05-12T16:02:01:402
-1,074377	-5,417351	8,307880	2021-05-12T16:02:01:420
-1,021735	-5,381458	8,283953	2021-05-12T16:02:01:443
-1,105484	-5,314459	8,283953	2021-05-12T16:02:01:460
-1,150948	-5,362316	8,300702	2021-05-12T16:02:01:482
-1,153341	-5,405386	8,286345	2021-05-12T16:02:01:500
-1,162912	-5,417351	8,291130	2021-05-12T16:02:01:523
-1,189233	-5,290531	8,279166	2021-05-12T16:02:01:539
-1,165305	-5,343173	8,295916	2021-05-12T16:02:01:562
-1,136591	-5,316852	8,250452	2021-05-12T16:02:01:579
-1,112662	-5,324030	8,288737	2021-05-12T16:02:01:603
-1,129412	-5,362316	8,274381	2021-05-12T16:02:01:619
-1,215554	-5,343173	8,204988	2021-05-12T16:02:01:642
-1,177269	-5,364708	8,279166	2021-05-12T16:02:01:660
-1,170090	-5,302495	8,274381	2021-05-12T16:02:01:683
-1,143769	-5,426922	8,327023	2021-05-12T16:02:01:700
-1,155733	-5,383851	8,257630	2021-05-12T16:02:01:722
-1,127020	-5,264209	8,293523	2021-05-12T16:02:01:741
-1,158126	-5,280960	8,286345	2021-05-12T16:02:01:763
-1,158126	-5,312066	8,334201	2021-05-12T16:02:01:780
-1,174876	-5,297709	8,341379	2021-05-12T16:02:01:802
-1,256232	-5,335995	8,274381	2021-05-12T16:02:01:820
-1,191626	-5,347959	8,291130	2021-05-12T16:02:01:844
-1,153341	-5,388636	8,348558	2021-05-12T16:02:01:861
-1,138984	-5,367101	8,260024	2021-05-12T16:02:01:882
-1,210768	-5,343173	8,274381	2021-05-12T16:02:01:900
-1,158126	-5,340781	8,367701	2021-05-12T16:02:01:924
-1,131805	-5,280960	8,336594	2021-05-12T16:02:01:940
-1,179662	-5,237889	8,315059	2021-05-12T16:02:01:962
-1,217947	-5,343173	8,372486	2021-05-12T16:02:01:980
-1,122234	-5,333601	8,262416	2021-05-12T16:02:02:4
-1,136591	-5,278566	8,255238	2021-05-12T16:02:02:20
-1,196411	-5,268995	8,245667	2021-05-12T16:02:02:42
-1,210768	-5,328816	8,264810	2021-05-12T16:02:02:60
-1,234696	-5,331209	8,295916	2021-05-12T16:02:02:84
-1,177269	-5,266603	8,264810	2021-05-12T16:02:02:101
-1,174876	-5,359922	8,288737	2021-05-12T16:02:02:122
-1,215554	-5,295317	8,327023	2021-05-12T16:02:02:140
-1,217947	-5,369494	8,319844	2021-05-12T16:02:02:164
-1,138984	-5,326423	8,293523	2021-05-12T16:02:02:180
-1,138984	-5,324030	8,286345	2021-05-12T16:02:02:203
-1,246661	-5,266603	8,298308	2021-05-12T16:02:02:221
-1,225125	-5,283352	8,279166	2021-05-12T16:02:02:244
-1,196411	-5,333601	8,286345	2021-05-12T16:02:02:261
-1,143769	-5,350351	8,291130	2021-05-12T16:02:02:282
-1,194018	-5,338387	8,305488	2021-05-12T16:02:02:300
-1,146162	-5,331209	8,322237	2021-05-12T16:02:02:324
-1,234696	-5,297709	8,262416	2021-05-12T16:02:02:340
-1,174876	-5,273781	8,303094	2021-05-12T16:02:02:363
-1,158126	-5,257031	8,331808	2021-05-12T16:02:02:380
-1,222732	-5,402994	8,317451	2021-05-12T16:02:02:404
-1,117448	-5,316852	8,329416	2021-05-12T16:02:02:420
-1,105484	-5,347959	8,307880	2021-05-12T16:02:02:443
-1,162912	-5,245068	8,303094	2021-05-12T16:02:02:460
-1,225125	-5,328816	8,386844	2021-05-12T16:02:02:484
-1,172483	-5,233103	8,324631	2021-05-12T16:02:02:501
-1,146162	-5,218746	8,300702	2021-05-12T16:02:02:523
-1,136591	-5,288138	8,329416	2021-05-12T16:02:02:540
-1,134198	-5,280960	8,250452	2021-05-12T16:02:02:564
-1,141376	-5,357530	8,240881	2021-05-12T16:02:02:581
-1,165305	-5,271388	8,281559	2021-05-12T16:02:02:603
-1,158126	-5,247460	8,310273	2021-05-12T16:02:02:621
-1,141376	-5,319244	8,293523	2021-05-12T16:02:02:644
-1,124627	-5,347959	8,310273	2021-05-12T16:02:02:661
-1,138984	-5,379066	8,310273	2021-05-12T16:02:02:684
-1,150948	-5,312066	8,312666	2021-05-12T16:02:02:701
-1,103091	-5,292924	8,312666	2021-05-12T16:02:02:725
-1,198804	-5,271388	8,322237	2021-05-12T16:02:02:744
-1,150948	-5,369494	8,298308	2021-05-12T16:02:02:763
-1,158126	-5,297709	8,324631	2021-05-12T16:02:02:781
-1,143769	-5,355137	8,291130	2021-05-12T16:02:02:805
-1,107877	-5,391029	8,331808	2021-05-12T16:02:02:821
-1,150948	-5,285746	8,293523	2021-05-12T16:02:02:844
-1,117448	-5,242674	8,343772	2021-05-12T16:02:02:862
-1,186840	-5,280960	8,355737	2021-05-12T16:02:02:884
-1,136591	-5,355137	8,295916	2021-05-12T16:02:02:900
-1,148555	-5,199604	8,317451	2021-05-12T16:02:02:923
-1,083949	-5,316852	8,291130	2021-05-12T16:02:02:941
-1,095913	-5,431707	8,274381	2021-05-12T16:02:02:965
-1,107877	-5,345565	8,298308	2021-05-12T16:02:02:981
-1,117448	-5,381458	8,331808	2021-05-12T16:02:03:4
-1,112662	-5,338387	8,260024	2021-05-12T16:02:03:21
-1,160519	-5,302495	8,288737	2021-05-12T16:02:03:45
-1,112662	-5,295317	8,348558	2021-05-12T16:02:03:61
-1,071985	-5,276174	8,329416	2021-05-12T16:02:03:84
-1,127020	-5,340781	8,288737	2021-05-12T16:02:03:101
-1,052842	-5,347959	8,279166	2021-05-12T16:02:03:127
-1,088734	-5,252246	8,303094	2021-05-12T16:02:03:141
-1,062413	-5,312066	8,312666	2021-05-12T16:02:03:164
-1,081556	-5,362316	8,343772	2021-05-12T16:02:03:181
-1,074377	-5,331209	8,327023	2021-05-12T16:02:03:205
-1,150948	-5,314459	8,267202	2021-05-12T16:02:03:221
-1,122234	-5,307281	8,343772	2021-05-12T16:02:03:244
-1,079163	-5,273781	8,291130	2021-05-12T16:02:03:261
-1,162912	-5,338387	8,248059	2021-05-12T16:02:03:285
-1,134198	-5,326423	8,350951	2021-05-12T16:02:03:302
-1,122234	-5,249853	8,283953	2021-05-12T16:02:03:324
-1,189233	-5,314459	8,281559	2021-05-12T16:02:03:341
-1,112662	-5,300103	8,300702	2021-05-12T16:02:03:365
-1,107877	-5,316852	8,305488	2021-05-12T16:02:03:381
-1,083949	-5,352744	8,317451	2021-05-12T16:02:03:404
-1,155733	-5,278566	8,312666	2021-05-12T16:02:03:421
-1,031307	-5,350351	8,307880	2021-05-12T16:02:03:445
-1,107877	-5,367101	8,315059	2021-05-12T16:02:03:462
-1,122234	-5,321638	8,291130	2021-05-12T16:02:03:484
-1,150948	-5,379066	8,269595	2021-05-12T16:02:03:502
-1,107877	-5,410172	8,312666	2021-05-12T16:02:03:525
-1,184447	-5,350351	8,288737	2021-05-12T16:02:03:541
-1,055235	-5,312066	8,295916	2021-05-12T16:02:03:567
-1,127020	-5,335995	8,276773	2021-05-12T16:02:03:582
-1,127020	-5,312066	8,312666	2021-05-12T16:02:03:605
-1,105484	-5,331209	8,303094	2021-05-12T16:02:03:622
-1,129412	-5,357530	8,269595	2021-05-12T16:02:03:644
-1,060020	-5,355137	8,281559	2021-05-12T16:02:03:662
-1,081556	-5,386244	8,291130	2021-05-12T16:02:03:685
-1,124627	-5,309673	8,365308	2021-05-12T16:02:03:702
-1,055235	-5,292924	8,283953	2021-05-12T16:02:03:724
-1,146162	-5,290531	8,243275	2021-05-12T16:02:03:744
-1,122234	-5,324030	8,319844	2021-05-12T16:02:03:766
-1,141376	-5,338387	8,310273	2021-05-12T16:02:03:782
-1,134198	-5,340781	8,288737	2021-05-12T16:02:03:805
-1,088734	-5,335995	8,298308	2021-05-12T16:02:03:822
-1,081556	-5,374279	8,300702	2021-05-12T16:02:03:847
-1,122234	-5,379066	8,293523	2021-05-12T16:02:03:862
-1,127020	-5,376673	8,245667	2021-05-12T16:02:03:884
-1,117448	-5,367101	8,279166	2021-05-12T16:02:03:902
-1,093520	-5,335995	8,329416	2021-05-12T16:02:03:925
-1,131805	-5,302495	8,315059	2021-05-12T16:02:03:942
-1,107877	-5,362316	8,298308	2021-05-12T16:02:03:964
-1,081556	-5,369494	8,303094	2021-05-12T16:02:03:982
-1,148555	-5,328816	8,291130	2021-05-12T16:02:04:6
-1,083949	-5,295317	8,310273	2021-05-12T16:02:04:22
-1,122234	-5,278566	8,315059	2021-05-12T16:02:04:45
-1,091127	-5,338387	8,295916	2021-05-12T16:02:04:62
-1,177269	-5,400600	8,274381	2021-05-12T16:02:04:88
-1,067199	-5,402994	8,293523	2021-05-12T16:02:04:102
-1,148555	-5,405386	8,288737	2021-05-12T16:02:04:125
-1,048056	-5,352744	8,312666	2021-05-12T16:02:04:142
-1,086342	-5,312066	8,307880	2021-05-12T16:02:04:166
-1,103091	-5,264209	8,305488	2021-05-12T16:02:04:182
-1,110270	-5,326423	8,329416	2021-05-12T16:02:04:205
-1,115055	-5,307281	8,267202	2021-05-12T16:02:04:223
-1,086342	-5,371887	8,295916	2021-05-12T16:02:04:246
-1,107877	-5,316852	8,262416	2021-05-12T16:02:04:263
-1,100698	-5,340781	8,269595	2021-05-12T16:02:04:284
-1,122234	-5,391029	8,262416	2021-05-12T16:02:04:303
-1,138984	-5,285746	8,279166	2021-05-12T16:02:04:326
-1,103091	-5,304887	8,305488	2021-05-12T16:02:04:342
-1,107877	-5,302495	8,324631	2021-05-12T16:02:04:365
-1,127020	-5,309673	8,307880	2021-05-12T16:02:04:382
-1,150948	-5,326423	8,286345	2021-05-12T16:02:04:406
-1,105484	-5,300103	8,283953	2021-05-12T16:02:04:423
-1,155733	-5,407779	8,279166	2021-05-12T16:02:04:445
-1,124627	-5,359922	8,300702	2021-05-12T16:02:04:463
-1,098306	-5,412565	8,303094	2021-05-12T16:02:04:486
-1,091127	-5,331209	8,260024	2021-05-12T16:02:04:503
-1,110270	-5,381458	8,262416	2021-05-12T16:02:04:525
-1,112662	-5,369494	8,245667	2021-05-12T16:02:04:543
-1,141376	-5,300103	8,276773	2021-05-12T16:02:04:566
-1,127020	-5,257031	8,413164	2021-05-12T16:02:04:582
-0,993021	-5,362316	8,281559	2021-05-12T16:02:04:605
-1,088734	-5,379066	8,324631	2021-05-12T16:02:04:623
-1,069592	-5,426922	8,300702	2021-05-12T16:02:04:646
-1,162912	-5,319244	8,327023	2021-05-12T16:02:04:663
-1,136591	-5,355137	8,269595	2021-05-12T16:02:04:685
-1,127020	-5,345565	8,226524	2021-05-12T16:02:04:703
-1,071985	-5,371887	8,233703	2021-05-12T16:02:04:726
-1,115055	-5,398208	8,298308	2021-05-12T16:02:04:744
-1,076770	-5,400600	8,269595	2021-05-12T16:02:04:765
-1,136591	-5,295317	8,291130	2021-05-12T16:02:04:783
-1,093520	-5,347959	8,307880	2021-05-12T16:02:04:807
-1,138984	-5,352744	8,267202	2021-05-12T16:02:04:823
-1,098306	-5,345565	8,286345	2021-05-12T16:02:04:845
-1,122234	-5,391029	8,274381	2021-05-12T16:02:04:863
-1,122234	-5,417351	8,255238	2021-05-12T16:02:04:886
-1,150948	-5,364708	8,288737	2021-05-12T16:02:04:903
-1,083949	-5,407779	8,219346	2021-05-12T16:02:04:925
-1,095913	-5,414958	8,279166	2021-05-12T16:02:04:943
-1,127020	-5,321638	8,279166	2021-05-12T16:02:04:967
-1,150948	-5,357530	8,212167	2021-05-12T16:02:04:983
