x,y,z
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,9
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,9
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-65,8
0,-64,9
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
1,-65,8
-1,-64,8
0,-63,8
0,-66,9
1,-65,8
0,-64,8
1,-65,9
0,-64,8
0,-64,9
0,-63,8
1,-65,8
-1,-64,8
1,-66,8
1,-65,8
-1,-65,9
1,-64,8
-1,-64,8
0,-62,9
1,-64,8
0,-64,9
-1,-64,8
0,-64,8
0,-65,9
1,-67,8
-1,-63,9
0,-66,8
0,-64,9
0,-64,8
-1,-64,8
1,-65,8
0,-65,8
0,-64,8
1,-65,9
0,-64,8
0,-64,8
0,-65,8
-1,-64,8
1,-65,8
1,-64,9
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
1,-65,8
-1,-64,8
0,-65,8
-1,-64,8
-1,-64,9
1,-65,8
-1,-64,8
-1,-64,8
1,-65,8
-1,-64,8
1,-65,8
0,-65,8
-2,-64,9
1,-65,8
-1,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
1,-65,8
-1,-64,8
0,-64,8
0,-64,8
-1,-64,8
1,-65,8
-1,-64,8
-1,-64,8
1,-65,8
-1,-64,8
0,-64,8
0,-65,8
-1,-64,8
0,-65,8
1,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
-1,-64,8
1,-65,8
-1,-64,8
-1,-64,8
1,-65,8
0,-64,8
0,-65,9
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
-1,-65,8
1,-65,8
1,-65,8
-1,-63,8
1,-65,8
-1,-64,8
0,-65,8
1,-65,8
-1,-64,8
1,-65,8
-1,-64,8
0,-64,8
1,-65,8
-1,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
-1,-64,8
1,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
-1,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
-1,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,9
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
1,-65,7
-2,-63,8
0,-64,8
-1,-64,8
0,-65,9
0,-64,8
0,-65,9
-1,-64,8
0,-65,9
0,-65,8
0,-65,8
0,-65,8
0,-64,9
0,-65,9
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,9
0,-64,8
0,-65,9
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,9
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,9
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
