,value,experiments
0,0.02435635398280749,
1,0.024329615738335968,
2,0.0243080176410843,
3,0.02430651964426073,
4,0.02429441704850253,
5,0.02427258543512768,
6,0.024276016791848598,
7,0.024264458604338263,
8,0.02424874180305136,
9,0.02424399607217928,
10,0.024215365149758163,
11,0.02418382085986071,
12,0.024196922333464186,
13,0.02416775248211676,
14,0.024138341717692028,
15,0.024136020747812043,
16,0.024115517774662608,
17,0.024116710309746568,
18,0.0241084274811853,
19,0.024105703913949925,
20,0.024129033326927604,
21,0.024140875732411263,
22,0.02412986486768755,
23,0.024149597942952367,
24,0.02412112956978019,
25,0.024128577522654127,
26,0.02415978186070972,
27,0.024166431114328674,
28,0.024193665153171545,
29,0.024207250431917963,
30,0.024212214642341558,
31,0.02420478291858241,
32,0.024203692799420768,
33,0.024207665331438862,
34,0.0241776163811186,
35,0.02414455903658343,
36,0.024126890914904203,
37,0.024152599327918044,
38,0.024154995829689288,
39,0.024171693176564875,
40,0.02411038720567212,
41,0.02409450572088849,
42,0.024089586654993646,
43,0.02405808828307994,
44,0.02408688165978079,
45,0.024107439778906056,
46,0.024137545298782183,
47,0.0241375694924343,
48,0.02414403587430098,
49,0.024127276874965818,
50,0.024152416981855645,
51,0.02415520645215304,
52,0.024118053991452632,
53,0.024177621476019616,
54,0.02418402302351423,
55,0.024214667404063882,
56,0.024278872901686597,
57,0.02423175466468612,
58,0.0242154046625944,
59,0.02419026464947615,
60,0.024224080238706067,
61,0.02418795800030906,
62,0.024211924127077004,
63,0.02423588926149793,
64,0.02421202290761441,
65,0.02418143607802221,
66,0.024101794971806263,
67,0.024094133201271104,
68,0.02404693941278398,
69,0.02404228070781604,
70,0.02401090070677208,
71,0.02401259145572247,
72,0.02403000084804561,
73,0.023959805654531305,
74,0.024020494205909262,
75,0.024009886288237425,
76,0.0239621339791636,
77,0.023970182872057717,
78,0.023964284464687447,
79,0.02397950878239192,
80,0.02396784916432205,
81,0.024025170720803072,
82,0.024037650493884892,
83,0.02410296507284989,
84,0.024186997800408058,
85,0.024297509539082315,
86,0.024275052067684304,
87,0.02427387081270634,
88,0.02419745913274476,
89,0.024028790541766286,
90,0.02401241864396957,
91,0.0240394600192184,
92,0.02406293804723952,
93,0.02399674062705509,
94,0.024000162532262125,
95,0.02398619596752657,
96,0.023992661663786267,
97,0.02394105601668318,
98,0.023813188230596527,
99,0.023662650512641388,
100,0.023694335080006082,
101,0.023747091524456282,
102,0.023728050663376132,
103,0.02361806041600095,
104,0.023499512406679992,
105,0.023432238234124183,
106,0.023427343250421756,
107,0.02339214443925434,
108,0.023525975604878915,
109,0.023698748927771487,
110,0.023721885559328942,
111,0.023633696478352187,
112,0.02350987148383237,
113,0.023504704022000767,
114,0.023446231091247244,
115,0.02344916352542217,
116,0.023434372096512418,
117,0.023444480968982058,
118,0.0236297016636455,
119,0.023767985340396654,
120,0.023719958831340482,
121,0.02358541732360968,
122,0.023520712397620783,
123,0.02355163666190347,
124,0.02356218726280368,
125,0.02350863876588289,
126,0.0235317371790628,
127,0.023546766787965183,
128,0.02349722943821717,
129,0.023467142645806325,
130,0.02344314224177824,
131,0.023487521139599975,
132,0.023563119990871014,
133,0.023632025561785747,
134,0.02363549790485449,
135,0.023619185511673482,
136,0.023613437498976382,
137,0.02363645077499826,
138,0.023566877005152892,
139,0.02350998231141711,
140,0.023504841449076254,
141,0.023543749203020204,
142,0.02356308965651112,
143,0.023576248269207303,
144,0.023577172651874208,
145,0.023581984148741842,
146,0.023588976255595032,
147,0.02358205824560436,
148,0.023569115000337933,
149,0.02355544115011546,
150,0.02353404356925766,
151,0.02354020190804996,
152,0.023531759967390348,
153,0.02351682206810348,
154,0.023516774752738008,
155,0.023513937785806818,
156,0.023511606374506302,
157,0.023468169895569428,
158,0.02347441507460896,
159,0.023503753219041825,
160,0.02350487981475367,
161,0.023476174350051008,
162,0.023467741954465233,
163,0.02342487424390944,
164,0.023429776393637632,
165,0.023396316802150936,
166,0.0233852302217328,
167,0.023382104757375486,
168,0.02337506651736877,
169,0.02338846965166484,
170,0.02339290742559041,
171,0.0233818694660385,
172,0.02337859811294972,
173,0.02336207343417476,
174,0.023354168160542515,
175,0.023332562054361558,
176,0.023322185364672333,
177,0.02336894752963505,
178,0.023347179414386767,
179,0.023324119723742844,
180,0.023321778352576983,
181,0.0233139054286638,
182,0.023331520888021512,
183,0.023341636214510308,
184,0.023315944882799845,
185,0.02332404560413243,
186,0.023325262458011555,
187,0.02331976497185951,
188,0.023317728227686758,
189,0.023290043426914528,
190,0.02326996228514881,
191,0.02325703594254775,
192,0.02327028441899305,
193,0.023266737538460508,
194,0.023255191267556968,
195,0.02326027747807526,
196,0.023245987154259847,
197,0.023234196872423743,
198,0.02323504865638525,
199,0.02322833632007046,
200,0.023228581356897284,
201,0.023247728911078267,
202,0.02324385117605044,
203,0.023226009025580984,
204,0.02323837231081776,
205,0.023232042761234157,
206,0.02323132329297593,
207,0.02321852446718549,
208,0.023220239001556862,
209,0.023233949186624768,
210,0.02324818356507602,
211,0.02324122493480797,
212,0.0232263738183049,
213,0.023247792208315656,
214,0.023251758549717703,
215,0.023252656377777976,
216,0.023249579097199463,
217,0.02322251217289829,
218,0.023227622041927045,
219,0.023230244971386683,
220,0.023227169451527373,
221,0.023230092533096887,
222,0.023225018166756043,
223,0.023221123147631632,
224,0.023212937924146717,
225,0.023201459920343958,
226,0.023206123762262162,
227,0.023190439645132337,
228,0.023159302597183844,
229,0.023138008125045302,
230,0.02311209886423412,
231,0.023121867759854392,
232,0.02311518327982911,
233,0.023122393945257957,
234,0.02311464013858785,
235,0.023117322985888877,
236,0.023139277486095053,
237,0.02313765673935926,
238,0.0231296432270262,
239,0.023115927358611926,
240,0.02311612043123833,
241,0.023090737985684503,
242,0.023069410455923298,
243,0.02308747264151966,
244,0.02308264800935673,
245,0.02307905692532913,
246,0.023048621055040817,
247,0.02305992769085794,
248,0.02309143858948524,
249,0.02310309848995333,
250,0.02310785622783849,
251,0.023093014217446674,
252,0.023068811726337082,
253,0.02305209271701073,
