,value,experiments
0,2097152.0,
1,2097152.0,
2,2097152.0,
3,2156701.0,
4,2156690.0,
5,2156625.0,
6,2156724.0,
7,2156668.0,
8,2156763.0,
9,2156711.0,
10,2156632.0,
11,2156733.0,
12,2131648.0,
13,2131688.0,
14,2131699.0,
15,2131694.0,
16,2131710.0,
17,2099488.0,
18,2099399.0,
19,2099495.0,
20,2099415.0,
21,2099494.0,
22,2103645.0,
23,2103824.0,
24,2103864.0,
25,2103758.0,
26,2103736.0,
27,2103733.0,
28,2103864.0,
29,2103680.0,
30,2103671.0,
31,2103736.0,
32,2103910.0,
33,2103773.0,
34,2103729.0,
35,2103884.0,
36,2103759.0,
37,2103751.0,
38,2103681.0,
39,2103691.0,
40,2103861.0,
41,2103660.0,
42,2103807.0,
43,2103874.0,
44,2103939.0,
45,2103728.0,
46,2103741.0,
47,2103841.0,
48,2103797.0,
49,2103746.0,
50,2103682.0,
51,2103926.0,
52,2103696.0,
53,2103746.0,
54,2103736.0,
55,2103798.0,
56,2103874.0,
57,2103716.0,
58,2103906.0,
59,2103807.0,
60,2103727.0,
61,2103747.0,
62,2103881.0,
63,2103766.0,
64,2103719.0,
65,2103761.0,
66,2103713.0,
67,2103751.0,
68,2103697.0,
69,2103741.0,
70,2103714.0,
71,2103742.0,
72,2103753.0,
73,2103923.0,
74,2103670.0,
75,2103722.0,
76,2103868.0,
77,2103901.0,
78,2103707.0,
79,2103726.0,
80,2103738.0,
81,2103803.0,
82,2103843.0,
83,2103688.0,
84,2103865.0,
85,2103718.0,
86,2103751.0,
87,2103734.0,
88,2103747.0,
89,2103827.0,
90,2103758.0,
91,2103710.0,
92,2103743.0,
93,2103801.0,
94,2103772.0,
95,2103735.0,
96,2103637.0,
97,2103920.0,
98,2103726.0,
99,2103708.0,
100,2103771.0,
101,2103717.0,
102,2103717.0,
103,2103890.0,
104,2103753.0,
105,2103778.0,
106,2103748.0,
107,2103826.0,
108,2103911.0,
109,2103701.0,
110,2103762.0,
111,2103663.0,
112,2103836.0,
113,2103772.0,
114,2103730.0,
115,2103757.0,
116,2103712.0,
117,2103676.0,
118,2103748.0,
119,2103757.0,
120,2103703.0,
121,2103600.0,
122,2103749.0,
123,2103776.0,
124,2103779.0,
125,2103748.0,
126,2103664.0,
127,2103740.0,
128,2103649.0,
129,2103861.0,
130,2103744.0,
131,2103710.0,
132,2103800.0,
133,2103696.0,
134,2103659.0,
135,2103727.0,
136,2103666.0,
137,2103665.0,
138,2103703.0,
139,2103798.0,
140,2103657.0,
141,2103750.0,
142,2103700.0,
143,2103634.0,
144,2103701.0,
145,2103879.0,
146,2103688.0,
147,2103722.0,
148,2103857.0,
149,2103657.0,
150,2103661.0,
151,2103717.0,
152,2103908.0,
153,2103668.0,
154,2103713.0,
155,2103653.0,
156,2103876.0,
157,2103711.0,
158,2103828.0,
159,2103714.0,
160,2103696.0,
161,2103898.0,
162,2103696.0,
163,2103823.0,
164,2103640.0,
165,2103716.0,
166,2103601.0,
167,2103675.0,
168,2103772.0,
169,2103814.0,
170,2103781.0,
171,2103641.0,
172,2103667.0,
173,2103856.0,
174,2103659.0,
175,2103688.0,
176,2103721.0,
177,2103665.0,
178,2103673.0,
179,2103660.0,
180,2103696.0,
181,2103654.0,
182,2103689.0,
183,2103569.0,
184,2103707.0,
185,2103872.0,
186,2103679.0,
187,2103727.0,
188,2103661.0,
189,2103683.0,
190,2103587.0,
191,2103567.0,
192,2103619.0,
193,2103606.0,
194,2103652.0,
195,2103849.0,
196,2103699.0,
197,2103848.0,
198,2103817.0,
199,2103673.0,
200,2103745.0,
201,2103722.0,
202,2103762.0,
203,2103664.0,
204,2103652.0,
205,2103648.0,
206,2103688.0,
207,2103662.0,
208,2103702.0,
209,2103815.0,
210,2103617.0,
211,2103650.0,
212,2103930.0,
213,2103866.0,
214,2103725.0,
215,2103894.0,
216,2103912.0,
217,2103955.0,
218,2103588.0,
219,2103795.0,
220,2103846.0,
221,2103749.0,
222,2103721.0,
223,2103603.0,
224,2103704.0,
225,2103639.0,
226,2103605.0,
227,2103594.0,
228,2103643.0,
229,2103659.0,
230,2103885.0,
231,2103955.0,
232,2103693.0,
233,2103654.0,
234,2103638.0,
235,2103608.0,
236,2103646.0,
237,2103813.0,
238,2103793.0,
239,2103871.0,
240,2103693.0,
241,2103606.0,
242,2103770.0,
243,2103720.0,
244,2103817.0,
245,2103593.0,
246,2103632.0,
247,2103772.0,
248,2103717.0,
249,2103756.0,
250,2103893.0,
251,2103663.0,
252,2103708.0,
253,2103677.0,
254,2103735.0,
255,2103682.0,
256,2103640.0,
257,2103589.0,
258,2103613.0,
259,2103697.0,
260,2103858.0,
261,2103605.0,
262,2103608.0,
263,2103680.0,
264,2103628.0,
265,2103580.0,
266,2103660.0,
267,2103833.0,
268,2103802.0,
269,2103788.0,
270,2103622.0,
271,2103626.0,
272,2103640.0,
273,2103670.0,
274,2103607.0,
275,2103582.0,
276,2103667.0,
277,2103724.0,
278,2103708.0,
279,2103625.0,
280,2103854.0,
281,2103614.0,
282,2103634.0,
283,2103825.0,
284,2103695.0,
285,2103635.0,
286,2103670.0,
287,2103663.0,
288,2103677.0,
289,2103696.0,
290,2103595.0,
291,2103622.0,
292,2103594.0,
293,2103558.0,
294,2103671.0,
295,2103713.0,
296,2103640.0,
297,2103624.0,
298,2103823.0,
299,2103837.0,
300,2103586.0,
301,2103752.0,
302,2103746.0,
303,2103889.0,
304,2103856.0,
305,2103662.0,
306,2103627.0,
307,2103623.0,
308,2103605.0,
309,2103610.0,
310,2103807.0,
311,2103749.0,
312,2103573.0,
313,2103756.0,
314,2103553.0,
315,2103658.0,
316,2103579.0,
317,2103637.0,
318,2103610.0,
319,2103659.0,
320,2103881.0,
321,2103814.0,
322,2103643.0,
323,2103649.0,
324,2103635.0,
325,2103717.0,
326,2103595.0,
327,2103640.0,
328,2103669.0,
329,2103711.0,
330,2103661.0,
331,2103705.0,
332,2103645.0,
333,2103651.0,
334,2103694.0,
335,2103612.0,
336,2103676.0,
337,2103667.0,
338,2103586.0,
339,2103669.0,
340,2103633.0,
341,2103714.0,
342,2103665.0,
343,2103686.0,
344,2103642.0,
345,2103678.0,
346,2103686.0,
347,2103551.0,
348,2103649.0,
349,2103666.0,
350,2103765.0,
351,2103668.0,
352,2103610.0,
353,2103566.0,
354,2103622.0,
355,2103758.0,
356,2103628.0,
357,2103668.0,
358,2103625.0,
359,2103598.0,
360,2103677.0,
361,2103695.0,
362,2103687.0,
363,2103824.0,
364,2103812.0,
365,2103781.0,
366,2103798.0,
367,2103860.0,
368,2103685.0,
369,2103733.0,
370,2103688.0,
371,2103581.0,
372,2103590.0,
373,2103642.0,
374,2103621.0,
375,2103884.0,
376,2103811.0,
377,2103761.0,
378,2103549.0,
379,2103604.0,
380,2103618.0,
381,2103812.0,
382,2103832.0,
383,2103564.0,
384,2103861.0,
385,2103520.0,
386,2103627.0,
387,2103659.0,
388,2103865.0,
389,2103766.0,
390,2103771.0,
391,2103740.0,
392,2103637.0,
393,2103570.0,
394,2103686.0,
395,2103779.0,
396,2103561.0,
397,2103652.0,
398,2103650.0,
399,2103810.0,
400,2103738.0,
401,2103728.0,
402,2103686.0,
403,2103621.0,
404,2103601.0,
405,2103786.0,
406,2103642.0,
407,2103584.0,
408,2103522.0,
409,2103585.0,
410,2103651.0,
411,2103802.0,
412,2103815.0,
413,2103594.0,
414,2103652.0,
415,2103672.0,
416,2103655.0,
417,2103784.0,
418,2103776.0,
419,2103650.0,
420,2103767.0,
421,2103836.0,
422,2103835.0,
423,2103839.0,
424,2103650.0,
425,2103802.0,
426,2103706.0,
427,2103840.0,
428,2103772.0,
429,2103620.0,
430,2103803.0,
431,2103553.0,
432,2103616.0,
433,2103656.0,
434,2103692.0,
435,2103641.0,
436,2103622.0,
437,2103584.0,
438,2103646.0,
439,2103632.0,
440,2103611.0,
441,2103653.0,
442,2103816.0,
443,2103856.0,
444,2103774.0,
445,2103864.0,
446,2103566.0,
447,2103788.0,
448,2103778.0,
449,2103837.0,
450,2103649.0,
451,2103660.0,
452,2103601.0,
453,2103599.0,
454,2103676.0,
455,2103682.0,
456,2103663.0,
457,2103622.0,
458,2103623.0,
459,2103559.0,
460,2103613.0,
461,2103683.0,
462,2103738.0,
463,2103696.0,
464,2103715.0,
465,2103737.0,
466,2103637.0,
467,2103833.0,
468,2103595.0,
469,2103603.0,
470,2103613.0,
471,2103591.0,
472,2103815.0,
473,2103840.0,
474,2103686.0,
475,2103711.0,
476,2103804.0,
477,2103721.0,
478,2103828.0,
479,2103650.0,
480,2103691.0,
481,2103616.0,
482,2103627.0,
483,2103603.0,
484,2103648.0,
485,2103583.0,
486,2103638.0,
487,2103632.0,
488,2103723.0,
489,2103744.0,
490,2103848.0,
491,2103646.0,
492,2103600.0,
493,2103616.0,
494,2103668.0,
495,2103692.0,
496,2103752.0,
497,2103737.0,
498,2103801.0,
499,2103807.0,
500,2103635.0,
501,2103642.0,
502,2103642.0,
503,2103579.0,
504,2103698.0,
505,2103543.0,
506,2103676.0,
507,2103676.0,
