,value,experiments
0,0.016485347590460366,
1,0.01527320802838896,
2,0.014980454659667837,
3,0.014758939985349488,
4,0.014566962519652466,
5,0.015066714344574081,
6,0.01546414473976404,
7,0.015058023179626297,
8,0.014622121695021797,
9,0.01527093574087232,
10,0.014509944920984397,
11,0.013607527244788606,
12,0.013204984090122352,
13,0.01315800788216935,
14,0.013564723379209227,
15,0.013590097422771941,
16,0.013928745777483927,
17,0.014233141236515397,
18,0.013811600063360166,
19,0.013737685526052656,
20,0.013532324108376764,
21,0.013371877437000385,
22,0.01304154081935123,
23,0.013734259649174862,
24,0.013601777476568927,
25,0.013339794917902936,
26,0.013603656377169858,
27,0.014021455941881915,
28,0.014367357239364671,
29,0.014321669267872875,
30,0.014804700852528148,
31,0.014560692360206769,
32,0.014020723581587279,
33,0.013757573075385323,
34,0.01437879703540996,
35,0.01378565305784412,
36,0.014193045087899831,
37,0.014238036901982715,
38,0.014124394736089072,
39,0.013272517259286729,
40,0.013172000253318614,
41,0.013007683411554208,
42,0.0122641108016436,
43,0.01211858859863238,
44,0.011636103722059508,
45,0.011958152419244115,
46,0.011568618143303715,
47,0.011275793032953249,
48,0.011734154640508051,
49,0.011864158639414145,
50,0.011175132870487443,
51,0.011474100773115085,
52,0.011032701589685058,
53,0.010673056980316354,
54,0.010820673263273569,
55,0.011337192259214687,
56,0.01167909089307015,
57,0.011561256296452405,
58,0.011894376959597129,
59,0.012253049993715806,
60,0.012232905786682602,
61,0.01133818560780863,
62,0.010856415988291837,
63,0.01071743030821973,
64,0.010072670392208057,
65,0.009981247577228023,
66,0.01026008293722785,
67,0.01036695436873924,
68,0.010389452142502741,
69,0.010397575625351771,
70,0.010024729255682116,
71,0.009568210868954444,
72,0.009758940734942705,
73,0.010070720090823613,
74,0.010065036068056726,
75,0.010103810676015837,
76,0.010728485417387615,
77,0.011304109216415179,
78,0.011465892617802972,
79,0.012116586917834614,
80,0.012116561632492,
81,0.011797980608113056,
82,0.011686486849477052,
83,0.011609540827474788,
84,0.011558065350819364,
85,0.011537491508021674,
86,0.011831767264797668,
87,0.011983724551494034,
88,0.011275940119545564,
89,0.010927318366826292,
90,0.011439502765481906,
91,0.011290320176451731,
92,0.01074029349704569,
93,0.010974354147662095,
94,0.010549354247348538,
95,0.010234401886752972,
96,0.010258957935678669,
97,0.010910948451715972,
98,0.011348189922997649,
99,0.012156875939948934,
100,0.012104277428682215,
101,0.011959787633913059,
102,0.01183021017108407,
103,0.012180592155677735,
104,0.012415364001578591,
105,0.01214374798711585,
106,0.012090419368514406,
107,0.012017480857420678,
108,0.0119778862320557,
109,0.011999378023002787,
110,0.012012121565543484,
111,0.01198353603283798,
112,0.012185936388090549,
113,0.012422959995236838,
114,0.01161747561627622,
115,0.01157883252952657,
116,0.011725279868915868,
117,0.012113017174976759,
118,0.01231761513729104,
119,0.0120333019950478,
120,0.012170061605691744,
121,0.012476365959921106,
122,0.01163025799579426,
123,0.011663313257894162,
124,0.011899990464429487,
125,0.010994885470561565,
126,0.01210344546921894,
127,0.013320898743247959,
128,0.013084952533556448,
129,0.012881237025174169,
130,0.01334479582122271,
131,0.012496700315584456,
132,0.011787428848191771,
133,0.012125542739482915,
134,0.01210120932298946,
135,0.012203772760321285,
136,0.012947490850814777,
137,0.012889671355105044,
138,0.013405971476119407,
139,0.01264713148532537,
140,0.011862005142298498,
141,0.012871811065646863,
142,0.013172443954094656,
143,0.01170029559977153,
144,0.012437292818387994,
145,0.012361535239420678,
146,0.013992392162898735,
147,0.015399651204266456,
148,0.01586495628586939,
149,0.01616601068291377,
150,0.015134595886579219,
151,0.014862015782723666,
152,0.013972608875531277,
153,0.014614826923477691,
154,0.014518352695994097,
155,0.015059718872165452,
156,0.015886877662296156,
157,0.014907618703734353,
158,0.014293847072392816,
159,0.014593124182878406,
160,0.01391968866486386,
161,0.014034067047521824,
162,0.012212538382314043,
163,0.011493558743059415,
164,0.011459028916209743,
165,0.010263656044238295,
166,0.010689610054067988,
167,0.010828238801479845,
168,0.011303921094655785,
169,0.01070685846820948,
170,0.010730311523320107,
171,0.010867307196574541,
172,0.010205768674004028,
173,0.011000322731900394,
174,0.01105540057829,
175,0.010907929150134494,
176,0.010818665587400859,
177,0.01070500631068002,
178,0.010622180667694948,
179,0.010422619294868244,
180,0.009925388333328164,
181,0.01062426185289372,
182,0.010788454587851423,
183,0.010228615396077476,
184,0.009938195437965331,
185,0.010192983255520795,
186,0.010051700738179162,
187,0.0104822990848613,
188,0.010814727611091158,
189,0.010552106681161804,
190,0.010156308858316877,
191,0.009683869983732616,
192,0.009902049449829165,
193,0.009920284089608605,
194,0.009680301876942795,
195,0.00969992071616018,
196,0.01057507965766626,
197,0.010240894190173376,
198,0.00960700707096272,
199,0.009916056837334009,
200,0.00946802130712373,
201,0.009539627724393923,
202,0.009906884770751877,
203,0.008992680546210614,
204,0.009343511389209868,
205,0.009640247729967544,
206,0.00918344826610211,
207,0.010099017408855444,
208,0.010162340399440315,
209,0.009985340279862129,
210,0.011009416410183366,
211,0.010732471540834931,
212,0.01040724510470006,
213,0.010644607892593241,
214,0.010984612340816413,
215,0.011632824841674884,
216,0.011757946231615678,
217,0.011509721970566796,
218,0.011386947283402426,
219,0.011662453323337551,
220,0.011568515979823859,
221,0.011086668673226548,
222,0.011796091733220049,
223,0.0107844019579075,
224,0.011058932968172707,
225,0.01119561201622724,
226,0.010786629938758108,
227,0.011267918888176194,
228,0.011448099834351862,
229,0.011204844750725487,
230,0.011251771641499887,
231,0.010890198378865587,
232,0.010685525490195582,
233,0.011216265515961716,
234,0.011052632487831842,
235,0.011212437494942504,
236,0.01112525856135158,
237,0.011310282450795048,
238,0.01141535819477171,
239,0.012163903244967968,
240,0.0116700941969369,
241,0.01134556994066097,
242,0.011668503601381606,
243,0.01125363832913971,
244,0.011294348992239996,
245,0.011294355490124995,
246,0.011587474472691492,
247,0.01128656594786242,
248,0.011333279710049885,
249,0.010749971174247568,
250,0.010476610357198244,
251,0.010528807511361343,
252,0.009742682520832664,
253,0.010025097872699834,
254,0.009676673184916844,
255,0.009356340820191052,
256,0.009766614540426813,
257,0.009966071084216672,
258,0.009637120358848414,
259,0.00960455568698342,
260,0.009382631974031466,
261,0.009746637402925452,
262,0.009198708799519374,
263,0.009766633065501157,
264,0.009923541550606171,
265,0.009766871606549262,
266,0.010144060340554257,
267,0.00943099676448509,
268,0.010185457327034313,
269,0.010070548057372085,
270,0.009462576087446255,
271,0.009871965203367406,
272,0.009765471634687505,
273,0.009880372411206543,
274,0.009792270909265934,
275,0.009708395051204084,
276,0.009264147838754464,
277,0.00902156457923349,
278,0.008869319184993566,
279,0.0086053754357758,
280,0.008642117362001645,
281,0.00861241150901688,
282,0.008626931274634467,
283,0.008653190333053784,
284,0.008603206999676304,
285,0.008787998874935863,
286,0.009236839608053386,
287,0.008698654511222226,
288,0.008411887748644072,
289,0.007630374630836441,
290,0.0075937646876714626,
291,0.0076434691456921736,
292,0.007416648834659861,
293,0.007060754255751041,
294,0.007230208239996077,
295,0.006907829831076032,
296,0.006643867511443811,
297,0.007115994512515661,
298,0.007149881028950986,
299,0.0076071177271711315,
300,0.00769373152708271,
301,0.0071129557039661595,
302,0.007366962851665881,
303,0.007220057938486977,
304,0.0075901693454630955,
305,0.008206320979500605,
306,0.007674477335890167,
307,0.007202399002312864,
308,0.007699189239092601,
309,0.007576997777456791,
310,0.008124300493092988,
311,0.008263062740729854,
312,0.008014653959636695,
313,0.007511999981453036,
314,0.007186219513835135,
315,0.0071896099014468,
316,0.006927413420161378,
317,0.007436539949592381,
318,0.007456982828618563,
319,0.00766047412417304,
320,0.007548056520206298,
321,0.0069407755255919525,
322,0.007876315913537886,
323,0.00836115447650692,
324,0.008558292470222006,
325,0.008968545040261292,
326,0.008656133458738988,
327,0.008680141996595035,
328,0.00889654466223165,
329,0.009206497192735592,
330,0.008791379635136314,
331,0.00873465001553598,
332,0.00851148967450792,
333,0.00816308071856657,
334,0.007727204111933061,
335,0.007906095403996082,
336,0.007475525605659423,
337,0.008133400890722729,
338,0.007676383630902228,
339,0.00777455960761683,
340,0.008050360049229878,
341,0.008583808880425273,
342,0.008747916196411562,
343,0.008431437507882073,
344,0.008967724331444934,
345,0.009396103001320823,
346,0.010048877721116315,
347,0.01017837070261238,
348,0.010694651381733743,
349,0.010395525758794256,
350,0.010928181253408765,
351,0.011434749172257657,
352,0.011609815863060794,
353,0.01152060623174705,
354,0.012048982363852094,
355,0.012014459877468334,
356,0.011949076726515405,
357,0.011301146139935095,
358,0.011163155917004864,
359,0.011491057527686001,
360,0.011058277694301259,
361,0.01090430402864339,
362,0.010929798359075588,
363,0.010932693304207479,
364,0.01011541394956751,
365,0.010677266556793227,
366,0.010588095779971541,
367,0.010125414458698112,
368,0.009439045645849093,
369,0.009719455594964631,
370,0.009260793116975093,
371,0.00899845923977621,
372,0.008929881097958744,
373,0.008395304176850171,
374,0.008815563785936809,
375,0.008846503593287007,
376,0.008950874371123359,
377,0.009027945173651684,
378,0.008966404703043608,
379,0.008890887928798358,
380,0.00993230803271388,
381,0.009854578272949013,
382,0.009769621245307518,
383,0.009783955956473337,
384,0.010457137769305742,
385,0.010202628782809848,
386,0.00948037973889446,
387,0.009293931491912905,
388,0.008870019246153972,
389,0.009274338674909692,
390,0.009166060490431848,
391,0.009410133642950229,
392,0.009624641807167435,
393,0.00913567527552339,
394,0.008598745612543117,
395,0.008830556366366975,
396,0.008757776125414491,
397,0.008745371286905836,
398,0.008670616399088133,
399,0.00860415417150237,
400,0.007911575507717723,
401,0.007702004445329631,
402,0.008138628538611095,
403,0.008661859320649008,
404,0.009329979397146448,
405,0.00957237952789434,
406,0.009530849074921036,
407,0.009097866622894732,
408,0.008750499730428456,
409,0.00877711031964783,
410,0.009014037272377887,
411,0.00893546827797673,
412,0.008196077703550245,
413,0.008251347446035829,
414,0.0076355864637434375,
415,0.007901324558899218,
416,0.008111318284116981,
417,0.008657467162784229,
418,0.008836171858140491,
419,0.008331464704174724,
420,0.007528952784986292,
421,0.0077311275802946985,
422,0.007666125601044064,
423,0.007612523208548732,
424,0.00821838229629253,
425,0.008264835831112836,
426,0.008670586049744378,
427,0.00854286479781477,
428,0.008505182048527522,
429,0.008587796149159225,
430,0.009106406248237702,
431,0.00824406958819603,
432,0.008190511024652361,
433,0.007568938556144122,
434,0.007278408979853965,
435,0.007433800016933587,
436,0.007799783016548194,
437,0.007743296808900375,
438,0.006994710795935153,
439,0.007410533545114395,
440,0.007048473038483572,
441,0.006860253183372724,
442,0.00686136763312257,
443,0.006376131510293194,
444,0.0069125089098606,
445,0.0069897702259792424,
446,0.006969642263379509,
447,0.0070638946125203845,
448,0.007505167277218822,
449,0.007964252580118084,
450,0.0076626209339909985,
451,0.00807456077594139,
452,0.0080751185792443,
453,0.007469204962938149,
454,0.007798484313975306,
455,0.007709509365143891,
456,0.007783197016406176,
457,0.00775461415320684,
458,0.00781801146899224,
459,0.007831012141454943,
460,0.007918054123288096,
461,0.007977221445389975,
462,0.007994037414052736,
463,0.00833056699423446,
464,0.008647665903742415,
465,0.008475889273579377,
466,0.008473913941413162,
467,0.008379560355553524,
468,0.008494564990493536,
469,0.00854152861556143,
470,0.008986669050804995,
471,0.008133427533403802,
472,0.008203614951001187,
473,0.008425795034453504,
474,0.007767092980071021,
475,0.008456424619509153,
476,0.008555366359862185,
477,0.008300731264627204,
478,0.008278663463594616,
479,0.008091069303822763,
480,0.007867892972099303,
481,0.007352986953854076,
482,0.007795971431786577,
483,0.007292757837165427,
484,0.00712928373298006,
485,0.007479882239479997,
486,0.007853396448565617,
487,0.008430750135746705,
488,0.008189897000073226,
489,0.008161319356509445,
490,0.008410525835488132,
