,value,experiments
0,-0.0,
1,-0.0,
2,-0.0,
3,-0.0,
4,-0.0,
5,-0.0,
6,-0.0,
7,-0.0,
8,-0.0,
9,-0.0,
10,0.0,
11,0.01,
12,0.01,
13,-0.0,
14,-0.03,
15,-0.05,
16,-0.05,
17,0.0,
18,0.13,
19,0.36,
20,0.66,
21,1.01,
22,1.37,
23,1.72,
24,2.06,
25,2.4,
26,2.79,
27,3.24,
28,3.8,
29,4.43,
30,5.09,
31,5.71,
32,6.28,
33,6.81,
34,7.36,
35,8.0,
36,8.78,
37,9.81,
38,11.0,
39,12.25,
40,13.43,
41,14.49,
42,15.48,
43,16.57,
44,17.96,
45,19.8,
46,22.31,
47,25.31,
48,28.52,
49,31.64,
50,34.52,
51,37.24,
52,40.11,
53,43.6,
54,48.0,
55,53.73,
56,60.43,
57,67.59,
58,74.63,
59,81.2,
60,87.38,
61,93.7,
62,100.86,
63,109.42,
64,119.93,
65,131.9,
66,144.53,
67,156.93,
68,168.55,
69,179.44,
70,190.27,
71,202.41,
72,214.59,
73,229.09,
74,246.52,
75,266.99,
76,289.26,
77,310.43,
78,326.18,
79,331.92,
80,324.32,
81,302.52,
82,268.94,
83,227.41,
84,182.25,
85,136.65,
86,92.12,
87,48.9,
88,6.84,
89,-33.83,
90,-72.38,
91,-107.6,
92,-138.88,
93,-166.02,
94,-189.39,
95,-209.27,
96,-225.58,
97,-237.86,
98,-245.45,
99,-248.05,
100,-245.72,
101,-239.37,
102,-230.26,
103,-219.74,
104,-208.85,
105,-198.09,
106,-187.53,
107,-176.52,
108,-164.59,
109,-151.49,
110,-137.52,
111,-123.27,
112,-109.46,
113,-96.67,
114,-85.25,
115,-75.24,
116,-66.49,
117,-58.93,
118,-52.49,
119,-47.24,
120,-43.31,
121,-40.81,
122,-39.71,
123,-39.83,
124,-40.84,
125,-42.33,
126,-43.98,
127,-45.48,
128,-46.65,
129,-47.34,
130,-47.49,
131,-47.0,
132,-45.79,
133,-43.82,
134,-41.04,
135,-37.48,
136,-33.18,
137,-28.25,
138,-22.8,
139,-16.95,
140,-10.84,
141,-4.58,
142,1.69,
143,7.83,
144,13.65,
145,18.97,
146,23.58,
147,27.28,
148,29.92,
149,31.35,
150,31.49,
151,30.29,
152,27.78,
153,24.06,
154,19.26,
155,13.57,
156,7.24,
157,0.54,
158,-6.25,
159,-12.8,
160,-18.8,
161,-23.89,
162,-27.79,
163,-30.24,
164,-31.02,
165,-30.03,
166,-27.24,
167,-22.8,
168,-16.93,
169,-10.0,
170,-2.47,
171,5.13,
172,12.29,
173,18.5,
174,23.35,
175,26.55,
176,27.88,
177,27.33,
178,24.96,
179,20.97,
180,15.59,
181,9.13,
182,1.94,
183,-5.68,
184,-13.41,
185,-21.04,
186,-28.3,
187,-35.04,
188,-41.1,
189,-46.36,
190,-50.73,
191,-54.09,
192,-56.41,
193,-57.57,
194,-57.5,
195,-56.07,
196,-53.21,
197,-48.86,
198,-42.99,
199,-35.65,
200,-26.93,
201,-17.06,
202,-6.34,
203,4.82,
204,15.94,
205,26.5,
206,35.97,
207,43.9,
208,49.92,
209,53.76,
210,55.3,
211,54.56,
212,51.69,
213,46.95,
214,40.68,
215,33.27,
216,25.16,
217,16.77,
218,8.52,
219,0.75,
220,-6.14,
221,-11.86,
222,-16.17,
223,-18.85,
224,-19.78,
225,-18.93,
226,-16.41,
227,-12.41,
228,-7.22,
229,-1.2,
230,5.26,
231,11.77,
232,17.98,
233,23.57,
234,28.25,
235,31.81,
236,34.09,
237,34.99,
238,34.49,
239,32.65,
240,29.59,
241,25.54,
242,20.66,
243,15.11,
244,8.92,
245,2.14,
246,-5.26,
247,-13.25,
248,-21.73,
249,-30.48,
250,-39.13,
251,-47.39,
252,-54.91,
253,-61.49,
254,-66.94,
255,-71.16,
256,-74.0,
257,-75.15,
258,-74.25,
259,-70.9,
260,-64.98,
261,-56.7,
262,-46.81,
263,-36.34,
264,-26.53,
265,-18.44,
266,-12.65,
267,-9.33,
268,-8.18,
269,-8.94,
270,-11.43,
271,-15.98,
272,-23.05,
273,-33.14,
274,-46.3,
275,-61.86,
276,-78.99,
277,-96.46,
278,-113.74,
279,-130.36,
280,-146.44,
281,-161.77,
282,-176.44,
283,-190.6,
284,-204.68,
285,-219.47,
286,-234.57,
287,-248.56,
288,-258.19,
289,-260.06,
290,-251.46,
291,-232.21,
292,-204.95,
293,-174.08,
294,-144.71,
295,-120.2,
296,-102.08,
297,-89.47,
298,-80.82,
299,-74.27,
300,-68.24,
301,-61.54,
302,-52.32,
303,-39.18,
304,-20.57,
305,3.49,
306,31.97,
307,62.35,
308,91.35,
309,116.0,
310,133.55,
311,143.26,
312,145.3,
313,141.88,
314,135.49,
315,129.26,
316,125.36,
317,124.26,
318,125.04,
319,124.79,
320,121.02,
321,111.55,
322,96.5,
323,76.84,
324,54.6,
325,31.99,
326,10.8,
327,-6.68,
328,-19.09,
329,-24.98,
330,-24.8,
331,-19.65,
332,-11.98,
333,-4.44,
334,1.1,
335,3.28,
336,2.77,
337,0.44,
338,-1.53,
339,-1.58,
340,2.2,
341,10.81,
342,23.9,
343,39.89,
344,55.14,
345,66.28,
346,70.15,
347,66.39,
348,56.12,
349,42.29,
350,28.1,
351,16.02,
352,8.02,
353,4.17,
354,4.13,
355,5.77,
356,6.86,
357,4.52,
358,-3.11,
359,-15.8,
360,-31.27,
361,-44.76,
362,-52.07,
363,-50.19,
364,-39.94,
365,-24.23,
366,-7.42,
367,6.93,
368,17.37,
369,23.76,
370,27.66,
371,29.73,
372,30.8,
373,30.47,
374,28.75,
375,26.1,
376,23.05,
377,20.41,
378,17.61,
379,14.03,
380,8.24,
381,0.34,
382,-8.64,
383,-16.68,
384,-22.16,
385,-25.68,
386,-29.54,
387,-37.42,
388,-50.69,
389,-67.87,
390,-83.57,
391,-91.98,
392,-90.25,
393,-80.64,
394,-70.73,
395,-68.46,
396,-78.67,
397,-98.72,
398,-120.57,
399,-133.53,
400,-130.54,
401,-111.4,
402,-82.21,
403,-52.73,
404,-30.1,
405,-16.81,
406,-9.19,
407,-1.2,
408,12.44,
409,32.87,
410,56.63,
411,78.33,
412,92.53,
413,97.54,
414,94.82,
415,88.67,
416,83.16,
417,80.7,
418,81.2,
419,82.26,
420,81.82,
421,78.26,
422,72.67,
423,67.21,
424,65.18,
425,68.81,
426,78.19,
427,91.22,
428,103.84,
429,112.71,
430,115.48,
431,112.74,
432,106.08,
433,97.65,
434,88.77,
435,79.91,
436,72.4,
437,67.99,
438,69.66,
439,78.37,
440,92.7,
441,107.43,
442,116.2,
443,115.02,
444,104.38,
445,89.9,
446,78.33,
447,74.94,
448,79.78,
449,89.22,
450,97.67,
451,100.52,
452,95.53,
453,81.55,
454,58.72,
455,27.03,
456,-11.29,
457,-51.96,
458,-87.88,
