,value,experiments
0,0.0005886904256219004,
1,0.0005181662353764532,
2,0.0005388402709073565,
3,0.0004959287811893071,
4,0.0005016923049872598,
5,0.0004652285540909542,
6,0.00044842733612909656,
7,0.0004220873192689233,
8,0.000377513777054343,
9,0.0003760184965947889,
10,0.0003678384885873372,
11,0.00035301647696857515,
12,0.0003524485624537908,
13,0.00034302102964879177,
14,0.00034174743736273386,
15,0.00035443655579615516,
16,0.00035217237317643267,
17,0.00033702969265450626,
18,0.00035277931164091924,
19,0.0003237345170349777,
20,0.0003011656905205292,
21,0.00030725827771474647,
22,0.00030516353543024805,
23,0.00028628844031930965,
24,0.0002523388725969874,
25,0.00026970843546925106,
26,0.00029151859941496,
27,0.0002614793246616896,
28,0.0002708669786148288,
29,0.00026892739297768427,
30,0.00026385621746356335,
31,0.0002599700654661065,
32,0.00027172941591264456,
33,0.0002417737090944227,
34,0.0001866777301663743,
35,0.0002120684874642992,
36,0.00022696679656699395,
37,0.00022803298180430748,
38,0.00024106253976303717,
39,0.00023928949793360673,
40,0.0002630143839944668,
41,0.000244537533621882,
42,0.00021278748169231078,
43,0.00019908151426733693,
44,0.00019340554685596392,
45,0.00019686198855824752,
46,0.0002015329571518311,
47,0.00023589230786405093,
48,0.00023717029483586566,
49,0.00022087403102684223,
50,0.00020970046680961015,
51,0.0002258110755891276,
52,0.00022054524112425356,
53,0.00024229394941157316,
54,0.00027943222223420107,
55,0.00024267246862827026,
56,0.00023140007648386732,
57,0.00023905631953221172,
58,0.00022260748928471538,
59,0.0002445958209085,
60,0.000248135551273352,
61,0.00026447984952593644,
62,0.0002726969339593763,
63,0.0002963408576761322,
64,0.0003285730595194807,
65,0.00031741659762759097,
66,0.0003225893682434625,
67,0.0002962655051001587,
68,0.00030062202068034677,
69,0.00031357598913244334,
70,0.00034497264479297366,
71,0.0003284759638103392,
72,0.00035451498978332345,
73,0.0003404596986343388,
74,0.0003225893588376142,
75,0.0003094357515788653,
76,0.00030517708349674685,
77,0.0003194882999603095,
78,0.00034869579956863016,
79,0.00031816458815887687,
80,0.00029294508519575173,
81,0.0002830565103817417,
82,0.00027868887861548264,
83,0.0002762500457472811,
84,0.00027569060135091994,
85,0.00025959538772594456,
86,0.000253738066276793,
87,0.0002581668133051557,
88,0.0002271650210467598,
89,0.00024101988729720322,
90,0.00024445771647465685,
91,0.0002712629471365794,
92,0.00024521774465580484,
93,0.0002735231251077845,
94,0.0003060610848660416,
95,0.00032510039104382963,
96,0.00034597135260810904,
97,0.0003220107754921152,
98,0.00031171443927231773,
99,0.00033151530294681976,
100,0.0003661080008222137,
101,0.00035918320919334847,
102,0.00039373499238142283,
103,0.00040420604263522483,
104,0.0003988002943014808,
105,0.0004201318949438242,
106,0.00044954586236518006,
107,0.00044388286927635136,
108,0.0004946458328832035,
109,0.00047058058552088916,
110,0.000478776169511804,
111,0.0004561975366528958,
112,0.0004681654692802325,
113,0.00042624707032985087,
114,0.00037083523161558215,
115,0.00037592049713888205,
116,0.0003711332509870364,
117,0.0003747181762277997,
118,0.0003782794054802648,
