,value,experiments
0,2097152.0,
1,2097152.0,
2,2148668.0,
3,2148687.0,
4,2148681.0,
5,2148592.0,
6,2148634.0,
7,2148695.0,
8,2148646.0,
9,2148714.0,
10,2148648.0,
11,2119769.0,
12,2119802.0,
13,2119788.0,
14,2119845.0,
15,2119786.0,
16,2107689.0,
17,2107603.0,
18,2107684.0,
19,2107695.0,
20,2107604.0,
21,2124100.0,
22,2124174.0,
23,2124145.0,
24,2124130.0,
25,2124093.0,
26,2124140.0,
27,2124083.0,
28,2124087.0,
29,2124259.0,
30,2124220.0,
31,2124095.0,
32,2124205.0,
33,2124106.0,
34,2124029.0,
35,2124048.0,
36,2124008.0,
37,2124050.0,
38,2124111.0,
39,2124051.0,
40,2124075.0,
41,2124003.0,
42,2124189.0,
43,2124110.0,
44,2123973.0,
45,2124106.0,
46,2124226.0,
47,2124008.0,
48,2124066.0,
49,2124160.0,
50,2124171.0,
51,2124108.0,
52,2124020.0,
53,2123988.0,
54,2124047.0,
55,2123915.0,
56,2124033.0,
57,2124014.0,
58,2124012.0,
59,2124024.0,
60,2123940.0,
61,2124122.0,
62,2124021.0,
63,2124021.0,
64,2124019.0,
65,2124009.0,
66,2124121.0,
67,2124028.0,
68,2123992.0,
69,2123978.0,
70,2124003.0,
71,2123972.0,
72,2123932.0,
73,2123985.0,
74,2123923.0,
75,2123965.0,
76,2123954.0,
77,2124147.0,
78,2123966.0,
79,2123969.0,
80,2123926.0,
81,2123970.0,
82,2123927.0,
83,2123892.0,
84,2123964.0,
85,2123952.0,
86,2123940.0,
87,2124128.0,
88,2123958.0,
89,2123989.0,
90,2124027.0,
91,2124037.0,
92,2124172.0,
93,2124038.0,
94,2123930.0,
95,2123979.0,
96,2124075.0,
97,2123855.0,
98,2123974.0,
99,2124144.0,
100,2123904.0,
101,2123997.0,
102,2123918.0,
103,2124116.0,
104,2123970.0,
105,2123950.0,
106,2123937.0,
107,2123883.0,
108,2124158.0,
109,2123910.0,
110,2123855.0,
111,2123844.0,
112,2123904.0,
113,2123951.0,
114,2123931.0,
115,2124025.0,
116,2123885.0,
117,2124096.0,
118,2123954.0,
119,2124094.0,
120,2123947.0,
121,2124049.0,
122,2123959.0,
123,2124031.0,
124,2123920.0,
125,2123904.0,
126,2123975.0,
127,2123901.0,
128,2123885.0,
129,2123857.0,
130,2123985.0,
131,2124080.0,
132,2123977.0,
133,2124001.0,
134,2123908.0,
135,2123897.0,
136,2123856.0,
137,2123964.0,
138,2124002.0,
139,2123938.0,
140,2123870.0,
141,2123884.0,
142,2124145.0,
143,2123889.0,
144,2123855.0,
145,2123866.0,
146,2124063.0,
147,2123871.0,
148,2123828.0,
149,2123924.0,
150,2123872.0,
151,2123838.0,
152,2123825.0,
153,2123938.0,
154,2124003.0,
155,2123969.0,
156,2123849.0,
157,2123789.0,
158,2123949.0,
159,2123848.0,
160,2123830.0,
161,2123932.0,
162,2123866.0,
163,2123853.0,
164,2123936.0,
165,2123944.0,
166,2123891.0,
167,2123932.0,
168,2123817.0,
169,2123935.0,
170,2124016.0,
171,2123797.0,
172,2123839.0,
173,2124014.0,
174,2123876.0,
175,2123887.0,
176,2123976.0,
177,2123816.0,
178,2123861.0,
179,2124019.0,
180,2123818.0,
181,2123834.0,
182,2123938.0,
183,2124012.0,
184,2123863.0,
185,2124003.0,
186,2123923.0,
187,2123855.0,
188,2123991.0,
189,2123875.0,
190,2123863.0,
191,2123983.0,
192,2123792.0,
193,2124020.0,
194,2123899.0,
195,2123966.0,
196,2123832.0,
197,2123830.0,
198,2124022.0,
199,2123811.0,
200,2123965.0,
201,2123985.0,
202,2123890.0,
203,2123757.0,
204,2123832.0,
205,2123925.0,
206,2123770.0,
207,2123827.0,
208,2123924.0,
209,2123788.0,
210,2123867.0,
211,2123876.0,
212,2123785.0,
213,2123995.0,
214,2123958.0,
215,2123856.0,
216,2123835.0,
217,2123827.0,
218,2123797.0,
219,2123813.0,
220,2123962.0,
221,2123868.0,
222,2123876.0,
223,2123827.0,
224,2123989.0,
225,2123939.0,
226,2123785.0,
227,2123989.0,
228,2123779.0,
229,2123822.0,
230,2123780.0,
231,2123754.0,
232,2123753.0,
233,2124025.0,
234,2123961.0,
235,2123748.0,
236,2123713.0,
237,2123820.0,
238,2123917.0,
239,2123857.0,
240,2123929.0,
241,2123755.0,
242,2123842.0,
243,2123796.0,
244,2123913.0,
245,2123728.0,
246,2123776.0,
247,2123774.0,
248,2123780.0,
249,2123793.0,
250,2123879.0,
251,2123935.0,
252,2123768.0,
253,2123834.0,
254,2123795.0,
255,2123948.0,
256,2124012.0,
257,2123711.0,
258,2123782.0,
259,2123768.0,
260,2124013.0,
261,2123724.0,
262,2123759.0,
263,2123711.0,
264,2123952.0,
265,2123921.0,
266,2123686.0,
267,2123845.0,
268,2123912.0,
269,2123732.0,
270,2123951.0,
271,2123710.0,
272,2123765.0,
273,2123826.0,
274,2123807.0,
275,2123893.0,
276,2123749.0,
277,2123746.0,
278,2123857.0,
279,2123725.0,
280,2123786.0,
281,2123987.0,
282,2123894.0,
283,2123830.0,
284,2123920.0,
285,2123821.0,
286,2123958.0,
287,2123750.0,
288,2123757.0,
289,2123927.0,
290,2123745.0,
291,2123930.0,
292,2123688.0,
293,2123863.0,
294,2123860.0,
295,2123726.0,
296,2123940.0,
297,2123671.0,
298,2123787.0,
299,2123891.0,
300,2123777.0,
301,2123767.0,
302,2123983.0,
303,2123730.0,
304,2123774.0,
305,2123854.0,
306,2123797.0,
307,2123957.0,
308,2123693.0,
309,2123785.0,
310,2123904.0,
311,2123823.0,
312,2123696.0,
313,2123741.0,
314,2123871.0,
315,2123845.0,
316,2123730.0,
317,2123764.0,
318,2123871.0,
319,2123720.0,
320,2123864.0,
321,2123942.0,
322,2123915.0,
323,2123829.0,
324,2123811.0,
325,2123745.0,
326,2123800.0,
327,2123765.0,
328,2123747.0,
329,2123763.0,
330,2123751.0,
331,2123733.0,
332,2123773.0,
333,2123875.0,
334,2123632.0,
335,2123754.0,
336,2124003.0,
337,2123784.0,
338,2123870.0,
339,2123771.0,
340,2123928.0,
341,2123707.0,
342,2123898.0,
343,2123879.0,
344,2123672.0,
345,2123674.0,
346,2123727.0,
347,2123738.0,
348,2123837.0,
349,2123801.0,
350,2123748.0,
351,2123749.0,
352,2123695.0,
353,2123917.0,
354,2123875.0,
355,2123870.0,
356,2123702.0,
357,2123717.0,
358,2123886.0,
359,2123656.0,
360,2123792.0,
361,2123771.0,
362,2123718.0,
363,2123918.0,
364,2123869.0,
365,2123781.0,
366,2123807.0,
367,2123702.0,
368,2123810.0,
369,2123683.0,
370,2123881.0,
371,2123653.0,
372,2123921.0,
373,2123676.0,
374,2123886.0,
375,2123687.0,
376,2123810.0,
377,2123733.0,
378,2123861.0,
379,2123687.0,
380,2123628.0,
381,2123731.0,
382,2124012.0,
383,2123859.0,
384,2123695.0,
385,2123753.0,
386,2123840.0,
387,2123877.0,
388,2123726.0,
389,2123677.0,
390,2123886.0,
391,2123734.0,
392,2123679.0,
393,2123905.0,
394,2123849.0,
395,2123792.0,
396,2123689.0,
397,2123790.0,
398,2123834.0,
399,2123708.0,
400,2123861.0,
401,2123722.0,
402,2123707.0,
403,2123785.0,
404,2123728.0,
405,2123818.0,
406,2123691.0,
407,2123818.0,
408,2123757.0,
409,2123787.0,
410,2123921.0,
411,2123712.0,
412,2123759.0,
413,2123720.0,
414,2123928.0,
415,2123710.0,
416,2123641.0,
417,2123714.0,
418,2123725.0,
419,2123660.0,
420,2123790.0,
421,2123644.0,
422,2123895.0,
423,2123777.0,
424,2123718.0,
425,2123688.0,
426,2123741.0,
427,2123742.0,
428,2123770.0,
429,2123702.0,
430,2123825.0,
431,2123629.0,
432,2123782.0,
433,2123681.0,
434,2123833.0,
435,2123842.0,
436,2123718.0,
437,2123669.0,
438,2123827.0,
439,2123684.0,
440,2123896.0,
441,2123707.0,
442,2123720.0,
443,2123797.0,
444,2123645.0,
445,2123797.0,
446,2123716.0,
447,2123900.0,
448,2123689.0,
449,2123858.0,
450,2123721.0,
451,2123882.0,
452,2123745.0,
453,2123659.0,
454,2123733.0,
455,2123666.0,
456,2123832.0,
457,2123641.0,
458,2123834.0,
459,2123844.0,
460,2123678.0,
461,2123831.0,
462,2123639.0,
463,2123815.0,
464,2123751.0,
465,2123648.0,
466,2123764.0,
467,2123816.0,
468,2123692.0,
469,2123730.0,
470,2123917.0,
471,2123661.0,
472,2123793.0,
473,2123807.0,
474,2123684.0,
475,2123745.0,
476,2123659.0,
477,2123755.0,
478,2123651.0,
479,2123855.0,
480,2123662.0,
481,2123759.0,
482,2123741.0,
483,2123826.0,
484,2123713.0,
485,2123785.0,
486,2123738.0,
487,2123671.0,
488,2123828.0,
489,2123716.0,
490,2123858.0,
491,2123635.0,
492,2123773.0,
493,2123709.0,
494,2123771.0,
495,2123750.0,
496,2123806.0,
497,2123829.0,
498,2123719.0,
499,2123622.0,
500,2123672.0,
501,2123929.0,
502,2123669.0,
503,2123809.0,
504,2123735.0,
505,2123736.0,
506,2123892.0,
507,2123735.0,
