,value,experiments
0,-0.0,
1,-0.0,
2,-0.0,
3,-0.0,
4,-0.0,
5,-0.0,
6,-0.0,
7,-0.0,
8,-0.0,
9,-0.0,
10,0.0,
11,0.01,
12,0.01,
13,-0.0,
14,-0.03,
15,-0.05,
16,-0.05,
17,0.0,
18,0.13,
19,0.36,
20,0.66,
21,1.01,
22,1.37,
23,1.72,
24,2.06,
25,2.4,
26,2.79,
27,3.24,
28,3.8,
29,4.42,
30,5.06,
31,5.67,
32,6.22,
33,6.71,
34,7.21,
35,7.78,
36,8.48,
37,9.42,
38,10.51,
39,11.64,
40,12.71,
41,13.65,
42,14.51,
43,15.46,
44,16.7,
45,18.39,
46,20.74,
47,23.57,
48,26.61,
49,29.57,
50,32.28,
51,34.8,
52,37.46,
53,40.69,
54,44.82,
55,50.24,
56,56.6,
57,63.4,
58,70.04,
59,76.18,
60,81.87,
61,87.6,
62,94.09,
63,101.89,
64,111.57,
65,122.64,
66,134.33,
67,145.75,
68,156.31,
69,166.05,
70,175.56,
71,186.22,
72,196.77,
73,209.53,
74,225.14,
75,243.71,
76,264.06,
77,283.23,
78,296.86,
79,300.25,
80,290.06,
81,265.47,
82,228.95,
83,184.39,
84,136.16,
85,87.48,
86,39.86,
87,-6.53,
88,-51.91,
89,-95.97,
90,-137.84,
91,-176.03,
92,-209.68,
93,-238.24,
94,-261.51,
95,-279.13,
96,-290.52,
97,-295.33,
98,-293.21,
99,-284.31,
100,-269.22,
101,-249.43,
102,-226.76,
103,-203.01,
104,-179.6,
105,-157.37,
106,-136.57,
107,-117.01,
108,-98.39,
109,-80.55,
110,-63.76,
111,-48.5,
112,-35.39,
113,-24.43,
114,-15.53,
115,-8.42,
116,-2.61,
117,2.3,
118,6.66,
119,10.55,
120,13.95,
121,16.76,
122,18.94,
123,20.46,
124,21.39,
125,21.91,
126,22.17,
127,22.3,
128,22.34,
129,22.29,
130,22.12,
131,21.79,
132,21.28,
133,20.53,
134,19.56,
135,18.41,
136,17.11,
137,15.68,
138,14.17,
139,12.6,
140,11.02,
141,9.41,
142,7.78,
143,6.14,
144,4.49,
145,2.85,
146,1.25,
147,-0.27,
148,-1.7,
149,-2.98,
150,-4.09,
151,-5.03,
152,-5.78,
153,-6.33,
154,-6.68,
155,-6.85,
156,-6.86,
157,-6.74,
158,-6.52,
159,-6.25,
160,-5.96,
161,-5.68,
162,-5.44,
163,-5.27,
164,-5.16,
165,-5.12,
166,-5.15,
167,-5.24,
168,-5.38,
169,-5.56,
170,-5.77,
171,-6.0,
172,-6.24,
173,-6.49,
174,-6.74,
175,-6.98,
176,-7.22,
177,-7.45,
178,-7.67,
179,-7.88,
180,-8.08,
181,-8.26,
182,-8.43,
183,-8.6,
184,-8.75,
185,-8.9,
186,-9.03,
187,-9.16,
188,-9.28,
189,-9.41,
190,-9.53,
191,-9.66,
192,-9.8,
193,-9.95,
194,-10.11,
195,-10.27,
196,-10.44,
197,-10.61,
198,-10.78,
199,-10.93,
200,-11.08,
201,-11.21,
202,-11.32,
203,-11.42,
204,-11.49,
205,-11.54,
206,-11.54,
207,-11.48,
208,-11.33,
209,-11.04,
210,-10.58,
211,-9.89,
212,-8.95,
213,-7.7,
214,-6.15,
215,-4.27,
216,-2.1,
217,0.34,
218,2.98,
219,5.76,
220,8.62,
221,11.49,
222,14.29,
223,16.95,
224,19.42,
225,21.66,
226,23.67,
227,25.44,
228,27.04,
229,28.52,
230,29.94,
231,31.29,
232,32.5,
233,33.45,
234,33.92,
235,33.69,
236,32.57,
237,30.39,
238,27.06,
239,22.55,
240,16.89,
241,10.19,
242,2.6,
243,-5.67,
244,-14.31,
245,-22.95,
246,-31.17,
247,-38.54,
248,-44.7,
249,-49.45,
250,-52.8,
251,-54.95,
252,-56.24,
253,-56.98,
254,-57.39,
255,-57.48,
256,-57.14,
257,-56.22,
258,-54.66,
259,-52.65,
260,-50.59,
261,-48.97,
262,-48.19,
263,-48.36,
264,-49.26,
265,-50.36,
266,-51.15,
267,-51.38,
268,-51.19,
269,-51.2,
270,-52.18,
271,-54.75,
272,-59.08,
273,-64.83,
274,-71.26,
275,-77.64,
276,-83.47,
277,-88.82,
278,-94.16,
279,-100.32,
280,-108.3,
281,-119.22,
282,-133.96,
283,-152.7,
284,-174.28,
285,-195.89,
286,-213.46,
287,-222.81,
288,-221.22,
289,-208.47,
290,-186.97,
291,-160.74,
292,-133.87,
293,-109.12,
294,-87.55,
295,-68.92,
296,-52.67,
297,-38.56,
298,-26.78,
299,-17.5,
300,-10.46,
301,-4.82,
302,0.52,
303,6.33,
304,12.77,
305,19.31,
306,25.05,
307,29.19,
308,31.44,
309,32.15,
310,32.1,
311,32.16,
312,32.96,
313,34.6,
314,36.73,
315,38.75,
316,40.12,
317,40.57,
318,40.2,
319,39.35,
320,38.43,
321,37.73,
322,37.36,
323,37.2,
324,37.04,
325,36.67,
326,36.02,
327,35.1,
328,34.01,
329,32.82,
330,31.6,
331,30.4,
332,29.27,
333,28.31,
334,27.62,
335,27.22,
336,27.0,
337,26.7,
338,26.09,
339,25.02,
340,23.56,
341,21.99,
342,20.56,
343,19.43,
344,18.57,
345,17.85,
346,17.15,
347,16.46,
348,15.93,
349,15.7,
350,15.82,
351,16.12,
352,16.35,
353,16.23,
354,15.64,
355,14.73,
356,13.8,
357,13.18,
358,13.04,
359,13.32,
360,13.78,
361,14.14,
362,14.22,
363,14.06,
364,13.83,
365,13.69,
366,13.71,
367,13.76,
368,13.71,
369,13.43,
370,12.97,
371,12.5,
372,12.19,
373,12.11,
374,12.16,
375,12.13,
376,11.82,
377,11.17,
378,10.28,
379,9.38,
380,8.71,
381,8.44,
382,8.59,
383,9.05,
384,9.62,
385,10.07,
386,10.24,
387,10.01,
388,9.44,
389,8.66,
390,7.87,
391,7.25,
392,6.9,
393,6.77,
394,6.74,
395,6.68,
396,6.52,
397,6.3,
398,6.17,
399,6.21,
400,6.45,
401,6.76,
402,6.98,
403,6.92,
404,6.54,
405,5.94,
406,5.29,
407,4.78,
408,4.49,
409,4.39,
410,4.36,
411,4.36,
412,4.45,
413,4.78,
414,5.44,
415,6.34,
416,7.21,
417,7.69,
418,7.58,
419,6.94,
420,6.07,
421,5.32,
422,4.93,
423,4.86,
424,4.94,
425,5.01,
426,5.01,
427,5.05,
428,5.25,
429,5.6,
430,5.96,
431,6.17,
432,6.12,
433,5.83,
434,5.43,
435,5.02,
436,4.67,
437,4.41,
438,4.26,
439,4.24,
440,4.39,
441,4.64,
442,4.86,
443,4.91,
444,4.71,
445,4.34,
446,3.96,
447,3.73,
448,3.73,
449,3.89,
450,4.09,
451,4.2,
452,4.21,
453,4.16,
454,4.12,
455,4.16,
456,4.26,
457,4.37,
458,4.45,
459,4.45,
460,4.38,
461,4.26,
462,4.16,
463,4.05,
464,3.98,
