,value,experiments
0,-8498,
1,-8354,
2,-7700,
3,-7223,
4,-7274,
5,-7098,
6,-6654,
7,-6464,
8,-6375,
9,-6009,
10,-5612,
11,-5499,
12,-5312,
13,-4867,
14,-4583,
15,-4472,
16,-4215,
17,-4011,
18,-4172,
19,-4246,
20,-3523,
21,-2537,
22,-2294,
23,-2734,
24,-3258,
25,-3409,
26,-3174,
27,-2861,
28,-2775,
29,-2633,
30,-2363,
31,-2347,
32,-2039,
33,-1409,
34,-1171,
35,-981,
36,-387,
37,336,
38,-456,
39,-4323,
40,-7676,
41,-8166,
42,-9313,
43,-10706,
44,-8678,
45,7118,
46,19697,
47,19697,
48,19697,
49,19697,
50,19697,
51,19697,
52,19697,
53,19697,
54,19697,
55,19697,
56,19697,
57,19697,
58,19697,
59,19697,
60,19697,
61,19697,
62,19697,
63,19697,
64,19697,
65,19697,
66,19697,
67,19697,
68,19697,
69,19697,
70,19697,
71,19697,
72,19697,
73,19697,
74,19697,
75,19697,
76,19697,
77,19697,
78,19697,
79,19697,
80,19697,
81,19697,
82,19697,
83,19697,
84,19697,
85,19697,
86,19697,
87,19697,
88,19697,
89,19697,
90,19697,
91,19697,
92,19697,
93,19697,
94,-10422,
95,-19700,
96,-19700,
97,-19700,
98,-19700,
99,-19700,
100,-19700,
101,-19700,
102,-19700,
103,-19700,
104,-19700,
105,-19700,
106,-19700,
107,-19700,
108,-19700,
109,-19700,
110,-19507,
111,-12841,
112,-12682,
113,-11211,
114,-8428,
115,-7656,
116,-5961,
117,-3104,
118,-4737,
119,-16095,
120,-19700,
121,-19700,
122,-19700,
123,-19700,
124,-19700,
125,-19700,
126,-19700,
127,-19700,
128,-19700,
129,-19700,
130,-9013,
131,19697,
132,19697,
133,19697,
134,19697,
135,19697,
136,19697,
137,19697,
138,19697,
139,19697,
140,19697,
141,19697,
142,19697,
143,19697,
144,19697,
145,19697,
146,19697,
147,19697,
148,19697,
149,19697,
150,19697,
151,19697,
152,19697,
153,19697,
154,19697,
155,16992,
156,10766,
157,7589,
158,9902,
159,15621,
160,19697,
161,19697,
162,19697,
163,19697,
164,19697,
165,19697,
166,19697,
167,19697,
168,19697,
169,19697,
170,19697,
171,19697,
172,19697,
173,19697,
174,19697,
175,19697,
176,19697,
177,14536,
178,-11461,
179,-19334,
180,-13716,
181,-15934,
182,-13510,
183,-800,
184,7101,
185,9376,
186,14431,
187,10852,
188,-18983,
189,-19700,
190,-19700,
191,-19700,
192,-19700,
193,-19700,
194,-19700,
195,-19700,
196,-19700,
197,-19700,
198,-19700,
199,-19700,
200,-19700,
201,-19700,
202,-19700,
203,1029,
204,19697,
205,19697,
206,19697,
207,19697,
208,19697,
209,19697,
210,19697,
211,19697,
212,19697,
213,19697,
214,19697,
215,19697,
216,19697,
217,19697,
218,19697,
219,19697,
220,19697,
221,19697,
222,19697,
223,19697,
224,19697,
225,19697,
226,19697,
227,19697,
228,19697,
229,19697,
230,19697,
231,5576,
232,-15691,
233,-10381,
234,-711,
235,-1447,
236,4407,
237,12848,
238,15258,
239,19697,
240,19697,
241,19697,
242,19697,
243,19697,
244,19697,
245,19697,
246,19697,
247,19697,
248,19697,
249,19697,
250,19697,
251,19697,
252,19697,
253,19697,
254,19697,
255,19697,
256,19697,
257,19697,
258,19697,
259,19697,
260,19697,
261,19697,
262,19697,
263,19697,
264,19697,
265,19697,
266,19697,
267,19697,
268,19697,
269,19697,
270,19697,
271,19697,
272,19697,
273,19697,
274,19697,
275,19697,
276,19697,
277,19697,
278,19697,
279,19697,
280,19697,
281,19697,
282,19697,
283,19697,
284,19697,
285,19697,
286,19697,
287,19697,
288,19697,
289,19697,
290,19697,
291,19697,
292,19697,
293,19697,
294,19697,
295,19697,
296,19697,
297,19697,
298,19697,
299,19697,
300,19697,
301,19697,
302,19697,
303,19697,
304,19697,
305,19697,
306,19697,
307,19697,
308,19697,
309,19697,
310,19697,
311,19697,
312,19697,
313,19697,
314,19697,
315,19697,
316,19697,
317,19697,
318,19697,
319,19697,
320,19697,
321,19697,
322,19697,
323,19697,
324,19697,
325,19697,
326,19697,
327,19697,
328,19697,
329,19697,
330,19697,
331,19697,
332,19697,
333,19697,
334,19697,
335,19697,
336,19697,
337,19697,
338,19697,
339,19697,
340,19697,
341,19697,
342,19697,
343,19697,
344,19697,
345,19697,
346,19697,
347,19697,
348,19697,
349,19697,
350,19697,
351,19697,
352,19697,
353,19697,
354,19697,
355,19697,
356,19697,
357,19697,
358,19697,
359,19697,
360,19697,
361,19697,
362,19697,
363,19697,
364,19697,
365,19697,
366,19697,
367,19697,
368,19697,
369,19697,
370,19697,
371,19697,
372,19697,
373,19697,
